  Lines         Copies       Function name
  -----         ------       -------------
  75101 (100%)  1722 (100%)  (TOTAL)
   2653 (3.5%)     7 (0.4%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
   2572 (3.4%)     2 (0.1%)  wayland_scanner::common::gen_write_body::{{closure}}::{{closure}}
   2460 (3.3%)    12 (0.7%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
   2231 (3.0%)     2 (0.1%)  wayland_scanner::common::gen_parse_body::{{closure}}::{{closure}}
   2205 (2.9%)    47 (2.7%)  core::option::Option<T>::map
   1869 (2.5%)     1 (0.1%)  wayland_scanner::server_gen::generate_objects_for
   1766 (2.4%)     1 (0.1%)  wayland_scanner::client_gen::generate_objects_for
   1700 (2.3%)     1 (0.1%)  wayland_scanner::client_gen::gen_methods::{{closure}}
   1313 (1.7%)    17 (1.0%)  core::iter::traits::iterator::Iterator::fold
   1184 (1.6%)    20 (1.2%)  core::iter::adapters::map::map_fold::{{closure}}
   1103 (1.5%)     1 (0.1%)  wayland_scanner::common::<impl quote::to_tokens::ToTokens for wayland_scanner::protocol::Enum>::to_tokens
    994 (1.3%)    50 (2.9%)  core::iter::adapters::map::Map<I,F>::new
    992 (1.3%)     6 (0.3%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::FromIterator<proc_macro2::imp::TokenStream>>::from_iter
    970 (1.3%)    20 (1.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    969 (1.3%)     4 (0.2%)  wayland_scanner::client_gen::gen_methods::{{closure}}::{{closure}}
    932 (1.2%)     1 (0.1%)  wayland_scanner::common::gen_message_enum::{{closure}}::{{closure}}
    930 (1.2%)     6 (0.3%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    857 (1.1%)     2 (0.1%)  wayland_scanner::server_gen::gen_methods::{{closure}}::{{closure}}
    815 (1.1%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    762 (1.0%)     1 (0.1%)  wayland_scanner::parse::parse_protocol
    746 (1.0%)     8 (0.5%)  alloc::vec::Vec<T,A>::extend_desugared
    716 (1.0%)     2 (0.1%)  wayland_scanner::c_interfaces::gen_messages::{{closure}}
    704 (0.9%)    50 (2.9%)  core::iter::traits::iterator::Iterator::map
    683 (0.9%)     3 (0.2%)  wayland_scanner::common::<impl quote::to_tokens::ToTokens for wayland_scanner::protocol::Enum>::to_tokens::{{closure}}
    660 (0.9%)    12 (0.7%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::FromIterator<proc_macro2::imp::TokenStream>>::from_iter::{{closure}}
    615 (0.8%)     1 (0.1%)  wayland_scanner::c_interfaces::generate_interface
    592 (0.8%)    42 (2.4%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
    590 (0.8%)     1 (0.1%)  wayland_scanner::server_gen::gen_methods::{{closure}}
    552 (0.7%)     1 (0.1%)  wayland_scanner::parse::parse_arg
    549 (0.7%)     1 (0.1%)  wayland_scanner::common::gen_parse_body::{{closure}}
    533 (0.7%)     1 (0.1%)  wayland_scanner::parse::parse_entry
    515 (0.7%)     6 (0.3%)  <proc_macro::TokenStream as core::iter::traits::collect::Extend<proc_macro::TokenStream>>::extend
    514 (0.7%)     1 (0.1%)  wayland_scanner::interfaces::build_messagedesc_list::{{closure}}
    504 (0.7%)     6 (0.3%)  <proc_macro::TokenStream as core::iter::traits::collect::FromIterator<proc_macro::TokenStream>>::from_iter
    480 (0.6%)     5 (0.3%)  wayland_scanner::interfaces::build_messagedesc_list::{{closure}}::{{closure}}
    471 (0.6%)     1 (0.1%)  wayland_scanner::parse::parse_interface
    470 (0.6%)     1 (0.1%)  wayland_scanner::common::gen_message_enum::{{closure}}
    463 (0.6%)     1 (0.1%)  wayland_scanner::parse::parse_enum
    460 (0.6%)     1 (0.1%)  wayland_scanner::parse::parse_event
    460 (0.6%)     1 (0.1%)  wayland_scanner::parse::parse_request
    448 (0.6%)     1 (0.1%)  wayland_scanner::parse::parse_description
    446 (0.6%)     4 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    444 (0.6%)     1 (0.1%)  wayland_scanner::interfaces::generate_interface
    433 (0.6%)     1 (0.1%)  wayland_scanner::common::gen_write_body::{{closure}}
    424 (0.6%)     1 (0.1%)  xml::reader::lexer::Lexer::next_token
    421 (0.6%)    42 (2.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
    387 (0.5%)     1 (0.1%)  wayland_scanner::c_interfaces::gen_messages
    382 (0.5%)     1 (0.1%)  xml::reader::parser::PullParser::next
    378 (0.5%)    13 (0.8%)  core::iter::adapters::flatten::FlattenCompat<I,U>::new
    370 (0.5%)     1 (0.1%)  wayland_scanner::common::gen_parse_body
    360 (0.5%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    327 (0.4%)     7 (0.4%)  core::mem::replace
    324 (0.4%)     2 (0.1%)  wayland_scanner::common::gen_since_constants::{{closure}}
    320 (0.4%)     5 (0.3%)  alloc::vec::Vec<T,A>::push
    317 (0.4%)     1 (0.1%)  wayland_scanner::generate_client_code
    317 (0.4%)     1 (0.1%)  wayland_scanner::generate_interfaces
    317 (0.4%)     1 (0.1%)  wayland_scanner::generate_server_code
    316 (0.4%)    13 (0.8%)  core::iter::adapters::fuse::Fuse<I>::new
    314 (0.4%)    25 (1.5%)  quote::__private::ext::RepIteratorExt::quote_into_iter
    298 (0.4%)     6 (0.3%)  core::iter::traits::iterator::Iterator::chain
    286 (0.4%)     4 (0.2%)  std::thread::local::LocalKey<T>::try_with
    280 (0.4%)    40 (2.3%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    280 (0.4%)     5 (0.3%)  core::alloc::layout::Layout::array
    270 (0.4%)     5 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    264 (0.4%)     6 (0.3%)  core::iter::adapters::chain::Chain<A,B>::new
    261 (0.3%)    12 (0.7%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::next
    261 (0.3%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    259 (0.3%)     7 (0.4%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::traits::iterator::Iterator>::size_hint
    258 (0.3%)     7 (0.4%)  core::iter::traits::iterator::Iterator::for_each
    256 (0.3%)     1 (0.1%)  wayland_scanner::c_interfaces::generate_interfaces_prefix
    240 (0.3%)     5 (0.3%)  core::slice::iter::Iter<T>::new
    236 (0.3%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    230 (0.3%)     5 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    226 (0.3%)    21 (1.2%)  core::iter::traits::iterator::Iterator::collect
    222 (0.3%)     6 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    222 (0.3%)     4 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
    220 (0.3%)    20 (1.2%)  core::iter::adapters::map::map_fold
    220 (0.3%)     1 (0.1%)  wayland_scanner::c_interfaces::gen_messages::{{closure}}::{{closure}}
    209 (0.3%)     1 (0.1%)  wayland_scanner::common::gen_write_body
    208 (0.3%)    11 (0.6%)  core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut
    208 (0.3%)     1 (0.1%)  <F as syn::parse::Parser>::parse2
    208 (0.3%)     1 (0.1%)  wayland_scanner::common::gen_message_enum
    207 (0.3%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    206 (0.3%)     1 (0.1%)  wayland_scanner::util::dotted_to_relname
    205 (0.3%)    11 (0.6%)  core::ptr::read
    205 (0.3%)     1 (0.1%)  xml::util::next_char_from
    204 (0.3%)     2 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    183 (0.2%)     7 (0.4%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    182 (0.2%)     2 (0.1%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
    178 (0.2%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::fold
    176 (0.2%)     4 (0.2%)  core::result::Result<T,E>::expect
    176 (0.2%)     1 (0.1%)  <xml::reader::parser::State as core::cmp::PartialEq>::eq
    176 (0.2%)     1 (0.1%)  wayland_scanner::util::is_keyword
    174 (0.2%)     6 (0.3%)  core::fmt::ArgumentV1::new
    174 (0.2%)     1 (0.1%)  wayland_scanner::common::gen_since_constants
    171 (0.2%)     1 (0.1%)  wayland_scanner::protocol::Type::common_type
    168 (0.2%)     1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    163 (0.2%)     2 (0.1%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    151 (0.2%)     9 (0.5%)  core::ops::function::FnOnce::call_once
    150 (0.2%)     6 (0.3%)  <proc_macro::TokenStream as core::iter::traits::collect::FromIterator<proc_macro::TokenStream>>::from_iter::{{closure}}
    149 (0.2%)    13 (0.8%)  core::iter::traits::iterator::Iterator::fuse
    145 (0.2%)     5 (0.3%)  core::ptr::metadata::from_raw_parts
    145 (0.2%)     5 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    145 (0.2%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    141 (0.2%)     7 (0.4%)  core::iter::adapters::flatten::FlatMap<I,U,F>::new
    140 (0.2%)     3 (0.2%)  core::result::Result<T,E>::unwrap
