  Lines         Copies      Function name
  -----         ------      -------------
  17434 (100%)  351 (100%)  (TOTAL)
   2528 (14.5%)  19 (5.4%)  untrusted::Input::read_all
   1045 (6.0%)   19 (5.4%)  core::result::Result<T,E>::map_err
    948 (5.4%)   11 (3.1%)  ring::io::der::nested
    758 (4.3%)   17 (4.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    588 (3.4%)    1 (0.3%)  webpki::calendar::time_from_ymdhms_utc
    579 (3.3%)    4 (1.1%)  untrusted::read_all_optional
    500 (2.9%)    1 (0.3%)  webpki::der::time_choice::{{closure}}
    417 (2.4%)    2 (0.6%)  webpki::cert::parse_cert_internal::{{closure}}
    377 (2.2%)    2 (0.6%)  webpki::verify_cert::build_chain::{{closure}}
    361 (2.1%)    1 (0.3%)  webpki::name::verify::check_presented_id_conforms_to_constraints_in_subtree
    321 (1.8%)    1 (0.3%)  webpki::name::dns_name::is_valid_dns_id
    297 (1.7%)    1 (0.3%)  webpki::name::dns_name::presented_id_matches_reference_id_internal
    247 (1.4%)   15 (4.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    222 (1.3%)    1 (0.3%)  webpki::trust_anchor::parse_cert_v1::{{closure}}::{{closure}}::{{closure}}
    215 (1.2%)    1 (0.3%)  webpki::verify_cert::check_basic_constraints
    212 (1.2%)    1 (0.3%)  webpki::name::ip_address::presented_id_matches_constraint
    189 (1.1%)    2 (0.6%)  webpki::verify_cert::loop_while_non_fatal_error
    183 (1.0%)    1 (0.3%)  webpki::cert::parse_cert_internal::{{closure}}::{{closure}}::{{closure}}
    180 (1.0%)    1 (0.3%)  webpki::name::verify::check_name_constraints
    173 (1.0%)    1 (0.3%)  webpki::signed_data::parse_signed_data
    165 (0.9%)    1 (0.3%)  webpki::cert::remember_extension
    165 (0.9%)    1 (0.3%)  webpki::verify_cert::build_chain
    150 (0.9%)    1 (0.3%)  webpki::name::verify::iterate_names
    148 (0.8%)    1 (0.3%)  webpki::der::time_choice::read_two_digits
    128 (0.7%)    2 (0.6%)  core::option::Option<T>::map
    126 (0.7%)    1 (0.3%)  webpki::verify_cert::check_issuer_independent_properties
    120 (0.7%)    1 (0.3%)  untrusted::Reader::read_partial
    114 (0.7%)    2 (0.6%)  core::result::Result<T,E>::map
    112 (0.6%)    1 (0.3%)  webpki::verify_cert::check_validity
    110 (0.6%)    1 (0.3%)  untrusted::Reader::read_bytes
    108 (0.6%)    2 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    108 (0.6%)    1 (0.3%)  webpki::name::verify::general_name
    106 (0.6%)    1 (0.3%)  webpki::signed_data::parse_spki_value::{{closure}}
     99 (0.6%)    1 (0.3%)  webpki::signed_data::verify_signed_data
     98 (0.6%)    1 (0.3%)  <webpki::error::Error as core::fmt::Debug>::fmt
     98 (0.6%)    1 (0.3%)  core::ops::range::RangeBounds::contains
     96 (0.6%)    2 (0.6%)  core::slice::iter::Iter<T>::new
     96 (0.6%)    1 (0.3%)  webpki::signed_data::verify_signature
     95 (0.5%)    4 (1.1%)  core::ops::function::FnOnce::call_once
     93 (0.5%)    1 (0.3%)  <core::result::Result<T,E> as core::cmp::PartialEq>::ne
     92 (0.5%)    2 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     91 (0.5%)    2 (0.6%)  core::result::Result<T,E>::unwrap
     89 (0.5%)    1 (0.3%)  webpki::name::verify::check_name_constraints::parse_subtrees
     88 (0.5%)   11 (3.1%)  ring::io::der::nested::{{closure}}
     87 (0.5%)    1 (0.3%)  webpki::verify_cert::check_eku
     85 (0.5%)    1 (0.3%)  webpki::der::expect_tag
     84 (0.5%)    1 (0.3%)  webpki::verify_cert::check_signatures
     82 (0.5%)    1 (0.3%)  webpki::trust_anchor::TrustAnchor::try_from_cert_der
     79 (0.5%)    1 (0.3%)  webpki::cert::parse_cert_internal
     73 (0.4%)    7 (2.0%)  <&T as core::fmt::Debug>::fmt
     72 (0.4%)    1 (0.3%)  webpki::der::time_choice::read_digit
     68 (0.4%)    1 (0.3%)  webpki::trust_anchor::parse_cert_v1::{{closure}}::{{closure}}
     67 (0.4%)    1 (0.3%)  core::fmt::builders::DebugList::entries
     65 (0.4%)    1 (0.3%)  webpki::der::bit_string_with_no_unused_bits::{{closure}}
     63 (0.4%)    1 (0.3%)  core::result::Result<T,E>::or
     63 (0.4%)    1 (0.3%)  webpki::calendar::days_before_year_ad
     63 (0.4%)    1 (0.3%)  webpki::name::ip_address::presented_id_matches_constraint::{{closure}}
     60 (0.3%)    1 (0.3%)  <webpki::end_entity::EndEntityCert as core::convert::TryFrom<&[u8]>>::try_from
     59 (0.3%)    1 (0.3%)  core::fmt::Arguments::new_v1
     58 (0.3%)    2 (0.6%)  core::fmt::ArgumentV1::new
     56 (0.3%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     56 (0.3%)    1 (0.3%)  webpki::cert::certificate_serial_number
     55 (0.3%)    1 (0.3%)  webpki::der::nested_of_mut::{{closure}}
     53 (0.3%)    1 (0.3%)  webpki::name::verify::verify_cert_dns_name::{{closure}}
     52 (0.3%)    1 (0.3%)  ring::io::der::small_nonnegative_integer
     52 (0.3%)    1 (0.3%)  untrusted::Reader::read_byte
     52 (0.3%)    1 (0.3%)  webpki::name::verify::check_presented_id_conforms_to_constraints
     51 (0.3%)    1 (0.3%)  webpki::name::verify::check_presented_id_conforms_to_constraints_in_subtree::general_subtree
     50 (0.3%)    1 (0.3%)  core::option::Option<T>::ok_or
     49 (0.3%)    1 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     48 (0.3%)    3 (0.9%)  webpki::verify_cert::check_issuer_independent_properties::{{closure}}
     48 (0.3%)    1 (0.3%)  webpki::cert::version3::{{closure}}
     48 (0.3%)    1 (0.3%)  webpki::der::optional_boolean::{{closure}}
     47 (0.3%)    1 (0.3%)  <webpki::trust_anchor::TrustAnchor as core::fmt::Debug>::fmt
     47 (0.3%)    1 (0.3%)  webpki::name::verify::verify_cert_dns_name
     45 (0.3%)    2 (0.6%)  core::option::Option<T>::unwrap
     45 (0.3%)    1 (0.3%)  ring::signature::UnparsedPublicKey<B>::verify
     44 (0.3%)    1 (0.3%)  core::slice::<impl [T]>::starts_with
     43 (0.2%)    1 (0.3%)  core::num::<impl usize>::checked_add
     43 (0.2%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)    1 (0.3%)  webpki::der::nested_of_mut
     41 (0.2%)    1 (0.3%)  webpki::der::time_choice
