  Lines         Copies      Function name
  -----         ------      -------------
  10001 (100%)  347 (100%)  (TOTAL)
    350 (3.5%)    8 (2.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    281 (2.8%)    1 (0.3%)  whoami::unix::distro
    261 (2.6%)    1 (0.3%)  core::char::methods::encode_utf8_raw
    243 (2.4%)    4 (1.2%)  core::result::Result<T,E>::map_err
    229 (2.3%)    1 (0.3%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    193 (1.9%)    1 (0.3%)  alloc::alloc::Global::grow_impl
    192 (1.9%)    1 (0.3%)  whoami::unix::devicename
    165 (1.6%)    7 (2.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    164 (1.6%)    1 (0.3%)  whoami::unix::getpwuid
    163 (1.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    161 (1.6%)    1 (0.3%)  <whoami::DesktopEnv as core::fmt::Display>::fmt
    157 (1.6%)    5 (1.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    152 (1.5%)    1 (0.3%)  alloc::raw_vec::finish_grow
    150 (1.5%)    1 (0.3%)  whoami::unix::fancy_fallback
    145 (1.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    136 (1.4%)    1 (0.3%)  <whoami::unix::LangIter as core::iter::traits::iterator::Iterator>::next
    131 (1.3%)    1 (0.3%)  <whoami::Platform as core::fmt::Display>::fmt
    128 (1.3%)    3 (0.9%)  core::option::Option<T>::map
    128 (1.3%)    2 (0.6%)  alloc::alloc::box_free
    127 (1.3%)    3 (0.9%)  core::option::Option<T>::ok_or
    121 (1.2%)    1 (0.3%)  core::str::validations::next_code_point_reverse
    117 (1.2%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    113 (1.1%)    1 (0.3%)  core::str::validations::next_code_point
    112 (1.1%)    1 (0.3%)  whoami::unix::fancy_fallback_os
    110 (1.1%)    1 (0.3%)  <whoami::DesktopEnv as core::fmt::Debug>::fmt
    110 (1.1%)    1 (0.3%)  core::ptr::swap_nonoverlapping_bytes
    109 (1.1%)    1 (0.3%)  <core::str::pattern::CharSearcher as core::str::pattern::ReverseSearcher>::next_back
    109 (1.1%)    1 (0.3%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next
     97 (1.0%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
     92 (0.9%)    1 (0.3%)  core::str::<impl str>::trim_matches
     88 (0.9%)    1 (0.3%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.9%)    3 (0.9%)  core::fmt::ArgumentV1::new
     86 (0.9%)    1 (0.3%)  <whoami::Platform as core::fmt::Debug>::fmt
     86 (0.9%)    1 (0.3%)  core::str::iter::SplitInternal<P>::next
     72 (0.7%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     72 (0.7%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     70 (0.7%)    1 (0.3%)  core::cmp::max_by
     69 (0.7%)    1 (0.3%)  whoami::unix::string_from_os
     61 (0.6%)    1 (0.3%)  alloc::vec::Vec<T,A>::push
     59 (0.6%)    1 (0.3%)  core::fmt::Arguments::new_v1
     58 (0.6%)    1 (0.3%)  core::slice::iter::Iter<T>::make_slice
     56 (0.6%)    1 (0.3%)  core::alloc::layout::Layout::array
     54 (0.5%)    1 (0.3%)  core::str::<impl str>::split
     52 (0.5%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     51 (0.5%)    1 (0.3%)  core::ptr::swap_nonoverlapping_one
     50 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     48 (0.5%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.5%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     47 (0.5%)    1 (0.3%)  <alloc::borrow::Cow<B> as core::ops::deref::Deref>::deref
     47 (0.5%)    1 (0.3%)  <char as core::str::pattern::Pattern>::into_searcher
     47 (0.5%)    1 (0.3%)  core::option::Option<T>::unwrap_unchecked
     47 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::pre_dec_end
