  Lines         Copies      Function name
  -----         ------      -------------
  16502 (100%)  656 (100%)  (TOTAL)
    578 (3.5%)    1 (0.2%)  xdg::BaseDirectories::with_env_impl
    434 (2.6%)    4 (0.6%)  core::iter::traits::iterator::Iterator::try_fold
    360 (2.2%)    4 (0.6%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    279 (1.7%)    3 (0.5%)  alloc::vec::Vec<T,A>::extend_desugared
    261 (1.6%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    236 (1.4%)    4 (0.6%)  alloc::alloc::box_free
    213 (1.3%)    5 (0.8%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    185 (1.1%)    4 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    174 (1.1%)    6 (0.9%)  core::fmt::ArgumentV1::new
    172 (1.0%)    1 (0.2%)  xdg::read_file
    166 (1.0%)    1 (0.2%)  xdg::BaseDirectories::get_runtime_directory
    163 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    157 (1.0%)    1 (0.2%)  <xdg::BaseDirectoriesError as core::fmt::Display>::fmt
    155 (0.9%)    1 (0.2%)  hashbrown::raw::RawTableInner<A>::resize_inner
    152 (0.9%)    2 (0.3%)  core::iter::traits::iterator::Iterator::fold
    146 (0.9%)    1 (0.2%)  xdg::list_files
    145 (0.9%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.8%)    7 (1.1%)  core::ops::function::FnOnce::call_once
    136 (0.8%)    1 (0.2%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    128 (0.8%)    1 (0.2%)  xdg::FileFindIterator::new
    127 (0.8%)    2 (0.3%)  core::result::Result<T,E>::map_err
    122 (0.7%)    2 (0.3%)  xdg::BaseDirectories::get_runtime_directory::{{closure}}
    121 (0.7%)    2 (0.3%)  hashbrown::raw::RawTable<T,A>::find
    117 (0.7%)    2 (0.3%)  core::result::Result<T,E>::map
    114 (0.7%)    2 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    114 (0.7%)    2 (0.3%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
    114 (0.7%)    1 (0.2%)  core::iter::adapters::filter::filter_try_fold::{{closure}}
    110 (0.7%)    1 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    106 (0.6%)    2 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
