  Lines        Copies     Function name
  -----        ------     -------------
  1780 (100%)  50 (100%)  (TOTAL)
   228 (12.8%)  1 (2.0%)  yansi::style::Style::fmt_prefix
   195 (11.0%)  1 (2.0%)  yansi::color::Color::ascii_fmt
   155 (8.7%)   2 (4.0%)  yansi::style::write_spliced
   147 (8.3%)   1 (2.0%)  <yansi::color::Color as core::cmp::PartialEq>::eq
   147 (8.3%)   1 (2.0%)  <yansi::color::Color as core::cmp::PartialEq>::ne
   129 (7.2%)   1 (2.0%)  <yansi::color::Color as core::fmt::Debug>::fmt
    87 (4.9%)   3 (6.0%)  core::fmt::ArgumentV1::new
    76 (4.3%)   1 (2.0%)  <yansi::style::Style as core::fmt::Debug>::fmt
    59 (3.3%)   1 (2.0%)  core::fmt::Arguments::new_v1
    58 (3.3%)   1 (2.0%)  <yansi::style::Iter as core::iter::traits::iterator::Iterator>::next
    42 (2.4%)   1 (2.0%)  <yansi::style::Style as core::default::Default>::default
    40 (2.2%)   4 (8.0%)  <&T as core::fmt::Debug>::fmt
    37 (2.1%)   1 (2.0%)  <yansi::style::Style as core::cmp::PartialEq>::eq
    36 (2.0%)   1 (2.0%)  core::sync::atomic::atomic_load
    34 (1.9%)   1 (2.0%)  core::sync::atomic::atomic_store
    32 (1.8%)   1 (2.0%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    28 (1.6%)   1 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    28 (1.6%)   1 (2.0%)  yansi::style::Style::fmt_suffix
    23 (1.3%)   1 (2.0%)  <yansi::style::Property as core::fmt::Debug>::fmt
    19 (1.1%)   1 (2.0%)  core::sync::atomic::AtomicBool::store
    16 (0.9%)   1 (2.0%)  <yansi::style::Property as core::cmp::PartialEq>::eq
    16 (0.9%)   1 (2.0%)  yansi::style::Style::is_plain
    15 (0.8%)   1 (2.0%)  yansi::style::Property::iter
    13 (0.7%)   1 (2.0%)  <&T as core::fmt::Display>::fmt
    13 (0.7%)   1 (2.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    13 (0.7%)   1 (2.0%)  core::sync::atomic::AtomicBool::load
    11 (0.6%)   1 (2.0%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
     9 (0.5%)   1 (2.0%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     9 (0.5%)   1 (2.0%)  <bool as core::fmt::Debug>::fmt
     9 (0.5%)   1 (2.0%)  yansi::style::Property::contains
     6 (0.3%)   1 (2.0%)  <yansi::color::Color as core::default::Default>::default
     6 (0.3%)   1 (2.0%)  <yansi::style::Property as core::default::Default>::default
     6 (0.3%)   1 (2.0%)  yansi::paint::Paint<()>::disable
     6 (0.3%)   1 (2.0%)  yansi::paint::Paint<()>::enable
     6 (0.3%)   1 (2.0%)  yansi::paint::Paint<()>::is_enabled
     4 (0.2%)   1 (2.0%)  core::cell::UnsafeCell<T>::get
     4 (0.2%)   1 (2.0%)  core::ptr::drop_in_place<&bool>
     4 (0.2%)   1 (2.0%)  core::ptr::drop_in_place<&u8>
     4 (0.2%)   1 (2.0%)  core::ptr::drop_in_place<&yansi::color::Color>
     4 (0.2%)   1 (2.0%)  core::ptr::drop_in_place<&yansi::style::Property>
     3 (0.2%)   1 (2.0%)  <T as core::convert::From<T>>::from
     1 (0.1%)   1 (2.0%)  <bool as core::default::Default>::default
     1 (0.1%)   1 (2.0%)  <u8 as core::default::Default>::default
     1 (0.1%)   1 (2.0%)  yansi::windows::windows_console::enable_ascii_colors
