  Lines        Copies      Function name
  -----        ------      -------------
  8097 (100%)  421 (100%)  (TOTAL)
   272 (3.4%)    7 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   241 (3.0%)    1 (0.2%)  core::char::methods::encode_utf8_raw
   226 (2.8%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
   168 (2.1%)    2 (0.5%)  core::fmt::builders::DebugList::entries
   159 (2.0%)    3 (0.7%)  core::option::Option<T>::and_then
   157 (1.9%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   154 (1.9%)    1 (0.2%)  alloc::raw_vec::finish_grow
   149 (1.8%)    3 (0.7%)  core::result::Result<T,E>::map_err
   140 (1.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   134 (1.7%)    3 (0.7%)  core::mem::replace
   131 (1.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_exact
   128 (1.6%)    2 (0.5%)  core::option::Option<T>::map
   126 (1.6%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
   124 (1.5%)    2 (0.5%)  alloc::alloc::box_free
   116 (1.4%)    6 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   116 (1.4%)    1 (0.2%)  <alloc::collections::vec_deque::VecDeque<T,A> as core::iter::traits::collect::Extend<T>>::extend
   107 (1.3%)    1 (0.2%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
   105 (1.3%)    3 (0.7%)  core::option::Option<T>::ok_or
    90 (1.1%)    1 (0.2%)  actix_tls::connect::host::str_split_once
    89 (1.1%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    83 (1.0%)    1 (0.2%)  <actix_tls::connect::error::ConnectError as core::fmt::Debug>::fmt
    82 (1.0%)    1 (0.2%)  core::str::iter::SplitInternal<P>::get_end
    80 (1.0%)    1 (0.2%)  <actix_tls::connect::connect_addrs::ConnectAddrsIter as core::iter::traits::iterator::Iterator>::next
    76 (0.9%)    1 (0.2%)  <actix_tls::connect::connect_addrs::ConnectAddrsIter as core::clone::Clone>::clone
    76 (0.9%)    1 (0.2%)  core::cmp::max_by
    74 (0.9%)    1 (0.2%)  <actix_tls::connect::connect_addrs::ConnectAddrs as core::fmt::Debug>::fmt
    73 (0.9%)    1 (0.2%)  core::str::iter::SplitInternal<P>::next
    70 (0.9%)    4 (1.0%)  core::ptr::read
    68 (0.8%)    2 (0.5%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    65 (0.8%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    62 (0.8%)    2 (0.5%)  core::cell::Cell<T>::replace
    62 (0.8%)    2 (0.5%)  core::fmt::ArgumentV1::new
    62 (0.8%)    2 (0.5%)  core::ptr::metadata::from_raw_parts
    62 (0.8%)    2 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    61 (0.8%)    1 (0.2%)  <actix_tls::connect::connect_addrs::ConnectAddrsIter as core::iter::traits::iterator::Iterator>::size_hint
    58 (0.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    58 (0.7%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
