  Lines         Copies       Function name
  -----         ------       -------------
  49108 (100%)  1115 (100%)  (TOTAL)
   5374 (10.9%)    1 (0.1%)  <cpp_demangle::ast::Expression as cpp_demangle::ast::Demangle<W>>::demangle
   1365 (2.8%)     1 (0.1%)  <cpp_demangle::ast::SpecialName as cpp_demangle::ast::Demangle<W>>::demangle
    817 (1.7%)     1 (0.1%)  <cpp_demangle::ast::Type as cpp_demangle::ast::Demangle<W>>::demangle
    774 (1.6%)     1 (0.1%)  <cpp_demangle::ast::ExprPrimary as cpp_demangle::ast::Demangle<W>>::demangle
    730 (1.5%)    10 (0.9%)  alloc::raw_vec::RawVec<T,A>::current_memory
    688 (1.4%)     1 (0.1%)  <cpp_demangle::ast::ArrayType as cpp_demangle::ast::DemangleAsInner<W>>::demangle_as_inner
    663 (1.4%)    55 (4.9%)  cpp_demangle::ast::AutoLogDemangle::new
    639 (1.3%)     1 (0.1%)  <cpp_demangle::ast::UnresolvedName as cpp_demangle::ast::Demangle<W>>::demangle
    624 (1.3%)    14 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    558 (1.1%)     1 (0.1%)  <cpp_demangle::ast::FunctionArgSlice as cpp_demangle::ast::Demangle<W>>::demangle
    501 (1.0%)     1 (0.1%)  <cpp_demangle::ast::Encoding as cpp_demangle::ast::Demangle<W>>::demangle
    469 (1.0%)     1 (0.1%)  <cpp_demangle::ast::NestedName as cpp_demangle::ast::Demangle<W>>::demangle
    468 (1.0%)     6 (0.5%)  core::option::Option<T>::map_or
    464 (0.9%)     9 (0.8%)  core::slice::iter::Iter<T>::new
    434 (0.9%)     1 (0.1%)  <cpp_demangle::ast::Prefix as cpp_demangle::ast::Demangle<W>>::demangle
    428 (0.9%)     1 (0.1%)  <cpp_demangle::ast::TemplateArgs as cpp_demangle::ast::Demangle<W>>::demangle
    411 (0.8%)     1 (0.1%)  <cpp_demangle::ast::OperatorName as cpp_demangle::ast::Demangle<W>>::demangle
    410 (0.8%)    10 (0.9%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    404 (0.8%)     6 (0.5%)  core::result::Result<T,E>::map_err
    380 (0.8%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    370 (0.8%)    10 (0.9%)  core::fmt::ArgumentV1::new
    370 (0.8%)    10 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    363 (0.7%)     1 (0.1%)  <cpp_demangle::ast::SimpleOperatorName as cpp_demangle::ast::Demangle<W>>::demangle
    356 (0.7%)     1 (0.1%)  <cpp_demangle::ast::ResourceName as cpp_demangle::ast::Demangle<W>>::demangle
    355 (0.7%)     7 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    347 (0.7%)     5 (0.4%)  alloc::alloc::box_free
    341 (0.7%)     1 (0.1%)  core::ptr::drop_in_place<cpp_demangle::ast::Expression>
    336 (0.7%)     1 (0.1%)  <cpp_demangle::ast::MangledName as cpp_demangle::ast::Demangle<W>>::demangle
    333 (0.7%)     9 (0.8%)  core::ptr::metadata::from_raw_parts
    319 (0.6%)     7 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    316 (0.6%)     6 (0.5%)  core::option::Option<T>::map
    309 (0.6%)     1 (0.1%)  <cpp_demangle::ast::CtorDtorName as cpp_demangle::ast::Demangle<W>>::demangle
    304 (0.6%)     1 (0.1%)  <cpp_demangle::ast::LocalName as cpp_demangle::ast::Demangle<W>>::demangle
    302 (0.6%)     1 (0.1%)  <cpp_demangle::ast::Identifier as cpp_demangle::ast::Demangle<W>>::demangle
    297 (0.6%)     1 (0.1%)  cpp_demangle::Symbol<T>::new_with_options
    279 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    278 (0.6%)     1 (0.1%)  <cpp_demangle::ast::StandardBuiltinType as cpp_demangle::ast::Demangle<W>>::demangle
    275 (0.6%)     1 (0.1%)  <cpp_demangle::ast::TemplateArg as cpp_demangle::ast::Demangle<W>>::demangle
    274 (0.6%)     1 (0.1%)  <cpp_demangle::ast::CloneSuffix as cpp_demangle::ast::Demangle<W>>::demangle
    267 (0.5%)     1 (0.1%)  <cpp_demangle::ast::CvQualifiers as cpp_demangle::ast::Demangle<W>>::demangle
    265 (0.5%)     1 (0.1%)  <cpp_demangle::ast::Initializer as cpp_demangle::ast::Demangle<W>>::demangle
    265 (0.5%)     1 (0.1%)  <cpp_demangle::ast::Type as cpp_demangle::ast::DemangleAsInner<W>>::demangle_as_inner
    263 (0.5%)     1 (0.1%)  <cpp_demangle::ast::UnqualifiedName as cpp_demangle::ast::Demangle<W>>::demangle
    256 (0.5%)     1 (0.1%)  <cpp_demangle::ast::ClassEnumType as cpp_demangle::ast::Demangle<W>>::demangle
    252 (0.5%)     1 (0.1%)  <cpp_demangle::ast::VectorType as cpp_demangle::ast::DemangleAsInner<W>>::demangle_as_inner
    247 (0.5%)     6 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    244 (0.5%)     1 (0.1%)  <cpp_demangle::ast::GlobalCtorDtor as cpp_demangle::ast::Demangle<W>>::demangle
    244 (0.5%)     1 (0.1%)  <cpp_demangle::ast::UnresolvedType as cpp_demangle::ast::Demangle<W>>::demangle
    243 (0.5%)     1 (0.1%)  <addr2line::LocationRangeUnitIter as core::iter::traits::iterator::Iterator>::next
    236 (0.5%)     1 (0.1%)  <cpp_demangle::ast::CallOffset as cpp_demangle::ast::Demangle<W>>::demangle
    225 (0.5%)    11 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    224 (0.5%)     1 (0.1%)  <cpp_demangle::ast::Decltype as cpp_demangle::ast::Demangle<W>>::demangle
