  Lines        Copies      Function name
  -----        ------      -------------
  2232 (100%)  103 (100%)  (TOTAL)
   500 (22.4%)   1 (1.0%)  adler::algo::<impl adler::Adler32>::compute
   109 (4.9%)    1 (1.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    80 (3.6%)    2 (1.9%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    80 (3.6%)    2 (1.9%)  core::slice::iter::Iter<T>::new
    78 (3.5%)    2 (1.9%)  core::slice::iter::Iter<T>::post_inc_start
    76 (3.4%)    1 (1.0%)  core::cmp::min_by
    72 (3.2%)    1 (1.0%)  <adler::algo::U32X4 as core::ops::arith::AddAssign>::add_assign
    66 (3.0%)    1 (1.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    66 (3.0%)    1 (1.0%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    60 (2.7%)    1 (1.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    57 (2.6%)    1 (1.0%)  adler::algo::U32X4::from
    55 (2.5%)    1 (1.0%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::next
    48 (2.2%)    1 (1.0%)  <adler::algo::U32X4 as core::ops::arith::RemAssign<u32>>::rem_assign
    43 (1.9%)    1 (1.0%)  <adler::algo::U32X4 as core::ops::arith::MulAssign<u32>>::mul_assign
    41 (1.8%)    1 (1.0%)  core::slice::iter::IterMut<T>::new
    40 (1.8%)    1 (1.0%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    40 (1.8%)    1 (1.0%)  core::slice::iter::IterMut<T>::post_inc_start
    39 (1.7%)    1 (1.0%)  <adler::Adler32 as core::fmt::Debug>::fmt
    38 (1.7%)    1 (1.0%)  core::slice::iter::ChunksExact<T>::new
    34 (1.5%)    1 (1.0%)  core::iter::traits::iterator::Iterator::zip
    33 (1.5%)    1 (1.0%)  core::slice::<impl [T]>::chunks_exact
    33 (1.5%)    1 (1.0%)  core::slice::<impl [T]>::split_at_unchecked
    31 (1.4%)    1 (1.0%)  core::ptr::metadata::from_raw_parts
    26 (1.2%)    1 (1.0%)  core::fmt::num::<impl core::fmt::Debug for u16>::fmt
    26 (1.2%)    1 (1.0%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    22 (1.0%)    1 (1.0%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    20 (0.9%)    2 (1.9%)  core::iter::adapters::zip::TrustedRandomAccessNoCoerce::size
    20 (0.9%)    2 (1.9%)  core::ptr::const_ptr::<impl *const T>::offset
    20 (0.9%)    2 (1.9%)  core::ptr::mut_ptr::<impl *mut T>::offset
