  Lines         Copies      Function name
  -----         ------      -------------
  17737 (100%)  721 (100%)  (TOTAL)
   1215 (6.9%)    5 (0.7%)  arbitrary::unstructured::Unstructured::int_in_range_impl
   1041 (5.9%)   26 (3.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    649 (3.7%)   10 (1.4%)  core::result::Result<T,E>::map
    627 (3.5%)   44 (6.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    493 (2.8%)    1 (0.1%)  arbitrary::unstructured::Unstructured::arbitrary_byte_size
    265 (1.5%)    5 (0.7%)  core::result::Result<T,E>::map_err
    216 (1.2%)    3 (0.4%)  alloc::boxed::Box<T,A>::into_unique
    199 (1.1%)    3 (0.4%)  alloc::alloc::box_free
    157 (0.9%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.9%)    1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    154 (0.9%)    1 (0.1%)  alloc::raw_vec::finish_grow
    151 (0.9%)    4 (0.6%)  core::option::Option<T>::ok_or
    147 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    144 (0.8%)    1 (0.1%)  <&str as arbitrary::Arbitrary>::arbitrary
    140 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    137 (0.8%)    1 (0.1%)  <core::time::Duration as arbitrary::Arbitrary>::arbitrary
    136 (0.8%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    134 (0.8%)    3 (0.4%)  core::mem::replace
    132 (0.7%)    3 (0.4%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    130 (0.7%)    2 (0.3%)  alloc::vec::Vec<T,A>::retain_mut::process_loop
    119 (0.7%)    1 (0.1%)  <i16 as arbitrary::Arbitrary>::arbitrary
