  Lines        Copies      Function name
  -----        ------      -------------
  3491 (100%)  189 (100%)  (TOTAL)
   241 (6.9%)    1 (0.5%)  core::array::<impl core::default::Default for [T; _]>::default
   222 (6.4%)    1 (0.5%)  core::sync::atomic::atomic_compare_exchange_weak
   186 (5.3%)    1 (0.5%)  core::sync::atomic::atomic_compare_exchange
   178 (5.1%)    4 (2.1%)  core::mem::replace
   103 (3.0%)    1 (0.5%)  <arc_swap::debt::helping::Slots as core::default::Default>::default
    97 (2.8%)    2 (1.1%)  arc_swap::debt::list::Node::get::{{closure}}
    93 (2.7%)    3 (1.6%)  core::cell::Cell<T>::replace
    91 (2.6%)    1 (0.5%)  arc_swap::debt::list::Node::traverse
    89 (2.5%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    78 (2.2%)    2 (1.1%)  core::sync::atomic::atomic_load
    76 (2.2%)    1 (0.5%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    74 (2.1%)    1 (0.5%)  arc_swap::debt::list::Node::start_cooldown
    70 (2.0%)    4 (2.1%)  core::ptr::read
    68 (1.9%)    2 (1.1%)  core::sync::atomic::atomic_store
    65 (1.9%)    1 (0.5%)  <arc_swap::debt::list::Node as core::default::Default>::default
    63 (1.8%)    1 (0.5%)  arc_swap::debt::list::LocalNode::confirm_helping
    58 (1.7%)    1 (0.5%)  std::thread::local::fast::Key<T>::get
    58 (1.7%)    1 (0.5%)  std::thread::local::fast::Key<T>::try_initialize
    56 (1.6%)    1 (0.5%)  core::result::Result<T,E>::map_err
    54 (1.5%)    1 (0.5%)  arc_swap::debt::helping::Slots::confirm
    50 (1.4%)    1 (0.5%)  core::fmt::Arguments::new_v1
    42 (1.2%)    1 (0.5%)  core::slice::iter::Iter<T>::new
    41 (1.2%)    1 (0.5%)  core::result::Result<T,E>::map
    39 (1.1%)    1 (0.5%)  arc_swap::debt::helping::Slots::get_debt
    39 (1.1%)    1 (0.5%)  arc_swap::debt::list::Node::check_cooldown
    38 (1.1%)    1 (0.5%)  std::thread::local::fast::destroy_value
    33 (0.9%)    1 (0.5%)  std::thread::local::fast::Key<T>::try_register_dtor
    31 (0.9%)    1 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    30 (0.9%)    1 (0.5%)  core::sync::atomic::atomic_add
    30 (0.9%)    1 (0.5%)  core::sync::atomic::atomic_sub
    30 (0.9%)    1 (0.5%)  core::sync::atomic::atomic_swap
    28 (0.8%)    1 (0.5%)  alloc::alloc::exchange_malloc
    28 (0.8%)    1 (0.5%)  arc_swap::debt::list::LocalNode::new_helping
    28 (0.8%)    1 (0.5%)  core::option::Option<T>::ok_or
    28 (0.8%)    1 (0.5%)  core::option::Option<T>::unwrap_or_else
    27 (0.8%)    1 (0.5%)  alloc::boxed::Box<T>::new
    26 (0.7%)    4 (2.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    26 (0.7%)    1 (0.5%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    24 (0.7%)    1 (0.5%)  <arc_swap::debt::Debt as core::default::Default>::default
