  Lines          Copies       Function name
  -----          ------       -------------
  224451 (100%)  6763 (100%)  (TOTAL)
   34448 (15.3%)   44 (0.7%)  async_task::raw::RawTask<F,T,S>::run
   18098 (8.1%)   402 (5.9%)  async_task::utils::abort_on_panic
   14520 (6.5%)    44 (0.7%)  <async_task::raw::RawTask<F,T,S>::run::Guard<F,T,S> as core::ops::drop::Drop>::drop
    7084 (3.2%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::wake_by_ref
    6098 (2.7%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::allocate
    5852 (2.6%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::wake
    3520 (1.6%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::task_layout
    3476 (1.5%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::schedule
    2696 (1.2%)    52 (0.8%)  <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
    2493 (1.1%)    11 (0.2%)  async_executor::Executor::spawn::{{closure}}
    2491 (1.1%)    45 (0.7%)  alloc::alloc::box_free
    2463 (1.1%)    51 (0.8%)  core::mem::replace
    2453 (1.1%)    11 (0.2%)  async_std::task::builder::Builder::spawn
    2420 (1.1%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::drop_waker
    2317 (1.0%)    11 (0.2%)  blocking::unblock::{{closure}}
    2267 (1.0%)    22 (0.3%)  async_task::runnable::spawn_unchecked
    2189 (1.0%)    11 (0.2%)  async_global_executor::executor::spawn_blocking::{{closure}}
    2132 (0.9%)    52 (0.8%)  core::pin::Pin<&mut T>::map_unchecked_mut
    1914 (0.9%)    24 (0.4%)  std::thread::local::LocalKey<T>::try_with
    1771 (0.8%)    11 (0.2%)  async_executor::Executor::spawn
    1672 (0.7%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::drop_ref
    1586 (0.7%)     7 (0.1%)  async_task::task::Task<T>::set_detached
    1572 (0.7%)    31 (0.5%)  core::option::Option<T>::map
    1452 (0.6%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::destroy
    1452 (0.6%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::from_ptr
    1320 (0.6%)    44 (0.7%)  async_task::raw::RawTask<F,T,S>::clone_waker
    1289 (0.6%)    62 (0.9%)  core::ptr::read
    1232 (0.5%)    38 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1184 (0.5%)    25 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1144 (0.5%)   226 (3.3%)  core::pin::Pin<P>::new_unchecked
    1119 (0.5%)     6 (0.1%)  async_task::task::Task<T>::poll_task
    1092 (0.5%)    80 (1.2%)  core::future::from_generator
    1078 (0.5%)    11 (0.2%)  async_std::task::task_locals_wrapper::TaskLocalsWrapper::set_current::{{closure}}
    1045 (0.5%)    11 (0.2%)  async_std::task::builder::Builder::build
    1008 (0.4%)    63 (0.9%)  core::alloc::layout::size_align
    1002 (0.4%)     6 (0.1%)  async_io::Async<T>::new
     964 (0.4%)     2 (0.0%)  async_io::Async<T>::read_with::{{closure}}
     930 (0.4%)     2 (0.0%)  <async_io::reactor::Ready<H,T> as core::future::future::Future>::poll
