  Lines         Copies       Function name
  -----         ------       -------------
  61809 (100%)  2813 (100%)  (TOTAL)
   1794 (2.9%)    42 (1.5%)  core::option::Option<T>::map
   1756 (2.8%)    32 (1.1%)  alloc::alloc::box_free
   1740 (2.8%)    30 (1.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1304 (2.1%)     6 (0.2%)  <F as syn::parse::Parser>::parse2
   1093 (1.8%)     1 (0.0%)  <async_stream_impl::Scrub as syn::gen::visit_mut::VisitMut>::visit_expr_mut
   1030 (1.7%)    23 (0.8%)  core::mem::replace
    992 (1.6%)    32 (1.1%)  core::ptr::metadata::from_raw_parts_mut
    870 (1.4%)    30 (1.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    818 (1.3%)     2 (0.1%)  async_stream_impl::replace_for_await
    817 (1.3%)    17 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    712 (1.2%)     8 (0.3%)  core::iter::traits::iterator::Iterator::fold
    688 (1.1%)    16 (0.6%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    679 (1.1%)     1 (0.0%)  async_stream_impl::visit_token_stream_impl
    672 (1.1%)    16 (0.6%)  core::slice::iter::IterMut<T>::new
    672 (1.1%)    16 (0.6%)  core::slice::iter::IterMut<T>::post_inc_start
    630 (1.0%)    15 (0.5%)  core::option::Option<T>::or_else
    596 (1.0%)     1 (0.0%)  async_stream_impl::stream_inner
    596 (1.0%)     1 (0.0%)  async_stream_impl::try_stream_inner
    568 (0.9%)     4 (0.1%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    520 (0.8%)    13 (0.5%)  syn::punctuated::Pair<T,P>::into_tuple
    510 (0.8%)    27 (1.0%)  core::ptr::read
    417 (0.7%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    394 (0.6%)    40 (1.4%)  core::ops::function::FnOnce::call_once
    385 (0.6%)    62 (2.2%)  core::ptr::unique::Unique<T>::cast
    382 (0.6%)     2 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    348 (0.6%)    16 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    340 (0.6%)     4 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
    329 (0.5%)    30 (1.1%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    312 (0.5%)    13 (0.5%)  syn::punctuated::Punctuated<T,P>::pairs_mut
    297 (0.5%)     4 (0.1%)  std::thread::local::LocalKey<T>::try_with
    297 (0.5%)     2 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    288 (0.5%)    32 (1.1%)  core::ptr::slice_from_raw_parts_mut
    287 (0.5%)     1 (0.0%)  async_stream_impl::parse_input
    280 (0.5%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    270 (0.4%)    30 (1.1%)  alloc::vec::Vec<T,A>::as_mut_ptr
    247 (0.4%)    26 (0.9%)  <syn::punctuated::PairsMut<T,P> as core::iter::traits::iterator::Iterator>::next::{{closure}}
    246 (0.4%)     6 (0.2%)  core::iter::traits::iterator::Iterator::for_each
    242 (0.4%)    14 (0.5%)  core::option::Option<T>::as_mut
    242 (0.4%)     2 (0.1%)  <core::iter::adapters::peekable::Peekable<I> as core::iter::traits::iterator::Iterator>::fold
    241 (0.4%)     1 (0.0%)  core::char::methods::encode_utf8_raw
    240 (0.4%)     2 (0.1%)  <proc_macro::TokenStream as core::iter::traits::collect::FromIterator<proc_macro::TokenStream>>::from_iter
    216 (0.3%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    212 (0.3%)    19 (0.7%)  core::option::Option<T>::take
    212 (0.3%)     1 (0.0%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    209 (0.3%)    15 (0.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
    209 (0.3%)     4 (0.1%)  core::result::Result<T,E>::map_err
    208 (0.3%)    13 (0.5%)  <syn::punctuated::PairsMut<T,P> as core::iter::traits::iterator::Iterator>::next
    207 (0.3%)     5 (0.2%)  core::slice::iter::Iter<T>::new
    206 (0.3%)    27 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    206 (0.3%)     2 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    204 (0.3%)     4 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    198 (0.3%)     2 (0.1%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
    190 (0.3%)    19 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
    186 (0.3%)     6 (0.2%)  core::ptr::metadata::from_raw_parts
    186 (0.3%)     1 (0.0%)  <async_stream_impl::Partial<T> as syn::parse::Parse>::parse
    183 (0.3%)     3 (0.1%)  alloc::vec::Vec<T,A>::push
    179 (0.3%)    30 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    177 (0.3%)    32 (1.1%)  core::ptr::unique::Unique<T>::as_ref
    176 (0.3%)    16 (0.6%)  <alloc::vec::Vec<T,A> as core::ops::deref::DerefMut>::deref_mut
    175 (0.3%)     2 (0.1%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    172 (0.3%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    170 (0.3%)     5 (0.2%)  core::option::Option<T>::ok_or
    168 (0.3%)     4 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
    166 (0.3%)     1 (0.0%)  syn::gen::visit_mut::visit_expr_mut
    165 (0.3%)    14 (0.5%)  <core::option::Option<T> as core::iter::traits::collect::IntoIterator>::into_iter
    165 (0.3%)     1 (0.0%)  core::ptr::drop_in_place<syn::expr::Expr>
    162 (0.3%)    18 (0.6%)  core::slice::raw::from_raw_parts_mut
    160 (0.3%)     2 (0.1%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::FromIterator<proc_macro2::TokenTree>>::from_iter
    158 (0.3%)    10 (0.4%)  core::iter::traits::iterator::Iterator::collect
    157 (0.3%)     1 (0.0%)  alloc::alloc::Global::grow_impl
    154 (0.2%)     1 (0.0%)  alloc::raw_vec::finish_grow
    153 (0.2%)     3 (0.1%)  core::alloc::layout::Layout::array
    150 (0.2%)    30 (1.1%)  alloc::raw_vec::RawVec<T,A>::ptr
    150 (0.2%)     6 (0.2%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    149 (0.2%)    26 (0.9%)  core::ptr::write
    147 (0.2%)     1 (0.0%)  syn::gen::visit_mut::visit_bin_op_mut
    145 (0.2%)     4 (0.1%)  core::result::Result<T,E>::expect
    144 (0.2%)     2 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    142 (0.2%)     1 (0.0%)  std::panicking::update_hook
    141 (0.2%)    62 (2.2%)  core::ptr::unique::Unique<T>::as_ptr
    132 (0.2%)     3 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    131 (0.2%)     1 (0.0%)  <proc_macro::TokenTree as core::clone::Clone>::clone
    129 (0.2%)     3 (0.1%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    128 (0.2%)     2 (0.1%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    128 (0.2%)     1 (0.0%)  syn::gen::visit_mut::visit_expr_closure_mut
    126 (0.2%)     2 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
    115 (0.2%)     1 (0.0%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    115 (0.2%)     1 (0.0%)  core::iter::traits::iterator::Iterator::advance_by
    115 (0.2%)     1 (0.0%)  syn::error::Error::new
    112 (0.2%)    16 (0.6%)  core::slice::<impl [T]>::iter_mut
    111 (0.2%)     7 (0.2%)  core::mem::forget
    110 (0.2%)     1 (0.0%)  async_stream_impl::Scrub::visit_token_stream
    109 (0.2%)     1 (0.0%)  syn::gen::visit_mut::visit_expr_struct_mut
    108 (0.2%)     2 (0.1%)  <proc_macro2::imp::Ident as core::cmp::PartialEq<T>>::eq
    107 (0.2%)    20 (0.7%)  core::ptr::non_null::NonNull<T>::new_unchecked
    107 (0.2%)     4 (0.1%)  alloc::boxed::Box<T>::new
