  Lines        Copies      Function name
  -----        ------      -------------
  3227 (100%)  185 (100%)  (TOTAL)
   154 (4.8%)    1 (0.5%)  bytes::bytes_mut::BytesMut::freeze
   140 (4.3%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   112 (3.5%)    1 (0.5%)  <asynchronous_codec::codec::length::LengthCodec as asynchronous_codec::decoder::Decoder>::decode
   109 (3.4%)    1 (0.5%)  alloc::string::String::from_utf8
    92 (2.9%)    1 (0.5%)  core::result::Result<T,E>::map_err
    90 (2.8%)    1 (0.5%)  <asynchronous_codec::codec::lines::LinesCodec as asynchronous_codec::decoder::Decoder>::decode
    89 (2.8%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    83 (2.6%)    1 (0.5%)  core::result::Result<T,E>::map
    68 (2.1%)    2 (1.1%)  core::option::Option<T>::ok_or
    58 (1.8%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    56 (1.7%)    2 (1.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    56 (1.7%)    2 (1.1%)  alloc::boxed::Box<T>::new
    52 (1.6%)    1 (0.5%)  <asynchronous_codec::codec::bytes::BytesCodec as asynchronous_codec::decoder::Decoder>::decode
    51 (1.6%)    1 (0.5%)  core::alloc::layout::Layout::array
    50 (1.5%)    1 (0.5%)  <bytes::bytes_mut::BytesMut as bytes::buf::buf_impl::Buf>::advance
    50 (1.5%)    1 (0.5%)  core::fmt::Arguments::new_v1
    49 (1.5%)    1 (0.5%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    47 (1.5%)    1 (0.5%)  <bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::advance
    46 (1.4%)    2 (1.1%)  std::io::error::Error::new
    43 (1.3%)    5 (2.7%)  <T as core::convert::Into<U>>::into
    42 (1.3%)    1 (0.5%)  core::sync::atomic::atomic_load
    39 (1.2%)    1 (0.5%)  <asynchronous_codec::codec::length::LengthCodec as asynchronous_codec::encoder::Encoder>::encode
    38 (1.2%)    1 (0.5%)  <bytes::bytes_mut::BytesMut as bytes::buf::buf_mut::BufMut>::put
    36 (1.1%)    1 (0.5%)  <asynchronous_codec::codec::lines::LinesCodec as asynchronous_codec::encoder::Encoder>::encode
    35 (1.1%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (1.1%)    1 (0.5%)  <asynchronous_codec::codec::bytes::BytesCodec as asynchronous_codec::encoder::Encoder>::encode
