  Lines        Copies      Function name
  -----        ------      -------------
  1602 (100%)  145 (100%)  (TOTAL)
   180 (11.2%)   5 (3.4%)  core::sync::atomic::atomic_load
    92 (5.7%)    1 (0.7%)  <bitvec::array::traits::TryFromBitSliceError as core::fmt::Debug>::fmt
    71 (4.4%)    1 (0.7%)  <bitvec::array::traits::TryFromBitSliceError as core::fmt::Display>::fmt
    50 (3.1%)    1 (0.7%)  core::fmt::Arguments::new_v1
    31 (1.9%)    1 (0.7%)  core::fmt::ArgumentV1::new
    30 (1.9%)    5 (3.4%)  core::cell::Cell<T>::new
    29 (1.8%)    1 (0.7%)  <bitvec::access::BitSafeU16 as core::fmt::Debug>::fmt
    29 (1.8%)    1 (0.7%)  <bitvec::access::BitSafeU32 as core::fmt::Debug>::fmt
    29 (1.8%)    1 (0.7%)  <bitvec::access::BitSafeU64 as core::fmt::Debug>::fmt
    29 (1.8%)    1 (0.7%)  <bitvec::access::BitSafeU8 as core::fmt::Debug>::fmt
    29 (1.8%)    1 (0.7%)  <bitvec::access::BitSafeUsize as core::fmt::Debug>::fmt
    27 (1.7%)    1 (0.7%)  <bitvec::vec::iter::FillStatus as core::fmt::Debug>::fmt
    24 (1.5%)    1 (0.7%)  bitvec::access::BitSafeU16::new
    24 (1.5%)    1 (0.7%)  bitvec::access::BitSafeU32::new
    24 (1.5%)    1 (0.7%)  bitvec::access::BitSafeU64::new
    24 (1.5%)    1 (0.7%)  bitvec::access::BitSafeUsize::new
    24 (1.5%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU16>::new
    24 (1.5%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU32>::new
    24 (1.5%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU64>::new
    24 (1.5%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicUsize>::new
    23 (1.4%)    1 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    21 (1.3%)    1 (0.7%)  bitvec::access::BitSafeU8::new
    21 (1.3%)    1 (0.7%)  bitvec::mem::BitElement<core::sync::atomic::AtomicU8>::new
    20 (1.2%)    5 (3.4%)  <&T as core::fmt::Debug>::fmt
