  Lines        Copies      Function name
  -----        ------      -------------
  9316 (100%)  463 (100%)  (TOTAL)
   438 (4.7%)   11 (2.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   323 (3.5%)    5 (1.1%)  alloc::alloc::box_free
   241 (2.6%)    1 (0.2%)  core::char::methods::encode_utf8_raw
   202 (2.2%)    1 (0.2%)  safemem::copy_over
   198 (2.1%)    4 (0.9%)  core::result::Result<T,E>::map_err
   157 (1.7%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   156 (1.7%)    1 (0.2%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   155 (1.7%)    3 (0.6%)  core::mem::replace
   154 (1.7%)    1 (0.2%)  alloc::raw_vec::finish_grow
   148 (1.6%)    1 (0.2%)  slice_deque::mirrored::buffer::Buffer<T>::uninitialized
   147 (1.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::shrink
   144 (1.5%)    2 (0.4%)  alloc::boxed::Box<T,A>::into_unique
   142 (1.5%)    8 (1.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   140 (1.5%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   136 (1.5%)    2 (0.4%)  core::option::Option<T>::map_or
   131 (1.4%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_exact
   124 (1.3%)    4 (0.9%)  core::fmt::ArgumentV1::new
   119 (1.3%)    6 (1.3%)  core::ptr::read
   106 (1.1%)    1 (0.2%)  slice_deque::SliceDeque<T>::reserve_capacity
   105 (1.1%)    3 (0.6%)  core::option::Option<T>::ok_or
   103 (1.1%)    1 (0.2%)  buf_redux::buffer::std_buf::StdBuf::reserve
    97 (1.0%)    1 (0.2%)  buf_redux::buffer::std_buf::impl_::RawBuf::reserve
    89 (1.0%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    88 (0.9%)    2 (0.4%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    88 (0.9%)    1 (0.2%)  alloc::vec::Vec<T,A>::into_boxed_slice
    76 (0.8%)    2 (0.4%)  alloc::boxed::Box<T,A>::from_raw_in
    76 (0.8%)    1 (0.2%)  core::cmp::max_by
    76 (0.8%)    1 (0.2%)  core::cmp::min_by
    76 (0.8%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    75 (0.8%)    2 (0.4%)  core::result::Result<T,E>::unwrap
    71 (0.8%)    1 (0.2%)  core::ptr::swap_nonoverlapping_bytes
    69 (0.7%)    3 (0.6%)  core::ops::function::FnOnce::call_once
    67 (0.7%)    1 (0.2%)  slice_deque::SliceDeque<T>::with_capacity
    63 (0.7%)    1 (0.2%)  buf_redux::buffer::std_buf::impl_::RawBuf::with_capacity
    62 (0.7%)    2 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    59 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::into_box
    59 (0.6%)    1 (0.2%)  slice_deque::SliceDeque<T>::with_capacity::{{closure}}
    58 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    58 (0.6%)    1 (0.2%)  slice_deque::SliceDeque<T>::move_head_unchecked
    58 (0.6%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
    58 (0.6%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
    53 (0.6%)    1 (0.2%)  core::ptr::swap_nonoverlapping_one
    51 (0.5%)    4 (0.9%)  core::mem::manually_drop::ManuallyDrop<T>::new
    51 (0.5%)    1 (0.2%)  core::alloc::layout::Layout::array
    50 (0.5%)    1 (0.2%)  alloc::slice::hack::into_vec
    50 (0.5%)    1 (0.2%)  core::fmt::Arguments::new_v1
    49 (0.5%)    1 (0.2%)  core::result::Result<T,E>::unwrap_or_else
    48 (0.5%)    5 (1.1%)  core::ptr::unique::Unique<T>::as_ref
    47 (0.5%)    1 (0.2%)  <buf_redux::policy::MinBuffered as buf_redux::policy::ReaderPolicy>::before_read
    45 (0.5%)    6 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    44 (0.5%)    2 (0.4%)  alloc::boxed::Box<T,A>::leak
    43 (0.5%)    6 (1.3%)  core::ptr::unique::Unique<T>::cast
