  Lines        Copies      Function name
  -----        ------      -------------
  3055 (100%)  125 (100%)  (TOTAL)
   583 (19.1%)   1 (0.8%)  byte_unit::byte_unit::read_xib
   196 (6.4%)    1 (0.8%)  byte_unit::byte::Byte::get_appropriate_unit
   190 (6.2%)    1 (0.8%)  byte_unit::byte_unit::read_ib
   119 (3.9%)    1 (0.8%)  byte_unit::byte_unit::get_char_from_bytes
    96 (3.1%)    1 (0.8%)  core::str::validations::next_code_point
    91 (3.0%)    1 (0.8%)  <byte_unit::byte_unit::ByteUnit as core::fmt::Debug>::fmt
    80 (2.6%)    2 (1.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    80 (2.6%)    2 (1.6%)  core::slice::iter::Iter<T>::new
    78 (2.6%)    2 (1.6%)  core::slice::iter::Iter<T>::post_inc_start
    75 (2.5%)    1 (0.8%)  core::fmt::builders::DebugList::entries
    74 (2.4%)    1 (0.8%)  <byte_unit::byte_error::ValueIncorrectError as core::fmt::Debug>::fmt
    68 (2.2%)    1 (0.8%)  <byte_unit::byte_error::ByteError as core::fmt::Debug>::fmt
    59 (1.9%)    1 (0.8%)  core::char::convert::<impl core::str::traits::FromStr for char>::from_str
    54 (1.8%)    1 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    53 (1.7%)    1 (0.8%)  core::result::Result<T,E>::unwrap
    49 (1.6%)    1 (0.8%)  <byte_unit::byte_error::UnitIncorrectError as core::fmt::Debug>::fmt
    47 (1.5%)    1 (0.8%)  core::option::Option<T>::unwrap_unchecked
    40 (1.3%)    1 (0.8%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    40 (1.3%)    1 (0.8%)  byte_unit::byte_unit::ByteUnit::get_unit_bytes
    39 (1.3%)    9 (7.2%)  <&T as core::fmt::Debug>::fmt
    39 (1.3%)    1 (0.8%)  <byte_unit::adjusted_byte::AdjustedByte as core::fmt::Debug>::fmt
    39 (1.3%)    1 (0.8%)  core::slice::iter::IterMut<T>::new
    38 (1.2%)    1 (0.8%)  core::option::Option<T>::map
