  Lines       Copies     Function name
  -----       ------     -------------
  359 (100%)  35 (100%)  (TOTAL)
   31 (8.6%)   1 (2.9%)  bytes::bytes::Bytes::from_static
   31 (8.6%)   1 (2.9%)  core::ptr::metadata::from_raw_parts
   25 (7.0%)   1 (2.9%)  <bytestring::ByteString as core::cmp::PartialEq<str>>::eq
   22 (6.1%)   2 (5.7%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
   20 (5.6%)   1 (2.9%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
   19 (5.3%)   1 (2.9%)  core::str::traits::<impl core::cmp::PartialEq for str>::eq
   17 (4.7%)   1 (2.9%)  core::str::<impl str>::as_bytes
   17 (4.7%)   1 (2.9%)  core::str::converts::from_utf8_unchecked
   16 (4.5%)   1 (2.9%)  bytestring::ByteString::from_static
   13 (3.6%)   1 (2.9%)  bytestring::ByteString::from_bytes_unchecked
   12 (3.3%)   1 (2.9%)  <bytestring::ByteString as core::ops::deref::Deref>::deref
   12 (3.3%)   1 (2.9%)  bytestring::ByteString::new
   11 (3.1%)   1 (2.9%)  bytes::bytes::Bytes::as_slice
   10 (2.8%)   1 (2.9%)  core::mem::size_of_val
    9 (2.5%)   1 (2.9%)  core::ptr::slice_from_raw_parts
    9 (2.5%)   1 (2.9%)  core::slice::raw::from_raw_parts
    8 (2.2%)   1 (2.9%)  <bytestring::ByteString as core::convert::AsRef<[u8]>>::as_ref
    8 (2.2%)   1 (2.9%)  core::sync::atomic::AtomicPtr<T>::new
    7 (1.9%)   1 (2.9%)  <bytes::bytes::Bytes as core::convert::AsRef<[u8]>>::as_ref
    7 (1.9%)   1 (2.9%)  <bytestring::ByteString as core::borrow::Borrow<str>>::borrow
    7 (1.9%)   1 (2.9%)  <bytestring::ByteString as core::convert::AsRef<str>>::as_ref
    7 (1.9%)   1 (2.9%)  <bytestring::ByteString as core::fmt::Debug>::fmt
    7 (1.9%)   1 (2.9%)  <bytestring::ByteString as core::fmt::Display>::fmt
    7 (1.9%)   1 (2.9%)  core::str::traits::<impl core::ops::index::Index<I> for str>::index
    5 (1.4%)   1 (2.9%)  bytestring::ByteString::into_bytes
    5 (1.4%)   1 (2.9%)  core::cell::UnsafeCell<T>::new
    3 (0.8%)   1 (2.9%)  bytes::bytes::Bytes::new
    3 (0.8%)   1 (2.9%)  core::slice::cmp::<impl core::cmp::PartialEq<[B]> for [A]>::eq
    3 (0.8%)   1 (2.9%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::RangeFull>::index
    2 (0.6%)   1 (2.9%)  bytestring::ByteString::as_bytes
    2 (0.6%)   1 (2.9%)  core::ptr::const_ptr::<impl *const T>::cast
    2 (0.6%)   1 (2.9%)  core::slice::<impl [T]>::as_ptr
    1 (0.3%)   1 (2.9%)  core::ptr::null_mut
    1 (0.3%)   1 (2.9%)  core::slice::raw::debug_check_data_len
