  Lines        Copies      Function name
  -----        ------      -------------
  1641 (100%)  110 (100%)  (TOTAL)
   121 (7.4%)    1 (0.9%)  bzip2::mem::Compress::compress
   104 (6.3%)    1 (0.9%)  bzip2::mem::Decompress::decompress
    89 (5.4%)    1 (0.9%)  alloc::alloc::Global::alloc_impl
    88 (5.4%)    1 (0.9%)  bzip2::mem::Compress::new
    88 (5.4%)    1 (0.9%)  bzip2::mem::Decompress::new
    51 (3.1%)    2 (1.8%)  alloc::boxed::Box<T>::new
    51 (3.1%)    1 (0.9%)  alloc::alloc::box_free
    50 (3.0%)    1 (0.9%)  core::fmt::Arguments::new_v1
    46 (2.8%)    1 (0.9%)  <bzip2::mem::Status as core::fmt::Debug>::fmt
    37 (2.3%)    1 (0.9%)  <bzip2::mem::Error as core::fmt::Display>::fmt
    36 (2.2%)    1 (0.9%)  <bzip2::mem::Error as core::fmt::Debug>::fmt
    31 (1.9%)    1 (0.9%)  <bzip2::mem::Action as core::fmt::Debug>::fmt
    31 (1.9%)    1 (0.9%)  core::fmt::ArgumentV1::new
    31 (1.9%)    1 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    30 (1.8%)    1 (0.9%)  bzip2::mem::Compress::compress_vec
    30 (1.8%)    1 (0.9%)  bzip2::mem::Decompress::decompress_vec
    28 (1.7%)    1 (0.9%)  alloc::alloc::exchange_malloc
    28 (1.7%)    1 (0.9%)  core::option::Option<T>::ok_or
    26 (1.6%)    2 (1.8%)  bzip2::mem::Stream<D>::total_in
    26 (1.6%)    2 (1.8%)  bzip2::mem::Stream<D>::total_out
    26 (1.6%)    1 (0.9%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
    26 (1.6%)    1 (0.9%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
    22 (1.3%)    1 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    20 (1.2%)    1 (0.9%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
