  Lines         Copies       Function name
  -----         ------       -------------
  68075 (100%)  1561 (100%)  (TOTAL)
   5554 (8.2%)    19 (1.2%)  nom::combinator::map_opt::{{closure}}
   2667 (3.9%)     7 (0.4%)  nom::multi::fold_many0::{{closure}}
   2520 (3.7%)   140 (9.0%)  <F as nom::internal::Parser<I,O,E>>::parse
   2485 (3.7%)     5 (0.3%)  nom::multi::many1::{{closure}}
   1817 (2.7%)     3 (0.2%)  <(A,B,C,D) as nom::branch::Alt<Input,Output,Error>>::choice
   1725 (2.5%)    20 (1.3%)  core::result::Result<T,E>::map
   1710 (2.5%)    11 (0.7%)  nom::combinator::map::{{closure}}
   1503 (2.2%)     2 (0.1%)  <(A,B,C,D,E) as nom::branch::Alt<Input,Output,Error>>::choice
   1484 (2.2%)    26 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1276 (1.9%)     6 (0.4%)  nom::combinator::opt::{{closure}}
   1248 (1.8%)     4 (0.3%)  <(A,B) as nom::branch::Alt<Input,Output,Error>>::choice
   1166 (1.7%)     5 (0.3%)  nom::sequence::delimited::{{closure}}
   1150 (1.7%)     8 (0.5%)  nom::combinator::complete::{{closure}}
   1140 (1.7%)     2 (0.1%)  <(FnA,FnB,FnC,FnD) as nom::sequence::Tuple<Input,(A,B,C,D),Error>>::parse
   1128 (1.7%)    11 (0.7%)  nom::sequence::preceded::{{closure}}
   1081 (1.6%)     8 (0.5%)  nom::sequence::pair::{{closure}}
   1041 (1.5%)     1 (0.1%)  <(A,B,C,D,E,F,G) as nom::branch::Alt<Input,Output,Error>>::choice
   1036 (1.5%)     2 (0.1%)  nom::multi::many_m_n::{{closure}}
    933 (1.4%)     7 (0.4%)  nom::sequence::terminated::{{closure}}
    895 (1.3%)     5 (0.3%)  nom::combinator::recognize::{{closure}}
    895 (1.3%)     1 (0.1%)  <(A,B,C,D,E,F) as nom::branch::Alt<Input,Output,Error>>::choice
    840 (1.2%)     5 (0.3%)  <core::result::Result<(I,O),nom::internal::Err<E>> as cexpr::ToCexprResult<I,O>>::to_cexpr_result
    826 (1.2%)     2 (0.1%)  <(FnA,FnB,FnC) as nom::sequence::Tuple<Input,(A,B,C),Error>>::parse
    779 (1.1%)     4 (0.3%)  cexpr::literal::full::{{closure}}
    699 (1.0%)    25 (1.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    597 (0.9%)     2 (0.1%)  nom::multi::many0::{{closure}}
    567 (0.8%)     1 (0.1%)  nom::multi::separated_list0::{{closure}}
    530 (0.8%)     2 (0.1%)  cexpr::assert_full_parse
    424 (0.6%)     4 (0.3%)  cexpr::literal::c_float::parser
    417 (0.6%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    408 (0.6%)    31 (2.0%)  core::ops::function::FnMut::call_mut
    383 (0.6%)     8 (0.5%)  nom::sequence::pair::{{closure}}::{{closure}}
    348 (0.5%)     4 (0.3%)  core::iter::traits::iterator::Iterator::fold
    298 (0.4%)     1 (0.1%)  core::num::dec2flt::dec2flt
    292 (0.4%)     2 (0.1%)  cexpr::literal::float_exp::parser
    292 (0.4%)     1 (0.1%)  core::num::dec2flt::lemire::compute_float
    291 (0.4%)     1 (0.1%)  core::num::dec2flt::slow::parse_long_mantissa
    289 (0.4%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    289 (0.4%)     1 (0.1%)  cexpr::expr::unary_op
    280 (0.4%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    261 (0.4%)     5 (0.3%)  core::option::Option<T>::map
    258 (0.4%)     5 (0.3%)  core::option::Option<T>::and_then
    252 (0.4%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    250 (0.4%)     1 (0.1%)  cexpr::expr::PRef::literal
    241 (0.4%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    232 (0.3%)     1 (0.1%)  cexpr::expr::one_of_punctuation::{{closure}}
    217 (0.3%)     1 (0.1%)  cexpr::expr::p::{{closure}}
    215 (0.3%)     1 (0.1%)  cexpr::expr::PRef::identifier
    202 (0.3%)     1 (0.1%)  cexpr::literal::hexadecimal::parser
    198 (0.3%)     4 (0.3%)  core::result::Result<T,E>::map_err
    188 (0.3%)     1 (0.1%)  cexpr::literal::float_width::parser
    185 (0.3%)     1 (0.1%)  cexpr::expr::PRef::shl_shr
    182 (0.3%)     1 (0.1%)  cexpr::expr::PRef::and
    182 (0.3%)     1 (0.1%)  cexpr::expr::PRef::or
    182 (0.3%)     1 (0.1%)  cexpr::expr::PRef::xor
    180 (0.3%)     4 (0.3%)  core::mem::replace
    179 (0.3%)     1 (0.1%)  cexpr::expr::PRef::add_sub
    179 (0.3%)     1 (0.1%)  cexpr::expr::PRef::mul_div_rem
    174 (0.3%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    168 (0.2%)     1 (0.1%)  nom::character::complete::one_of::{{closure}}
    167 (0.2%)     1 (0.1%)  cexpr::literal::c_char::parser
    165 (0.2%)     4 (0.3%)  core::result::Result<T,E>::ok
    164 (0.2%)     1 (0.1%)  nom::character::complete::char::{{closure}}
    162 (0.2%)     3 (0.2%)  alloc::vec::Vec<T,A>::push
    160 (0.2%)     1 (0.1%)  <&[u8] as nom::traits::InputTakeAtPosition>::split_at_position1_complete
    160 (0.2%)     1 (0.1%)  <cexpr::ErrorKind as core::fmt::Debug>::fmt
    157 (0.2%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.2%)     1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    154 (0.2%)     1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.2%)     3 (0.2%)  core::alloc::layout::Layout::array
    153 (0.2%)     1 (0.1%)  cexpr::literal::c_string
    152 (0.2%)     2 (0.1%)  core::cmp::min_by
    151 (0.2%)     2 (0.1%)  core::fmt::builders::DebugList::entries
    148 (0.2%)     1 (0.1%)  cexpr::literal::c_int
    147 (0.2%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    143 (0.2%)     1 (0.1%)  cexpr::expr::identifier_token
    142 (0.2%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    141 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::ops::arith::AddAssign<&cexpr::expr::EvalResult>>::add_assign
    141 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::ops::arith::DivAssign<&cexpr::expr::EvalResult>>::div_assign
    141 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::ops::arith::MulAssign<&cexpr::expr::EvalResult>>::mul_assign
    141 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::ops::arith::RemAssign<&cexpr::expr::EvalResult>>::rem_assign
    141 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::ops::arith::SubAssign<&cexpr::expr::EvalResult>>::sub_assign
    139 (0.2%)    19 (1.2%)  nom::combinator::map_opt
    136 (0.2%)     2 (0.1%)  alloc::vec::Vec<T,A>::retain_mut::process_loop
    136 (0.2%)     1 (0.1%)  cexpr::literal::escaped_char
    135 (0.2%)     7 (0.4%)  core::ptr::read
    135 (0.2%)     5 (0.3%)  nom::sequence::delimited::{{closure}}::{{closure}}
    135 (0.2%)     4 (0.3%)  core::option::Option<T>::ok_or
    134 (0.2%)     1 (0.1%)  core::num::dec2flt::number::Number::try_fast_path
    132 (0.2%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    126 (0.2%)     2 (0.1%)  alloc::alloc::box_free
    126 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    125 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    124 (0.2%)     4 (0.3%)  core::fmt::ArgumentV1::new
    124 (0.2%)     4 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    123 (0.2%)     8 (0.5%)  cexpr::literal::c_int::{{closure}}
    123 (0.2%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    123 (0.2%)     1 (0.1%)  <cexpr::expr::EvalResult as core::fmt::Debug>::fmt
    122 (0.2%)     3 (0.2%)  core::slice::iter::Iter<T>::new
    121 (0.2%)     7 (0.4%)  nom::sequence::terminated::{{closure}}::{{closure}}
    120 (0.2%)     3 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    117 (0.2%)     1 (0.1%)  cexpr::expr::PRef::unary
    113 (0.2%)     1 (0.1%)  cexpr::literal::binary::parser
    113 (0.2%)     1 (0.1%)  cexpr::literal::decimal::parser
    113 (0.2%)     1 (0.1%)  cexpr::literal::octal::parser
    109 (0.2%)     1 (0.1%)  nom::bytes::complete::tag::{{closure}}
    108 (0.2%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    108 (0.2%)     1 (0.1%)  core::hash::sip::u8to64_le
    108 (0.2%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    106 (0.2%)     1 (0.1%)  cexpr::expr::PRef::expr
    104 (0.2%)     2 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
