  Lines          Copies       Function name
  -----          ------       -------------
  150630 (100%)  4289 (100%)  (TOTAL)
    7483 (5.0%)     1 (0.0%)  clap_derive::derives::args::gen_parsers
    4795 (3.2%)     1 (0.0%)  clap_derive::attrs::Attrs::push_attrs
    4753 (3.2%)     3 (0.1%)  clap_derive::derives::args::gen_augment::{{closure}}
    3179 (2.1%)     1 (0.0%)  clap_derive::derives::subcommand::gen_augment::{{closure}}
    2668 (1.8%)    46 (1.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2636 (1.7%)     1 (0.0%)  <clap_derive::parse::ClapAttr as syn::parse::Parse>::parse
    2524 (1.7%)    48 (1.1%)  core::option::Option<T>::map
    2356 (1.6%)    42 (1.0%)  alloc::alloc::box_free
    2036 (1.4%)     1 (0.0%)  clap_derive::derives::subcommand::gen_from_arg_matches
    1946 (1.3%)    14 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1719 (1.1%)     1 (0.0%)  clap_derive::derives::args::gen_constructor::{{closure}}
    1580 (1.0%)     1 (0.0%)  clap_derive::attrs::Attrs::from_field
    1563 (1.0%)     1 (0.0%)  clap_derive::derives::args::gen_updater::{{closure}}
    1550 (1.0%)    50 (1.2%)  core::ptr::metadata::from_raw_parts_mut
    1521 (1.0%)     4 (0.1%)  clap_derive::derives::subcommand::gen_from_arg_matches::{{closure}}
    1516 (1.0%)    29 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1424 (0.9%)     2 (0.0%)  alloc::str::join_generic_copy
    1400 (0.9%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1349 (0.9%)    10 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1347 (0.9%)     4 (0.1%)  clap_derive::derives::subcommand::gen_update_from_arg_matches::{{closure}}
    1334 (0.9%)    46 (1.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1043 (0.7%)     1 (0.0%)  clap_derive::attrs::Parser::from_spec
    1042 (0.7%)    12 (0.3%)  core::iter::traits::iterator::Iterator::fold
     994 (0.7%)     1 (0.0%)  clap_derive::utils::doc_comments::process_doc_comment
     960 (0.6%)     4 (0.1%)  proc_macro_error::entry_point
     890 (0.6%)    19 (0.4%)  core::mem::replace
     888 (0.6%)    12 (0.3%)  proc_macro_error::entry_point::{{closure}}
     888 (0.6%)     8 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     888 (0.6%)     4 (0.1%)  <F as syn::parse::Parser>::parse2
     879 (0.6%)     1 (0.0%)  clap_derive::derives::into_app::gen_for_enum
     863 (0.6%)     1 (0.0%)  clap_derive::attrs::Attrs::from_variant
     849 (0.6%)    12 (0.3%)  std::thread::local::LocalKey<T>::try_with
     848 (0.6%)     1 (0.0%)  clap_derive::derives::into_app::gen_for_struct
     826 (0.5%)     7 (0.2%)  <&T as proc_macro_error::__export::ToTokensAsSpanRange>::FIRST_ARG_MUST_EITHER_BE_Span_OR_IMPLEMENT_ToTokens_OR_BE_SpanRange
     818 (0.5%)     3 (0.1%)  clap_derive::attrs::Attrs::push_method
     816 (0.5%)    16 (0.4%)  core::alloc::layout::Layout::array
     814 (0.5%)    19 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     803 (0.5%)     8 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     795 (0.5%)    19 (0.4%)  core::slice::iter::Iter<T>::new
     794 (0.5%)    19 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
     778 (0.5%)     1 (0.0%)  clap_derive::derives::args::gen_from_arg_matches_for_struct
     776 (0.5%)     1 (0.0%)  clap_derive::derives::subcommand::gen_for_enum
     754 (0.5%)     2 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
     752 (0.5%)     1 (0.0%)  <clap_derive::parse::ClapAttr as core::clone::Clone>::clone
     719 (0.5%)     1 (0.0%)  clap_derive::derives::subcommand::gen_update_from_arg_matches
     717 (0.5%)     1 (0.0%)  clap_derive::derives::args::gen_for_struct
     703 (0.5%)    30 (0.7%)  core::ptr::read
     682 (0.5%)    22 (0.5%)  core::ptr::metadata::from_raw_parts
     636 (0.4%)    14 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     568 (0.4%)     4 (0.1%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
     567 (0.4%)     9 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     555 (0.4%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
     539 (0.4%)    86 (2.0%)  core::ptr::unique::Unique<T>::cast
     539 (0.4%)     1 (0.0%)  clap_derive::attrs::Method::from_lit_or_env
     532 (0.4%)    14 (0.3%)  <&T as proc_macro_error::__export::ToTokensAsSpanRange>::FIRST_ARG_MUST_EITHER_BE_Span_OR_IMPLEMENT_ToTokens_OR_BE_SpanRange::{{closure}}
     524 (0.3%)     1 (0.0%)  clap_derive::derives::arg_enum::gen_for_enum
     516 (0.3%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
     510 (0.3%)     5 (0.1%)  std::panicking::try
     503 (0.3%)    46 (1.1%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     497 (0.3%)     1 (0.0%)  clap_derive::derives::subcommand::gen_from_arg_matches_for_enum
     489 (0.3%)     4 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     474 (0.3%)     4 (0.1%)  clap_derive::derives::subcommand::gen_has_subcommand::{{closure}}
     471 (0.3%)     8 (0.2%)  alloc::vec::Vec<T,A>::push
     467 (0.3%)     2 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
     466 (0.3%)    20 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     460 (0.3%)     4 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     460 (0.3%)     4 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
     457 (0.3%)     1 (0.0%)  clap_derive::attrs::Attrs::from_struct
     450 (0.3%)    50 (1.2%)  core::ptr::slice_from_raw_parts_mut
     431 (0.3%)     1 (0.0%)  clap_derive::attrs::Attrs::from_arg_enum_variant
     416 (0.3%)    26 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
     414 (0.3%)    46 (1.1%)  alloc::vec::Vec<T,A>::as_mut_ptr
     405 (0.3%)     1 (0.0%)  clap_derive::parse::raw_method_suggestion
     397 (0.3%)     1 (0.0%)  clap_derive::derives::args::gen_arg_enum_possible_values
     388 (0.3%)     1 (0.0%)  clap_derive::derives::args::gen_augment
     379 (0.3%)     2 (0.0%)  clap_derive::parse::raw_method_suggestion::{{closure}}
     378 (0.3%)     1 (0.0%)  clap_derive::dummies::arg_enum
     372 (0.2%)     4 (0.1%)  core::option::Option<T>::filter
     371 (0.2%)    30 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     371 (0.2%)     6 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
     367 (0.2%)     5 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     360 (0.2%)     5 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     360 (0.2%)     3 (0.1%)  core::iter::traits::iterator::Iterator::partition
     359 (0.2%)     1 (0.0%)  clap_derive::dummies::subcommand
     358 (0.2%)     1 (0.0%)  clap_derive::attrs::CasingStyle::from_lit
     350 (0.2%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     349 (0.2%)     6 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     348 (0.2%)     4 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     330 (0.2%)     1 (0.0%)  clap_derive::attrs::Name::translate_char
     329 (0.2%)     1 (0.0%)  clap_derive::derives::arg_enum::gen_to_possible_value
     326 (0.2%)     1 (0.0%)  clap_derive::attrs::Attrs::field_methods
     324 (0.2%)     1 (0.0%)  core::ptr::drop_in_place<clap_derive::parse::ClapAttr>
     322 (0.2%)     1 (0.0%)  clap_derive::derives::subcommand::gen_has_subcommand
     320 (0.2%)     1 (0.0%)  <clap_derive::parse::ParserSpec as syn::parse::Parse>::parse
     316 (0.2%)     6 (0.1%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     306 (0.2%)     6 (0.1%)  core::iter::traits::iterator::Iterator::for_each
     303 (0.2%)     9 (0.2%)  core::option::Option<T>::ok_or
     297 (0.2%)     3 (0.1%)  core::iter::adapters::filter_map::filter_map_fold::{{closure}}
     297 (0.2%)     1 (0.0%)  clap_derive::attrs::Attrs::new
     295 (0.2%)     1 (0.0%)  clap_derive::dummies::from_arg_matches
     292 (0.2%)     7 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     292 (0.2%)     5 (0.1%)  core::result::Result<T,E>::map_err
     291 (0.2%)     5 (0.1%)  std::panicking::try::do_call
     280 (0.2%)     8 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     276 (0.2%)     7 (0.2%)  core::option::Option<T>::and_then
     275 (0.2%)    46 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     273 (0.2%)     1 (0.0%)  clap_derive::dummies::args
     272 (0.2%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     264 (0.2%)     5 (0.1%)  core::iter::traits::iterator::Iterator::find_map::check::{{closure}}
     260 (0.2%)    10 (0.2%)  quote::to_tokens::ToTokens::to_token_stream
     260 (0.2%)     5 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     256 (0.2%)     4 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     255 (0.2%)     5 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     255 (0.2%)     1 (0.0%)  clap_derive::derives::arg_enum::lits::{{closure}}
     254 (0.2%)    21 (0.5%)  core::iter::adapters::map::Map<I,F>::new
     252 (0.2%)    42 (1.0%)  core::ptr::unique::Unique<T>::as_ref
     249 (0.2%)     3 (0.1%)  syn::punctuated::Punctuated<T,P>::push_punct
     249 (0.2%)     1 (0.0%)  clap_derive::attrs::Name::translate
     244 (0.2%)     9 (0.2%)  alloc::boxed::Box<T>::new
     241 (0.2%)     1 (0.0%)  core::char::methods::encode_utf8_raw
