  Lines        Copies      Function name
  -----        ------      -------------
  9672 (100%)  422 (100%)  (TOTAL)
   700 (7.2%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   695 (7.2%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   349 (3.6%)    1 (0.2%)  color_quant::NeuQuant::build_netindex
   325 (3.4%)    1 (0.2%)  color_quant::NeuQuant::learn
   290 (3.0%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
   272 (2.8%)    7 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   261 (2.7%)    1 (0.2%)  color_quant::NeuQuant::search_netindex
   255 (2.6%)    5 (1.2%)  core::alloc::layout::Layout::array
   232 (2.4%)    4 (0.9%)  alloc::vec::Vec<T,A>::push
   192 (2.0%)    1 (0.2%)  color_quant::NeuQuant::contest
   175 (1.8%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::new_in
   175 (1.8%)    1 (0.2%)  color_quant::NeuQuant::alter_neighbour
   157 (1.6%)    1 (0.2%)  alloc::alloc::Global::grow_impl
   155 (1.6%)    5 (1.2%)  core::ptr::metadata::from_raw_parts
   155 (1.6%)    5 (1.2%)  core::ptr::metadata::from_raw_parts_mut
   154 (1.6%)    1 (0.2%)  alloc::raw_vec::finish_grow
   152 (1.6%)    2 (0.5%)  core::cmp::max_by
   149 (1.5%)    3 (0.7%)  core::result::Result<T,E>::map_err
   145 (1.5%)    5 (1.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
   132 (1.4%)    4 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
   132 (1.4%)    4 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
   132 (1.4%)    1 (0.2%)  color_quant::NeuQuant::init
   127 (1.3%)    1 (0.2%)  color_quant::NeuQuant::new
   122 (1.3%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_with
   116 (1.2%)    6 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   109 (1.1%)    1 (0.2%)  color_quant::NeuQuant::build_colormap
   105 (1.1%)    3 (0.7%)  core::option::Option<T>::ok_or
    89 (0.9%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    84 (0.9%)    1 (0.2%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    83 (0.9%)    2 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    83 (0.9%)    2 (0.5%)  core::slice::iter::Iter<T>::new
    82 (0.8%)    2 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    77 (0.8%)    1 (0.2%)  color_quant::NeuQuant::color_map_rgba
    76 (0.8%)    1 (0.2%)  core::cmp::min_by
    74 (0.8%)    1 (0.2%)  core::ptr::drop_in_place<color_quant::NeuQuant>
    73 (0.8%)    1 (0.2%)  color_quant::NeuQuant::color_map_rgb
    71 (0.7%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
    71 (0.7%)    1 (0.2%)  core::ptr::swap_nonoverlapping_bytes
    66 (0.7%)    3 (0.7%)  alloc::vec::Vec<T,A>::truncate
    66 (0.7%)    1 (0.2%)  core::ptr::swap_nonoverlapping_one
    65 (0.7%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::capacity
    65 (0.7%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
    63 (0.7%)    2 (0.5%)  core::ptr::read
    60 (0.6%)    5 (1.2%)  alloc::vec::Vec<T,A>::with_capacity_in
    59 (0.6%)    1 (0.2%)  core::option::Option<T>::map
    55 (0.6%)    5 (1.2%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    50 (0.5%)    5 (1.2%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    50 (0.5%)    5 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::offset
    49 (0.5%)    1 (0.2%)  color_quant::NeuQuant::salter_single
    45 (0.5%)    5 (1.2%)  alloc::vec::Vec<T,A>::as_mut_ptr
    45 (0.5%)    5 (1.2%)  core::ptr::slice_from_raw_parts
    45 (0.5%)    5 (1.2%)  core::ptr::slice_from_raw_parts_mut
    44 (0.5%)    4 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    44 (0.5%)    4 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::deref::DerefMut>::deref_mut
    43 (0.4%)    1 (0.2%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    42 (0.4%)    1 (0.2%)  core::mem::replace
    41 (0.4%)    2 (0.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    40 (0.4%)    5 (1.2%)  core::ptr::non_null::NonNull<T>::cast
    40 (0.4%)    4 (0.9%)  alloc::raw_vec::RawVec<T,A>::reserve_for_push
    39 (0.4%)    1 (0.2%)  alloc::raw_vec::handle_reserve
    36 (0.4%)    6 (1.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
    36 (0.4%)    4 (0.9%)  alloc::vec::Vec<T,A>::as_ptr
    36 (0.4%)    4 (0.9%)  core::slice::raw::from_raw_parts
    36 (0.4%)    4 (0.9%)  core::slice::raw::from_raw_parts_mut
    36 (0.4%)    2 (0.5%)  alloc::raw_vec::finish_grow::{{closure}}
    34 (0.4%)    5 (1.2%)  core::ptr::write
    34 (0.4%)    1 (0.2%)  core::num::<impl usize>::overflowing_add
    34 (0.4%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
    32 (0.3%)    1 (0.2%)  core::num::<impl usize>::checked_add
    32 (0.3%)    1 (0.2%)  core::num::<impl usize>::checked_mul
