  Lines          Copies       Function name
  -----          ------       -------------
  172647 (100%)  5410 (100%)  (TOTAL)
    2528 (1.5%)     4 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_tfnns
    2448 (1.4%)     4 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_value
    2424 (1.4%)     6 (0.1%)  serde_hjson::util::StringReader<Iter>::parse_whitespace
    2168 (1.3%)    42 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2148 (1.2%)     4 (0.1%)  serde_hjson::util::ParseNumber<Iter>::parse
    2061 (1.2%)     3 (0.1%)  <<toml::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    2020 (1.2%)     4 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_ml_string
    1846 (1.1%)     2 (0.0%)  <toml::de::MapVisitor as serde::de::MapAccess>::next_key_seed
    1616 (0.9%)     4 (0.1%)  serde_hjson::util::ParseNumber<Iter>::try_parse
    1544 (0.9%)    33 (0.6%)  core::option::Option<T>::map
    1506 (0.9%)     2 (0.0%)  serde_hjson::de::Deserializer<Iter>::parse_string
    1376 (0.8%)     5 (0.1%)  config::ser::ConfigSerializer::serialize_primitive
    1216 (0.7%)    55 (1.0%)  core::ptr::read
    1196 (0.7%)     4 (0.1%)  serde_hjson::de::Deserializer<Iter>::parse_keyname
    1190 (0.7%)    22 (0.4%)  alloc::alloc::box_free
    1164 (0.7%)     3 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    1132 (0.7%)    23 (0.4%)  core::mem::replace
    1112 (0.6%)     8 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1102 (0.6%)    19 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1102 (0.6%)     2 (0.0%)  <serde_hjson::de::MapVisitor<Iter> as serde::de::MapVisitor>::visit_key
    1098 (0.6%)     6 (0.1%)  serde_hjson::util::StringReader<Iter>::next_char
    1020 (0.6%)     2 (0.0%)  <serde_hjson::de::SeqVisitor<Iter> as serde::de::SeqVisitor>::visit
     991 (0.6%)    16 (0.3%)  core::result::Result<T,E>::map_err
     990 (0.6%)     6 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     960 (0.6%)     6 (0.1%)  serde_hjson::util::StringReader<Iter>::peek_next
