  Lines       Copies     Function name
  -----       ------     -------------
  483 (100%)  32 (100%)  (TOTAL)
  124 (25.7%)  2 (6.2%)  alloc::alloc::box_free
   51 (10.6%)  1 (3.1%)  console_error_panic_hook::hook_impl
   50 (10.4%)  1 (3.1%)  core::fmt::Arguments::new_v1
   43 (8.9%)   1 (3.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
   31 (6.4%)   1 (3.1%)  core::fmt::ArgumentV1::new
   31 (6.4%)   1 (3.1%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
   20 (4.1%)   1 (3.1%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
   15 (3.1%)   2 (6.2%)  core::ptr::unique::Unique<T>::as_ref
   14 (2.9%)   2 (6.2%)  core::ptr::unique::Unique<T>::cast
   14 (2.9%)   1 (3.1%)  core::alloc::layout::Layout::from_size_align_unchecked
   12 (2.5%)   1 (3.1%)  alloc::alloc::dealloc
   12 (2.5%)   1 (3.1%)  core::ptr::drop_in_place<core::result::Result<(),std::io::error::Error>>
   10 (2.1%)   1 (3.1%)  core::ptr::drop_in_place<std::io::error::Repr>
    8 (1.7%)   3 (9.4%)  core::ptr::unique::Unique<T>::as_ptr
    6 (1.2%)   1 (3.1%)  core::ptr::drop_in_place<dyn std::error::Error+core::marker::Send+core::marker::Sync>
    5 (1.0%)   1 (3.1%)  <core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from
    5 (1.0%)   1 (3.1%)  core::alloc::layout::Layout::align
    4 (0.8%)   1 (3.1%)  <&T as core::fmt::Display>::fmt
    4 (0.8%)   1 (3.1%)  core::num::nonzero::NonZeroUsize::new_unchecked
    4 (0.8%)   1 (3.1%)  core::ptr::drop_in_place<std::io::error::Custom>
    4 (0.8%)   1 (3.1%)  core::ptr::drop_in_place<std::io::error::Error>
    4 (0.8%)   1 (3.1%)  core::ptr::non_null::NonNull<T>::new_unchecked
    4 (0.8%)   1 (3.1%)  core::ptr::unique::Unique<T>::new_unchecked
    3 (0.6%)   1 (3.1%)  console_error_panic_hook::hook
    3 (0.6%)   1 (3.1%)  core::alloc::layout::Layout::size
    1 (0.2%)   1 (3.1%)  core::num::nonzero::NonZeroUsize::get
    1 (0.2%)   1 (3.1%)  core::ptr::non_null::NonNull<T>::as_ptr
