  Lines         Copies       Function name
  -----         ------       -------------
  65865 (100%)  3052 (100%)  (TOTAL)
   2641 (4.0%)    19 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1637 (2.5%)     1 (0.0%)  <cranelift_codegen::ir::instructions::InstructionData as core::clone::Clone>::clone
   1218 (1.8%)    21 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1181 (1.8%)     9 (0.3%)  alloc::vec::Vec<T,A>::extend_with
    969 (1.5%)    19 (0.6%)  core::alloc::layout::Layout::array
    775 (1.2%)    25 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    728 (1.1%)    33 (1.1%)  core::ptr::read
    708 (1.1%)    15 (0.5%)  core::mem::replace
    700 (1.1%)     5 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    610 (0.9%)    15 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    610 (0.9%)     2 (0.1%)  smallvec::SmallVec<A>::try_grow
    577 (0.9%)    10 (0.3%)  alloc::vec::Vec<T,A>::push
    551 (0.8%)    19 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    527 (0.8%)    17 (0.6%)  core::ptr::metadata::from_raw_parts
    483 (0.7%)     9 (0.3%)  alloc::vec::Vec<T,A>::resize
    447 (0.7%)     2 (0.1%)  <smallvec::SmallVec<A> as core::iter::traits::collect::Extend<<A as smallvec::Array>::Item>>::extend
    444 (0.7%)     1 (0.0%)  cranelift_frontend::ssa::SSABuilder::finish_predecessors_lookup
    441 (0.7%)     1 (0.0%)  alloc::slice::merge_sort
    435 (0.7%)     5 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    400 (0.6%)    12 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    378 (0.6%)     6 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    376 (0.6%)     1 (0.0%)  cranelift_frontend::switch::Switch::build_search_tree
    347 (0.5%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    346 (0.5%)    35 (1.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    340 (0.5%)     6 (0.2%)  alloc::alloc::box_free
    340 (0.5%)     1 (0.0%)  cranelift_frontend::switch::Switch::build_jump_tables
    323 (0.5%)     1 (0.0%)  cranelift_frontend::switch::Switch::build_search_branches
    310 (0.5%)     1 (0.0%)  cranelift_frontend::switch::Switch::collect_contiguous_case_ranges
    308 (0.5%)     8 (0.3%)  core::option::Option<T>::ok_or
    289 (0.4%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    280 (0.4%)     8 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    279 (0.4%)     6 (0.2%)  core::result::Result<T,E>::map_err
    276 (0.4%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    270 (0.4%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    266 (0.4%)     1 (0.0%)  cranelift_frontend::ssa::emit_zero
    260 (0.4%)     5 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    258 (0.4%)    15 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    257 (0.4%)    40 (1.3%)  core::ptr::write
    255 (0.4%)     5 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    252 (0.4%)     4 (0.1%)  alloc::boxed::Box<T,A>::into_unique
