  Lines          Copies        Function name
  -----          ------        -------------
  632878 (100%)  16300 (100%)  (TOTAL)
   41080 (6.5%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_value
    9937 (1.6%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_indefinite_str
    9445 (1.5%)     25 (0.2%)  criterion_plot::curve::<impl criterion_plot::traits::Plot<criterion_plot::curve::Curve<X,Y>> for criterion_plot::Figure>::plot
    7931 (1.3%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_indefinite_bytes
    7669 (1.2%)     91 (0.6%)  serde_cbor::de::Deserializer<R>::recursion_checked
    5904 (0.9%)     62 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    5699 (0.9%)     67 (0.4%)  core::iter::traits::iterator::Iterator::fold
    5560 (0.9%)     40 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    5432 (0.9%)     24 (0.1%)  plotters::drawing::area::DrawingArea<DB,CT>::backend_ops
    5380 (0.9%)    106 (0.7%)  core::option::Option<T>::map
    5166 (0.8%)     10 (0.1%)  <<criterion::connection::_::<impl serde::de::Deserialize for criterion::connection::IncomingMessage>::deserialize::__Visitor as serde::de::Visitor>::visit_enum::__Visitor as serde::de::Visitor>::visit_map
    5113 (0.8%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_str
    4996 (0.8%)      8 (0.0%)  core::slice::sort::partition_in_blocks
    4637 (0.7%)     41 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    4291 (0.7%)     65 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    4234 (0.7%)     73 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    4221 (0.7%)      3 (0.0%)  plotters::chart::context::ChartContext<DB,plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>>::draw_axis_and_labels
    4118 (0.7%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_indefinite_map::{{closure}}
    4060 (0.6%)      1 (0.0%)  criterion::Criterion<M>::configure_from_args
    3931 (0.6%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_indefinite_array::{{closure}}
    3640 (0.6%)     26 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    3607 (0.6%)     61 (0.4%)  alloc::alloc::box_free
    3434 (0.5%)     73 (0.4%)  core::mem::replace
    3430 (0.5%)     70 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3371 (0.5%)    156 (1.0%)  core::ptr::read
    3360 (0.5%)      6 (0.0%)  plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>::draw_mesh
    3315 (0.5%)      3 (0.0%)  plotters::chart::builder::ChartBuilder<DB>::build_cartesian_2d
    3283 (0.5%)     27 (0.2%)  <criterion_plot::Figure as criterion_plot::traits::Configure<criterion_plot::Axis>>::configure
    3146 (0.5%)     13 (0.1%)  <serde_cbor::de::IndefiniteSeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    3116 (0.5%)     53 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    3099 (0.5%)     13 (0.1%)  serde::ser::Serializer::collect_seq
    3077 (0.5%)     53 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    3023 (0.5%)     18 (0.1%)  criterion_plot::data::Matrix::new
    2994 (0.5%)      6 (0.0%)  plotters::chart::context::ChartContext<DB,plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>>::draw_mesh
    2692 (0.4%)     26 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    2560 (0.4%)     16 (0.1%)  serde_cbor::ser::StructSerializer<W>::serialize_field_inner
    2542 (0.4%)     82 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    2483 (0.4%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_map::{{closure}}
    2450 (0.4%)     95 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    2429 (0.4%)      7 (0.0%)  <serde_json::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    2355 (0.4%)     36 (0.2%)  core::result::Result<T,E>::map_err
    2349 (0.4%)    101 (0.6%)  core::ops::function::FnOnce::call_once
    2346 (0.4%)      8 (0.0%)  <serde_cbor::de::MapAccess<R> as serde::de::MapAccess>::next_key_seed
    2331 (0.4%)     10 (0.1%)  <<criterion::connection::_::<impl serde::de::Deserialize for criterion::connection::IncomingMessage>::deserialize::__Visitor as serde::de::Visitor>::visit_enum::__Visitor as serde::de::Visitor>::visit_seq
    2277 (0.4%)     14 (0.1%)  plotters::chart::context::ChartContext<DB,CT>::draw_series_impl
    2272 (0.4%)     16 (0.1%)  <criterion_plot::Figure as criterion_plot::traits::Configure<criterion_plot::Key>>::configure
    2252 (0.4%)     45 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    2245 (0.4%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_array::{{closure}}
    2176 (0.3%)      8 (0.0%)  core::slice::sort::recurse
    2156 (0.3%)      2 (0.0%)  plotters::chart::series::SeriesLabelStyle<DB,CT>::draw
    2117 (0.3%)     73 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    2091 (0.3%)     41 (0.3%)  core::alloc::layout::Layout::array
    2091 (0.3%)     17 (0.1%)  serde_cbor::de::Deserializer<R>::parse_bytes
    2041 (0.3%)     12 (0.1%)  criterion_plot::filledcurve::<impl criterion_plot::traits::Plot<criterion_plot::filledcurve::FilledCurve<X,Y1,Y2>> for criterion_plot::Figure>::plot
    1968 (0.3%)      3 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_struct
    1945 (0.3%)      6 (0.0%)  rayon_core::join::join_context::{{closure}}
    1906 (0.3%)     12 (0.1%)  <rayon_core::job::StackJob<L,F,R> as rayon_core::job::Job>::execute
    1904 (0.3%)     21 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    1904 (0.3%)     16 (0.1%)  <serde_json::value::ser::SerializeMap as serde::ser::SerializeMap>::serialize_value
    1862 (0.3%)      6 (0.0%)  <serde_cbor::de::IndefiniteMapAccess<R> as serde::de::MapAccess>::next_key_seed
    1828 (0.3%)      8 (0.0%)  core::slice::sort::partition
    1822 (0.3%)      1 (0.0%)  <criterion::report::CliReport as criterion::report::Report>::measurement_complete
    1808 (0.3%)     16 (0.1%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeMap>::serialize_value
    1755 (0.3%)      5 (0.0%)  rayon::iter::plumbing::bridge_producer_consumer::helper
    1754 (0.3%)      4 (0.0%)  alloc::slice::merge_sort
    1737 (0.3%)      3 (0.0%)  plotters::chart::mesh::MeshStyle<X,Y,DB>::draw
    1647 (0.3%)      5 (0.0%)  plotters::data::data_range::fitting_range
    1629 (0.3%)    160 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    1591 (0.3%)      1 (0.0%)  <criterion::report::_::<impl serde::de::Deserialize for criterion::report::BenchmarkId>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    1579 (0.2%)     23 (0.1%)  core::option::Option<T>::map_or
    1564 (0.2%)      8 (0.0%)  core::slice::sort::partition_equal
    1557 (0.2%)      1 (0.0%)  criterion::connection::_::<impl serde::ser::Serialize for criterion::connection::OutgoingMessage>::serialize
    1537 (0.2%)     26 (0.2%)  plotters::chart::series::SeriesAnno<DB>::legend
    1525 (0.2%)     10 (0.1%)  <serde_cbor::de::VariantAccess<T> as serde::de::VariantAccess>::struct_variant
    1514 (0.2%)      2 (0.0%)  serde_json::de::Deserializer<R>::ignore_value
    1484 (0.2%)      8 (0.0%)  core::slice::sort::shift_tail
    1481 (0.2%)     17 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::size_hint
    1470 (0.2%)     16 (0.1%)  serde::de::Visitor::visit_i128
    1469 (0.2%)     13 (0.1%)  <serde_cbor::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    1445 (0.2%)    112 (0.7%)  core::iter::adapters::map::Map<I,F>::new
    1440 (0.2%)      8 (0.0%)  core::slice::sort::heapsort
    1420 (0.2%)     21 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    1415 (0.2%)     34 (0.2%)  core::slice::iter::Iter<T>::new
    1401 (0.2%)     33 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1392 (0.2%)     16 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    1383 (0.2%)     18 (0.1%)  std::panicking::try
    1380 (0.2%)     24 (0.1%)  core::result::Result<T,E>::map
    1368 (0.2%)     33 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    1348 (0.2%)      8 (0.0%)  core::slice::sort::shift_head
    1324 (0.2%)      1 (0.0%)  criterion::plot::plotters_backend::pdf::pdf
    1300 (0.2%)     23 (0.1%)  alloc::vec::Vec<T,A>::push
    1287 (0.2%)      6 (0.0%)  plotters::chart::context::ChartContext<DB,plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>>::draw_mesh_lines
    1276 (0.2%)     30 (0.2%)  core::iter::traits::iterator::Iterator::zip
    1236 (0.2%)     11 (0.1%)  plotters::series::area_series::AreaSeries<DB,X,Y>::new
    1224 (0.2%)      8 (0.0%)  core::slice::sort::partial_insertion_sort
    1197 (0.2%)     19 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1178 (0.2%)     38 (0.2%)  core::ptr::metadata::from_raw_parts
    1176 (0.2%)      8 (0.0%)  core::slice::sort::choose_pivot
    1176 (0.2%)      6 (0.0%)  plotters::chart::context::ChartContext<DB,plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>>::draw_mesh_lines::{{closure}}
    1174 (0.2%)     16 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
    1145 (0.2%)    109 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
    1140 (0.2%)     22 (0.1%)  serde::de::Visitor::visit_map
    1124 (0.2%)     39 (0.2%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    1123 (0.2%)      1 (0.0%)  <criterion::html::Html as criterion::report::Report>::measurement_complete
    1120 (0.2%)     24 (0.1%)  core::slice::sort::choose_pivot::{{closure}}
    1118 (0.2%)      2 (0.0%)  criterion::plot::plotters_backend::summary::draw_line_comarision_figure
    1116 (0.2%)      2 (0.0%)  <&mut serde_cbor::de::Deserializer<R> as serde::de::Deserializer>::deserialize_enum
    1108 (0.2%)      4 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_str
    1082 (0.2%)      1 (0.0%)  criterion::plot::plotters_backend::distributions::rel_distribution
    1062 (0.2%)     16 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    1060 (0.2%)      3 (0.0%)  <plotters_svg::svg::SVGBackend as plotters_backend::DrawingBackend>::draw_path
    1054 (0.2%)     34 (0.2%)  core::fmt::ArgumentV1::new
    1048 (0.2%)      1 (0.0%)  criterion::plot::plotters_backend::distributions::abs_distribution
    1032 (0.2%)      1 (0.0%)  criterion::html::Html::generate_plots
    1029 (0.2%)      3 (0.0%)  plotters::chart::context::ChartContext<DB,plotters::coord::ranged2d::cartesian::Cartesian2d<X,Y>>::draw_axis
    1028 (0.2%)      4 (0.0%)  <criterion::connection::_::<impl serde::de::Deserialize for criterion::connection::IncomingMessage>::deserialize::__Visitor as serde::de::Visitor>::visit_enum
    1020 (0.2%)     12 (0.1%)  rayon_core::job::StackJob<L,F,R>::new
    1016 (0.2%)      8 (0.0%)  core::slice::sort::heapsort::{{closure}}
    1002 (0.2%)     16 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1002 (0.2%)      3 (0.0%)  <serde_json::de::MapAccess<R> as serde::de::MapAccess>::next_key_seed
     996 (0.2%)     12 (0.1%)  <criterion_plot::axis::Properties as criterion_plot::traits::Configure<criterion_plot::Grid>>::configure
     984 (0.2%)      6 (0.0%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
     962 (0.2%)      1 (0.0%)  criterion::plot::plotters_backend::regression::regression_comparison_figure
     959 (0.2%)     27 (0.2%)  core::option::Option<T>::unwrap_or_else
     944 (0.1%)      2 (0.0%)  criterion::plot::plotters_backend::summary::draw_violin_figure
     938 (0.1%)     22 (0.1%)  plotters::drawing::area::DrawingArea<DB,CT>::draw::{{closure}}
     936 (0.1%)     20 (0.1%)  serde::de::Visitor::visit_seq
     936 (0.1%)     18 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     932 (0.1%)    112 (0.7%)  core::iter::traits::iterator::Iterator::map
     928 (0.1%)     32 (0.2%)  serde::ser::SerializeMap::serialize_entry
     920 (0.1%)      4 (0.0%)  <&mut csv::serializer::SeHeader<W> as serde::ser::SerializeStruct>::serialize_field
