  Lines         Copies      Function name
  -----         ------      -------------
  24951 (100%)  850 (100%)  (TOTAL)
    760 (3.0%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    592 (2.4%)    1 (0.1%)  <csv::error::Error as core::fmt::Display>::fmt
    527 (2.1%)    1 (0.1%)  bstr::impls::bstr::<impl core::fmt::Debug for bstr::bstr::BStr>::fmt
    495 (2.0%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    444 (1.8%)   12 (1.4%)  core::fmt::ArgumentV1::new
    366 (1.5%)    8 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    346 (1.4%)    4 (0.5%)  core::fmt::builders::DebugList::entries
    333 (1.3%)   33 (3.9%)  <&T as core::fmt::Debug>::fmt
    329 (1.3%)    1 (0.1%)  core::num::dec2flt::lemire::compute_float
    328 (1.3%)    1 (0.1%)  core::num::dec2flt::slow::parse_long_mantissa
    325 (1.3%)    1 (0.1%)  core::num::dec2flt::dec2flt
    320 (1.3%)    5 (0.6%)  core::option::Option<T>::and_then
    292 (1.2%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    282 (1.1%)    4 (0.5%)  alloc::alloc::box_free
    280 (1.1%)    1 (0.1%)  <csv::error::ErrorKind as core::fmt::Debug>::fmt
    264 (1.1%)    2 (0.2%)  alloc::vec::Vec<T,A>::extend_with
    263 (1.1%)    5 (0.6%)  core::option::Option<T>::map
    260 (1.0%)    6 (0.7%)  core::result::Result<T,E>::ok
    249 (1.0%)    2 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    248 (1.0%)    4 (0.5%)  core::alloc::layout::Layout::array
    216 (0.9%)    1 (0.1%)  <csv::deserializer::DeserializeErrorKind as core::fmt::Debug>::fmt
    206 (0.8%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    204 (0.8%)    4 (0.5%)  core::slice::iter::Iter<T>::new
    198 (0.8%)    4 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    193 (0.8%)    1 (0.1%)  csv::byte_record::ByteRecord::iter_eq
    191 (0.8%)    1 (0.1%)  bstr::utf8::decode
    190 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    183 (0.7%)    3 (0.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    183 (0.7%)    3 (0.4%)  core::result::Result<T,E>::map_err
    178 (0.7%)    4 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    165 (0.7%)    7 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    164 (0.7%)    4 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    163 (0.7%)    1 (0.1%)  <csv::deserializer::DeserializeErrorKind as core::fmt::Display>::fmt
    156 (0.6%)    1 (0.1%)  core::char::methods::<impl char>::escape_debug_ext
    154 (0.6%)    1 (0.1%)  core::num::dec2flt::number::Number::try_fast_path
    152 (0.6%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    148 (0.6%)    4 (0.5%)  core::ptr::metadata::from_raw_parts
    148 (0.6%)    4 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    145 (0.6%)    1 (0.1%)  <csv::reader::ReaderState as core::fmt::Debug>::fmt
    136 (0.5%)    4 (0.5%)  <[T] as core::fmt::Debug>::fmt
    132 (0.5%)    3 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    131 (0.5%)    1 (0.1%)  core::str::validations::next_code_point_reverse
    131 (0.5%)    1 (0.1%)  csv::string_record::StringRecord::trim
    129 (0.5%)    1 (0.1%)  csv::byte_record::ByteRecord::trim
    127 (0.5%)    3 (0.4%)  core::option::Option<T>::ok_or
    124 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    123 (0.5%)    1 (0.1%)  core::str::validations::next_code_point
    120 (0.5%)    2 (0.2%)  alloc::vec::Vec<T,A>::resize
    119 (0.5%)    1 (0.1%)  core::str::<impl str>::trim_matches
    117 (0.5%)    1 (0.1%)  <csv::byte_record::ByteRecord as core::fmt::Debug>::fmt
    116 (0.5%)    4 (0.5%)  alloc::boxed::Box<T>::new
    111 (0.4%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    109 (0.4%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
    102 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    101 (0.4%)    2 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    101 (0.4%)    2 (0.2%)  core::iter::traits::iterator::Iterator::zip
     97 (0.4%)    3 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     96 (0.4%)    1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     93 (0.4%)    1 (0.1%)  <csv::reader::ReaderBuilder as core::fmt::Debug>::fmt
     93 (0.4%)    1 (0.1%)  <csv::writer::WriterState as core::fmt::Debug>::fmt
     92 (0.4%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     91 (0.4%)    1 (0.1%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     91 (0.4%)    1 (0.1%)  <csv::deserializer::DeserializeError as core::fmt::Display>::fmt
     89 (0.4%)    1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     88 (0.4%)    1 (0.1%)  csv::deserializer::DeserializeErrorKind::description
     86 (0.3%)    1 (0.1%)  <core::result::Result<T,E> as core::fmt::Debug>::fmt
     85 (0.3%)    2 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     83 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[bstr::bstring::BString]>
     82 (0.3%)    1 (0.1%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::ReverseSearcher>::next_back
     82 (0.3%)    1 (0.1%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     81 (0.3%)    5 (0.6%)  core::str::<impl str>::parse
     81 (0.3%)    1 (0.1%)  <csv::byte_record::ByteRecordIter as core::iter::traits::iterator::Iterator>::next
     80 (0.3%)    1 (0.1%)  <csv::writer::WriterBuilder as core::fmt::Debug>::fmt
     80 (0.3%)    1 (0.1%)  core::cmp::max_by
     80 (0.3%)    1 (0.1%)  core::cmp::min_by
     79 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     78 (0.3%)    1 (0.1%)  csv::byte_record::ByteRecord::push_field
     77 (0.3%)    1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     76 (0.3%)    8 (0.9%)  core::ptr::unique::Unique<T>::cast
     74 (0.3%)    2 (0.2%)  alloc::vec::Vec<T,A>::truncate
     73 (0.3%)    1 (0.1%)  <bstr::utf8::CharIndices as core::iter::traits::iterator::Iterator>::next
     72 (0.3%)    1 (0.1%)  csv::byte_record::ByteRecord::with_capacity
     70 (0.3%)    1 (0.1%)  <csv::error::Error as std::error::Error>::source
     70 (0.3%)    1 (0.1%)  core::num::dec2flt::parse::parse_inf_nan
     67 (0.3%)    4 (0.5%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     67 (0.3%)    1 (0.1%)  <csv::byte_record::ByteRecordInner as core::fmt::Debug>::fmt
     67 (0.3%)    1 (0.1%)  <csv::byte_record::Position as core::fmt::Debug>::fmt
     67 (0.3%)    1 (0.1%)  <csv::string_record::StringRecord as core::fmt::Debug>::fmt
     67 (0.3%)    1 (0.1%)  alloc::vec::Vec<T,A>::push
     66 (0.3%)    1 (0.1%)  <csv::Terminator as core::fmt::Debug>::fmt
     66 (0.3%)    1 (0.1%)  core::num::dec2flt::parse::parse_partial_inf_nan
     64 (0.3%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::capacity
     64 (0.3%)    4 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset
     64 (0.3%)    4 (0.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
     62 (0.2%)    1 (0.1%)  core::fmt::Arguments::new_v1
     61 (0.2%)    1 (0.1%)  <csv::deserializer::DeByteRecord as csv::deserializer::DeRecord>::error
     61 (0.2%)    1 (0.1%)  <csv::deserializer::DeStringRecord as csv::deserializer::DeRecord>::error
     60 (0.2%)    8 (0.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     60 (0.2%)    4 (0.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     60 (0.2%)    4 (0.5%)  alloc::vec::Vec<T,A>::as_ptr
     60 (0.2%)    4 (0.5%)  core::ptr::slice_from_raw_parts
     60 (0.2%)    4 (0.5%)  core::ptr::slice_from_raw_parts_mut
     60 (0.2%)    4 (0.5%)  core::slice::raw::from_raw_parts
     60 (0.2%)    1 (0.1%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     58 (0.2%)    2 (0.2%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index
     58 (0.2%)    1 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     57 (0.2%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     57 (0.2%)    1 (0.1%)  bstr::utf8::decode_step
     57 (0.2%)    1 (0.1%)  core::num::dec2flt::common::ByteSlice::eq_ignore_case
     56 (0.2%)    4 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     56 (0.2%)    4 (0.5%)  core::ptr::non_null::NonNull<T>::cast
     56 (0.2%)    1 (0.1%)  core::str::pattern::ReverseSearcher::next_reject_back
     56 (0.2%)    1 (0.1%)  core::str::pattern::Searcher::next_reject
     55 (0.2%)    1 (0.1%)  bstr::utf8::decode_lossy
     54 (0.2%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
     54 (0.2%)    2 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index
     54 (0.2%)    1 (0.1%)  <csv::byte_record::Bounds as core::fmt::Debug>::fmt
     54 (0.2%)    1 (0.1%)  <csv::deserializer::DeserializeError as core::fmt::Debug>::fmt
     54 (0.2%)    1 (0.1%)  <csv::error::FromUtf8Error as core::fmt::Debug>::fmt
