  Lines        Copies      Function name
  -----        ------      -------------
  9334 (100%)  317 (100%)  (TOTAL)
   374 (4.0%)    1 (0.3%)  csv_core::writer::Writer::needs_quotes
   352 (3.8%)    1 (0.3%)  csv_core::writer::quote
   328 (3.5%)    1 (0.3%)  csv_core::reader::Reader::transition_nfa
   315 (3.4%)    1 (0.3%)  csv_core::reader::Reader::read_record_dfa
   298 (3.2%)    1 (0.3%)  core::num::dec2flt::dec2flt
   292 (3.1%)    1 (0.3%)  core::num::dec2flt::lemire::compute_float
   291 (3.1%)    1 (0.3%)  core::num::dec2flt::slow::parse_long_mantissa
   280 (3.0%)    1 (0.3%)  csv_core::reader::Reader::read_record_nfa
   244 (2.6%)    1 (0.3%)  csv_core::writer::Writer::terminator
   230 (2.5%)    1 (0.3%)  csv_core::reader::Reader::build_dfa
   178 (1.9%)    1 (0.3%)  csv_core::writer::Writer::finish
   167 (1.8%)    1 (0.3%)  csv_core::writer::Writer::field
   159 (1.7%)    1 (0.3%)  <csv_core::reader::Reader as core::fmt::Debug>::fmt
   143 (1.5%)    1 (0.3%)  csv_core::reader::Reader::read_field_nfa
   141 (1.5%)    1 (0.3%)  csv_core::writer::Writer::delimiter
   137 (1.5%)    1 (0.3%)  csv_core::reader::Reader::read_field_dfa
   136 (1.5%)    1 (0.3%)  <csv_core::writer::Writer as core::clone::Clone>::clone
   134 (1.4%)    1 (0.3%)  core::num::dec2flt::number::Number::try_fast_path
   108 (1.2%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   103 (1.1%)    1 (0.3%)  csv_core::reader::Reader::strip_utf8_bom
   101 (1.1%)    1 (0.3%)  <csv_core::reader::Reader as core::clone::Clone>::clone
    85 (0.9%)    1 (0.3%)  csv_core::writer::WriterBuilder::build
    84 (0.9%)    2 (0.6%)  core::mem::replace
    84 (0.9%)    1 (0.3%)  core::iter::traits::iterator::Iterator::fold
    81 (0.9%)    1 (0.3%)  <csv_core::reader::NfaState as core::fmt::Debug>::fmt
    80 (0.9%)    2 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    80 (0.9%)    1 (0.3%)  csv_core::writer::WriterBuilder::new
    79 (0.8%)    1 (0.3%)  <csv_core::reader::Reader as core::default::Default>::default
    78 (0.8%)    2 (0.6%)  core::slice::iter::Iter<T>::new
    76 (0.8%)    2 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    76 (0.8%)    1 (0.3%)  core::cmp::min_by
    71 (0.8%)    1 (0.3%)  csv_core::reader::DfaClasses::scan_and_copy
    66 (0.7%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    66 (0.7%)    1 (0.3%)  <csv_core::reader::ReadFieldResult as core::fmt::Debug>::fmt
    62 (0.7%)    1 (0.3%)  csv_core::reader::Dfa::new_read_record_result
    62 (0.7%)    1 (0.3%)  csv_core::writer::is_non_numeric
    61 (0.7%)    1 (0.3%)  <csv_core::reader::ReadFieldNoCopyResult as core::fmt::Debug>::fmt
    60 (0.6%)    2 (0.6%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    60 (0.6%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    60 (0.6%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    60 (0.6%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
    60 (0.6%)    1 (0.3%)  core::num::dec2flt::parse::parse_partial_inf_nan
    56 (0.6%)    1 (0.3%)  core::num::dec2flt::parse::parse_inf_nan
    54 (0.6%)    1 (0.3%)  <csv_core::Terminator as core::fmt::Debug>::fmt
    54 (0.6%)    1 (0.3%)  csv_core::reader::ReadRecordResult::from_nfa
    53 (0.6%)    1 (0.3%)  csv_core::reader::Dfa::new_read_field_result
    50 (0.5%)    1 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    50 (0.5%)    1 (0.3%)  core::fmt::Arguments::new_v1
    50 (0.5%)    1 (0.3%)  core::option::Option<T>::map
    49 (0.5%)    1 (0.3%)  <csv_core::writer::WriterState as core::fmt::Debug>::fmt
    49 (0.5%)    1 (0.3%)  csv_core::reader::Reader::read_record
    47 (0.5%)    1 (0.3%)  <csv_core::writer::Writer as core::fmt::Debug>::fmt
    47 (0.5%)    1 (0.3%)  csv_core::reader::Dfa::new
    45 (0.5%)    1 (0.3%)  core::num::dec2flt::number::Number::is_fast_path
    45 (0.5%)    1 (0.3%)  csv_core::reader::Dfa::get_output
    45 (0.5%)    1 (0.3%)  csv_core::reader::Reader::read_field
    44 (0.5%)   11 (3.5%)  <&T as core::fmt::Debug>::fmt
    43 (0.5%)    1 (0.3%)  csv_core::writer::write_optimistic
    41 (0.4%)    1 (0.3%)  <csv_core::QuoteStyle as core::fmt::Debug>::fmt
    41 (0.4%)    1 (0.3%)  <csv_core::reader::ReadRecordResult as core::fmt::Debug>::fmt
    41 (0.4%)    1 (0.3%)  core::num::dec2flt::common::ByteSlice::eq_ignore_case
    40 (0.4%)    1 (0.3%)  csv_core::reader::ReadFieldResult::from_nfa
    37 (0.4%)    1 (0.3%)  csv_core::reader::Dfa::finish
    35 (0.4%)    1 (0.3%)  csv_core::writer::Writer::write
    35 (0.4%)    1 (0.3%)  csv_core::writer::write_pessimistic
    34 (0.4%)    2 (0.6%)  core::ptr::read
    34 (0.4%)    1 (0.3%)  core::iter::traits::iterator::Iterator::zip
    34 (0.4%)    1 (0.3%)  core::num::<impl u64>::overflowing_mul
    34 (0.4%)    1 (0.3%)  core::num::<impl u8>::checked_mul
    34 (0.4%)    1 (0.3%)  core::num::<impl u8>::overflowing_mul
    33 (0.4%)    1 (0.3%)  csv_core::reader::Reader::transition_final_dfa
    32 (0.3%)    1 (0.3%)  core::num::<impl u64>::checked_mul
    31 (0.3%)    1 (0.3%)  <csv_core::reader::NfaInputAction as core::fmt::Debug>::fmt
    31 (0.3%)    1 (0.3%)  <csv_core::reader::ReadRecordNoCopyResult as core::fmt::Debug>::fmt
    31 (0.3%)    1 (0.3%)  core::fmt::ArgumentV1::new
    31 (0.3%)    1 (0.3%)  core::ptr::metadata::from_raw_parts
    31 (0.3%)    1 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    31 (0.3%)    1 (0.3%)  csv_core::reader::Dfa::set
    30 (0.3%)    1 (0.3%)  <core::option::Option<T> as core::clone::Clone>::clone
    30 (0.3%)    1 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    29 (0.3%)    1 (0.3%)  <csv_core::reader::ReaderBuilder as core::fmt::Debug>::fmt
    29 (0.3%)    1 (0.3%)  <csv_core::writer::WriterBuilder as core::fmt::Debug>::fmt
    28 (0.3%)    2 (0.6%)  core::result::Result<T,E>::is_ok
    28 (0.3%)    1 (0.3%)  core::array::equality::<impl core::cmp::PartialEq<[A; N]> for [B]>::eq
    27 (0.3%)    1 (0.3%)  <csv_core::writer::WriteResult as core::fmt::Debug>::fmt
    27 (0.3%)    1 (0.3%)  csv_core::Terminator::equals
    26 (0.3%)    1 (0.3%)  <csv_core::reader::DfaClasses as core::fmt::Debug>::fmt
    26 (0.3%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    26 (0.3%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    26 (0.3%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    25 (0.3%)    1 (0.3%)  csv_core::writer::Writer::should_quote
    24 (0.3%)    1 (0.3%)  core::num::dec2flt::slow::parse_long_mantissa::{{closure}}
    24 (0.3%)    1 (0.3%)  csv_core::reader::DfaClasses::add
    23 (0.2%)    1 (0.3%)  <csv_core::reader::DfaState as core::cmp::PartialOrd>::partial_cmp
    23 (0.2%)    1 (0.3%)  core::cmp::PartialOrd::ge
    23 (0.2%)    1 (0.3%)  core::cmp::PartialOrd::gt
    22 (0.2%)    2 (0.6%)  core::slice::<impl [T]>::copy_from_slice
    22 (0.2%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    22 (0.2%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    22 (0.2%)    1 (0.3%)  csv_core::reader::Reader::reset
    21 (0.2%)    3 (0.9%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
    21 (0.2%)    1 (0.3%)  <csv_core::writer::WriterState as core::clone::Clone>::clone
    20 (0.2%)    2 (0.6%)  core::ptr::const_ptr::<impl *const T>::offset
    20 (0.2%)    2 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
    20 (0.2%)    1 (0.3%)  <core::num::dec2flt::common::BiasedFp as core::cmp::PartialEq>::ne
    20 (0.2%)    1 (0.3%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index
    20 (0.2%)    1 (0.3%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    19 (0.2%)    1 (0.3%)  <T as core::array::equality::SpecArrayEq<U,_>>::spec_eq
    19 (0.2%)    1 (0.3%)  <csv_core::reader::DfaState as core::fmt::Debug>::fmt
    19 (0.2%)    1 (0.3%)  core::option::Option<T>::unwrap
    19 (0.2%)    1 (0.3%)  csv_core::reader::ReaderBuilder::ascii
    18 (0.2%)    2 (0.6%)  core::str::<impl str>::parse
    18 (0.2%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::Ord for u8>::cmp
    18 (0.2%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
    18 (0.2%)    1 (0.3%)  core::num::dec2flt::common::ByteSlice::advance
    18 (0.2%)    1 (0.3%)  memchr::memchr::memchr
    17 (0.2%)    1 (0.3%)  core::str::<impl str>::as_bytes
    17 (0.2%)    1 (0.3%)  csv_core::reader::Dfa::new_state
    16 (0.2%)    1 (0.3%)  core::num::dec2flt::biased_fp_to_float
    15 (0.2%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index
    15 (0.2%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    15 (0.2%)    1 (0.3%)  core::num::dec2flt::<impl core::str::traits::FromStr for f64>::from_str
    15 (0.2%)    1 (0.3%)  csv_core::Terminator::is_crlf
    14 (0.1%)    2 (0.6%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
    14 (0.1%)    2 (0.6%)  core::slice::<impl [T]>::iter
    14 (0.1%)    2 (0.6%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    14 (0.1%)    1 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
    14 (0.1%)    1 (0.3%)  <csv_core::reader::NfaInputAction as core::cmp::PartialEq>::eq
    14 (0.1%)    1 (0.3%)  <csv_core::reader::NfaState as core::cmp::PartialEq>::eq
    14 (0.1%)    1 (0.3%)  <csv_core::reader::ReadRecordResult as core::cmp::PartialEq>::eq
    14 (0.1%)    1 (0.3%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
    14 (0.1%)    1 (0.3%)  core::ptr::metadata::metadata
    14 (0.1%)    1 (0.3%)  csv_core::reader::DfaClasses::new
    14 (0.1%)    1 (0.3%)  csv_core::reader::Reader::transition_final_nfa
    13 (0.1%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    13 (0.1%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    13 (0.1%)    1 (0.3%)  core::iter::adapters::map::Map<I,F>::new
    12 (0.1%)    2 (0.6%)  core::ptr::write
    12 (0.1%)    1 (0.3%)  <csv_core::reader::ReaderBuilder as core::default::Default>::default
    12 (0.1%)    1 (0.3%)  core::ops::function::FnOnce::call_once
    12 (0.1%)    1 (0.3%)  csv_core::reader::NfaState::is_field_final
    12 (0.1%)    1 (0.3%)  csv_core::reader::NfaState::is_record_final
    11 (0.1%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index
    11 (0.1%)    1 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    11 (0.1%)    1 (0.3%)  core::num::<impl u64>::leading_zeros
    11 (0.1%)    1 (0.3%)  core::slice::<impl [T]>::first
    11 (0.1%)    1 (0.3%)  csv_core::writer::Writer::is_special_byte
    10 (0.1%)    2 (0.6%)  core::ptr::const_ptr::<impl *const T>::is_null
    10 (0.1%)    2 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    10 (0.1%)    1 (0.3%)  <core::option::Option<T> as core::ops::try_trait::FromResidual>::from_residual
    10 (0.1%)    1 (0.3%)  <csv_core::Terminator as core::default::Default>::default
    10 (0.1%)    1 (0.3%)  <csv_core::reader::Dfa as core::fmt::Debug>::fmt
    10 (0.1%)    1 (0.3%)  <csv_core::writer::Writer as core::default::Default>::default
    10 (0.1%)    1 (0.3%)  <csv_core::writer::WriterState as core::default::Default>::default
    10 (0.1%)    1 (0.3%)  core::iter::adapters::zip::TrustedRandomAccessNoCoerce::size
    10 (0.1%)    1 (0.3%)  core::num::<impl i32>::unchecked_add
    10 (0.1%)    1 (0.3%)  core::num::<impl usize>::unchecked_add
    10 (0.1%)    1 (0.3%)  core::ptr::const_ptr::<impl *const T>::guaranteed_eq
    10 (0.1%)    1 (0.3%)  core::ptr::const_ptr::<impl *const T>::wrapping_offset
    10 (0.1%)    1 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
    10 (0.1%)    1 (0.3%)  csv_core::reader::Reader::new
     9 (0.1%)    3 (0.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     9 (0.1%)    1 (0.3%)  <csv_core::reader::Dfa as core::clone::Clone>::clone
     9 (0.1%)    1 (0.3%)  <csv_core::reader::DfaClasses as core::clone::Clone>::clone
     9 (0.1%)    1 (0.3%)  core::ptr::slice_from_raw_parts
     9 (0.1%)    1 (0.3%)  core::ptr::slice_from_raw_parts_mut
     8 (0.1%)    2 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     8 (0.1%)    2 (0.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     8 (0.1%)    2 (0.6%)  core::ptr::non_null::NonNull<T>::new_unchecked
     8 (0.1%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
     8 (0.1%)    1 (0.3%)  csv_core::reader::Dfa::new_state_final_end
     8 (0.1%)    1 (0.3%)  csv_core::reader::Dfa::new_state_final_record
     8 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::comment
     8 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::escape
     7 (0.1%)    1 (0.3%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::traits::iterator::Iterator>::next
     7 (0.1%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
     7 (0.1%)    1 (0.3%)  <csv_core::Terminator as core::clone::Clone>::clone
     7 (0.1%)    1 (0.3%)  core::iter::traits::iterator::Iterator::map
     7 (0.1%)    1 (0.3%)  core::slice::iter::<impl core::iter::traits::collect::IntoIterator for &[T]>::into_iter
     7 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::terminator
     7 (0.1%)    1 (0.3%)  csv_core::writer::Writer::needs_quotes::{{closure}}
     7 (0.1%)    1 (0.3%)  csv_core::writer::WriterBuilder::terminator
     7 (0.1%)    1 (0.3%)  memchr::memchr::memchr::imp
     7 (0.1%)    1 (0.3%)  memchr::memchr::x86::memchr
     6 (0.1%)    3 (0.9%)  core::slice::<impl [T]>::as_ptr
     6 (0.1%)    2 (0.6%)  core::intrinsics::copy_nonoverlapping
     6 (0.1%)    2 (0.6%)  core::ptr::const_ptr::<impl *const T>::add
     6 (0.1%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::PartialOrd for u8>::partial_cmp
     6 (0.1%)    1 (0.3%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
     6 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::build
     5 (0.1%)    1 (0.3%)  core::num::dec2flt::common::ByteSlice::eq_ignore_case::{{closure}}
     5 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::double_quote
     5 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::nfa
     5 (0.1%)    1 (0.3%)  csv_core::reader::ReaderBuilder::quoting
     5 (0.1%)    1 (0.3%)  csv_core::writer::WriterBuilder::double_quote
     4 (0.0%)    2 (0.6%)  core::ptr::const_ptr::<impl *const T>::cast
     4 (0.0%)    2 (0.6%)  core::slice::<impl [T]>::as_mut_ptr
     4 (0.0%)    2 (0.6%)  core::slice::<impl [T]>::is_empty
     4 (0.0%)    1 (0.3%)  <csv_core::QuoteStyle as core::default::Default>::default
     4 (0.0%)    1 (0.3%)  <csv_core::reader::DfaState as core::cmp::PartialEq>::eq
     4 (0.0%)    1 (0.3%)  <i32 as core::iter::range::Step>::forward_unchecked
     4 (0.0%)    1 (0.3%)  core::cmp::PartialEq::ne
     4 (0.0%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::PartialEq for u8>::eq
     4 (0.0%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::PartialOrd for i32>::lt
     4 (0.0%)    1 (0.3%)  core::cmp::impls::<impl core::cmp::PartialOrd for usize>::lt
     4 (0.0%)    1 (0.3%)  csv_core::reader::DfaState::start
     4 (0.0%)    1 (0.3%)  csv_core::reader::ReaderBuilder::delimiter
     4 (0.0%)    1 (0.3%)  csv_core::reader::ReaderBuilder::quote
     4 (0.0%)    1 (0.3%)  csv_core::writer::WriterBuilder::delimiter
     4 (0.0%)    1 (0.3%)  csv_core::writer::WriterBuilder::escape
     4 (0.0%)    1 (0.3%)  csv_core::writer::WriterBuilder::quote
     4 (0.0%)    1 (0.3%)  csv_core::writer::WriterBuilder::quote_style
     3 (0.0%)    1 (0.3%)  <T as core::convert::TryInto<U>>::try_into
