  Lines          Copies       Function name
  -----          ------       -------------
  228131 (100%)  7241 (100%)  (TOTAL)
   10855 (4.8%)     5 (0.1%)  darling_core::codegen::attr_extractor::ExtractAttribute::extractor
    5600 (2.5%)     1 (0.0%)  <darling_core::codegen::from_meta_impl::FromMetaImpl as quote::to_tokens::ToTokens>::to_tokens
    4737 (2.1%)    71 (1.0%)  core::result::Result<T,E>::map_err
    4301 (1.9%)    47 (0.6%)  core::iter::traits::iterator::Iterator::fold
    4251 (1.9%)    99 (1.4%)  core::option::Option<T>::map
    3336 (1.5%)    24 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    3336 (1.5%)     8 (0.1%)  darling_core::options::parse_attr
    3016 (1.3%)    52 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2964 (1.3%)    54 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2940 (1.3%)    21 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2923 (1.3%)     1 (0.0%)  <darling_core::codegen::field::MatchArm as quote::to_tokens::ToTokens>::to_tokens
    2742 (1.2%)     6 (0.1%)  darling_core::options::ParseData::parse_body
    2549 (1.1%)    43 (0.6%)  alloc::alloc::box_free
    2321 (1.0%)    22 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    2135 (0.9%)     1 (0.0%)  <darling_core::options::shape::Shape as quote::to_tokens::ToTokens>::to_tokens
    2020 (0.9%)     1 (0.0%)  <darling_core::codegen::variant::DataMatchArm as quote::to_tokens::ToTokens>::to_tokens
    2000 (0.9%)     8 (0.1%)  darling_core::options::ParseAttribute::parse_attributes
    1897 (0.8%)     1 (0.0%)  darling_core::codegen::variant_data::FieldsGen::core_loop
    1860 (0.8%)     6 (0.1%)  <F as syn::parse::Parser>::parse2
    1768 (0.8%)     1 (0.0%)  <darling_core::codegen::from_derive_impl::FromDeriveInputImpl as quote::to_tokens::ToTokens>::to_tokens
    1716 (0.8%)     1 (0.0%)  <darling_core::options::shape::DataShape as quote::to_tokens::ToTokens>::to_tokens
    1705 (0.7%)    55 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    1703 (0.7%)    28 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    1650 (0.7%)     6 (0.1%)  darling_core::codegen::outer_from_impl::OuterFromImpl::wrap
    1593 (0.7%)    27 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    1575 (0.7%)    28 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    1575 (0.7%)    25 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1508 (0.7%)    52 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1392 (0.6%)    19 (0.3%)  core::result::Result<T,E>::map
    1383 (0.6%)     1 (0.0%)  <darling_core::codegen::from_attributes_impl::FromAttributesImpl as quote::to_tokens::ToTokens>::to_tokens
    1380 (0.6%)    12 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    1380 (0.6%)    12 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    1275 (0.6%)    25 (0.3%)  core::alloc::layout::Layout::array
    1158 (0.5%)    27 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1131 (0.5%)    27 (0.4%)  core::slice::iter::Iter<T>::new
    1130 (0.5%)    27 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    1116 (0.5%)    23 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    1100 (0.5%)     1 (0.0%)  <darling_core::codegen::from_variant_impl::FromVariantImpl as quote::to_tokens::ToTokens>::to_tokens
    1070 (0.5%)     1 (0.0%)  <darling_core::codegen::from_field::FromFieldImpl as quote::to_tokens::ToTokens>::to_tokens
    1070 (0.5%)     1 (0.0%)  <darling_core::codegen::from_type_param::FromTypeParamImpl as quote::to_tokens::ToTokens>::to_tokens
