  Lines        Copies      Function name
  -----        ------      -------------
  7661 (100%)  358 (100%)  (TOTAL)
   394 (5.1%)    1 (0.3%)  debugid::DebugId::parse_str
   295 (3.9%)    8 (2.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   241 (3.1%)    1 (0.3%)  core::char::methods::encode_utf8_raw
   198 (2.6%)    1 (0.3%)  debugid::DebugId::from_guid_age
   172 (2.2%)    1 (0.3%)  core::array::<impl core::default::Default for [T; _]>::default
   157 (2.0%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   155 (2.0%)    5 (1.4%)  core::fmt::ArgumentV1::new
   154 (2.0%)    1 (0.3%)  alloc::raw_vec::finish_grow
   152 (2.0%)    4 (1.1%)  core::option::Option<T>::ok_or
   152 (2.0%)    1 (0.3%)  alloc::string::String::retain
   149 (1.9%)    3 (0.8%)  core::result::Result<T,E>::map_err
   140 (1.8%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   139 (1.8%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   133 (1.7%)    1 (0.3%)  core::ptr::align_offset
   132 (1.7%)    1 (0.3%)  core::slice::ascii::is_ascii
   125 (1.6%)    7 (2.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   120 (1.6%)    4 (1.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
   108 (1.4%)    1 (0.3%)  debugid::CodeId::from_binary
    96 (1.3%)    1 (0.3%)  core::str::validations::next_code_point
    89 (1.2%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    88 (1.1%)    2 (0.6%)  core::result::Result<T,E>::ok
    88 (1.1%)    1 (0.3%)  <debugid::DebugId as core::fmt::Display>::fmt
    84 (1.1%)    1 (0.3%)  <debugid::DebugId as core::fmt::Debug>::fmt
    76 (1.0%)    1 (0.3%)  core::cmp::max_by
    76 (1.0%)    1 (0.3%)  core::cmp::min_by
    70 (0.9%)    1 (0.3%)  <debugid::BreakpadFormat as core::fmt::Display>::fmt
    66 (0.9%)    1 (0.3%)  core::ptr::align_offset::mod_inv
    60 (0.8%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::all
    58 (0.8%)    1 (0.3%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    58 (0.8%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    54 (0.7%)    1 (0.3%)  core::slice::iter::Iter<T>::make_slice
    51 (0.7%)    1 (0.3%)  alloc::vec::Vec<T,A>::push
    51 (0.7%)    1 (0.3%)  core::alloc::layout::Layout::array
    50 (0.7%)    1 (0.3%)  core::fmt::Arguments::new_v1
    49 (0.6%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    49 (0.6%)    1 (0.3%)  <debugid::ParseOptions as core::fmt::Debug>::fmt
    49 (0.6%)    1 (0.3%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
    47 (0.6%)    1 (0.3%)  core::option::Option<T>::unwrap_unchecked
    45 (0.6%)    1 (0.3%)  <debugid::DebugId as core::default::Default>::default
    43 (0.6%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    42 (0.5%)    1 (0.3%)  core::slice::<impl [T]>::starts_with
    40 (0.5%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    40 (0.5%)    1 (0.3%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    40 (0.5%)    1 (0.3%)  core::str::<impl str>::is_char_boundary
    40 (0.5%)    1 (0.3%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index
    40 (0.5%)    1 (0.3%)  debugid::CodeId::new
    39 (0.5%)    1 (0.3%)  alloc::raw_vec::handle_reserve
    39 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::new
    39 (0.5%)    1 (0.3%)  core::slice::iter::IterMut<T>::new
    38 (0.5%)    1 (0.3%)  core::option::Option<T>::map
    38 (0.5%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    38 (0.5%)    1 (0.3%)  core::slice::iter::IterMut<T>::post_inc_start
    36 (0.5%)    2 (0.6%)  alloc::raw_vec::finish_grow::{{closure}}
    36 (0.5%)    1 (0.3%)  core::slice::ascii::<impl [u8]>::make_ascii_lowercase
    36 (0.5%)    1 (0.3%)  debugid::DebugId::from_parts
    35 (0.5%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
    35 (0.5%)    1 (0.3%)  core::result::Result<T,E>::expect
    34 (0.4%)    1 (0.3%)  <T as alloc::string::ToString>::to_string
    34 (0.4%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
    34 (0.4%)    1 (0.3%)  core::num::<impl usize>::overflowing_mul
    32 (0.4%)    1 (0.3%)  alloc::string::String::push
    32 (0.4%)    1 (0.3%)  core::num::<impl usize>::checked_add
    32 (0.4%)    1 (0.3%)  core::num::<impl usize>::checked_mul
    31 (0.4%)    1 (0.3%)  <debugid::DebugId as core::str::traits::FromStr>::from_str
    31 (0.4%)    1 (0.3%)  core::ptr::metadata::from_raw_parts
    31 (0.4%)    1 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    31 (0.4%)    1 (0.3%)  debugid::DebugId::from_breakpad
    30 (0.4%)    1 (0.3%)  core::fmt::Arguments::new_v1_formatted
    29 (0.4%)    1 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
