  Lines         Copies       Function name
  -----         ------       -------------
  58191 (100%)  1573 (100%)  (TOTAL)
   4129 (7.1%)     1 (0.1%)  der_parser::ber::parser::ber_read_element_content_as
   1760 (3.0%)    31 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1741 (3.0%)     1 (0.1%)  <der_parser::ber::print::PrettyBer as core::fmt::Debug>::fmt
   1422 (2.4%)     9 (0.6%)  nom::combinator::map::{{closure}}
   1056 (1.8%)    14 (0.9%)  core::result::Result<T,E>::map_err
    993 (1.7%)    25 (1.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    980 (1.7%)     7 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    973 (1.7%)     7 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    885 (1.5%)     1 (0.1%)  der_parser::ber::parser::parse_ber_recursive
    782 (1.3%)     1 (0.1%)  <der_parser::ber::ber::BerObjectContent as core::fmt::Debug>::fmt
    758 (1.3%)     6 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    712 (1.2%)     1 (0.1%)  alloc::str::join_generic_copy
    708 (1.2%)    10 (0.6%)  core::result::Result<T,E>::map
    708 (1.2%)     1 (0.1%)  der_parser::der::parser::der_read_element_header
    660 (1.1%)     1 (0.1%)  der_parser::ber::parser::ber_read_element_header
    589 (1.0%)    19 (1.2%)  core::fmt::ArgumentV1::new
    568 (1.0%)     1 (0.1%)  der_parser::der::parser::der_read_element_content_recursive
    558 (1.0%)     2 (0.1%)  nom::combinator::verify::{{closure}}
    541 (0.9%)     1 (0.1%)  nom::multi::many_till::{{closure}}
    533 (0.9%)     1 (0.1%)  der_parser::ber::parser::ber_read_content_sequence
    533 (0.9%)     1 (0.1%)  der_parser::ber::parser::ber_read_content_set
    531 (0.9%)     1 (0.1%)  <der_parser::ber::ber::BerObjectContent as core::clone::Clone>::clone
    492 (0.8%)     1 (0.1%)  der_parser::der::parser::der_read_element_content_as
    431 (0.7%)     5 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    417 (0.7%)     1 (0.1%)  der_parser::ber::parser::ber_skip_object_content
    407 (0.7%)     1 (0.1%)  <der_parser::ber::ber::BerTag as core::fmt::Display>::fmt
    406 (0.7%)     7 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    377 (0.6%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    375 (0.6%)     1 (0.1%)  der_parser::ber::parser::parse_identifier
    372 (0.6%)     1 (0.1%)  der_parser::der::parser::der_read_content_bitstring
    360 (0.6%)     6 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::all
    357 (0.6%)     7 (0.4%)  core::alloc::layout::Layout::array
    330 (0.6%)     3 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
