  Lines         Copies       Function name
  -----         ------       -------------
  43892 (100%)  2014 (100%)  (TOTAL)
   1669 (3.8%)    29 (1.4%)  alloc::alloc::box_free
   1610 (3.7%)     1 (0.0%)  derive_new::new_impl
   1160 (2.6%)    20 (1.0%)  alloc::raw_vec::RawVec<T,A>::current_memory
    944 (2.2%)    22 (1.1%)  core::option::Option<T>::map
    712 (1.6%)     1 (0.0%)  alloc::str::join_generic_copy
    651 (1.5%)    21 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    637 (1.5%)    15 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    628 (1.4%)     1 (0.0%)  derive_new::FieldAttr::parse
    580 (1.3%)    20 (1.0%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    568 (1.3%)     4 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    560 (1.3%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    556 (1.3%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    548 (1.2%)    12 (0.6%)  core::mem::replace
    460 (1.0%)     4 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    460 (1.0%)     4 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    458 (1.0%)     3 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    441 (1.0%)     5 (0.2%)  core::iter::traits::iterator::Iterator::fold
    341 (0.8%)     8 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    333 (0.8%)     8 (0.4%)  core::slice::iter::Iter<T>::new
    332 (0.8%)     8 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    315 (0.7%)     5 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    313 (0.7%)    49 (2.4%)  core::ptr::unique::Unique<T>::cast
    313 (0.7%)     3 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    308 (0.7%)     4 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    297 (0.7%)     4 (0.2%)  std::thread::local::LocalKey<T>::try_with
    292 (0.7%)     1 (0.0%)  derive_new::FieldExt::as_init
