  Lines          Copies       Function name
  -----          ------       -------------
  248715 (100%)  8498 (100%)  (TOTAL)
    4589 (1.8%)    43 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    4170 (1.7%)    30 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    4107 (1.7%)    47 (0.6%)  core::iter::traits::iterator::Iterator::fold
    4073 (1.6%)    34 (0.4%)  core::iter::traits::iterator::Iterator::try_fold
    3321 (1.3%)    72 (0.8%)  core::option::Option<T>::map
    3080 (1.2%)    22 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2907 (1.2%)    51 (0.6%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    2561 (1.0%)    41 (0.5%)  core::iter::adapters::map::map_fold::{{closure}}
    2465 (1.0%)    47 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2436 (1.0%)    42 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2271 (0.9%)    41 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    2219 (0.9%)     1 (0.0%)  derive_more::try_into::expand
    2207 (0.9%)     1 (0.0%)  derive_more::display::State::get_match_arms_and_extra_bounds
    2138 (0.9%)    36 (0.4%)  alloc::alloc::box_free
    2127 (0.9%)    22 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    1969 (0.8%)    42 (0.5%)  core::iter::traits::iterator::Iterator::for_each
    1877 (0.8%)     1 (0.0%)  derive_more::add_like::enum_content
    1827 (0.7%)    29 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1776 (0.7%)     8 (0.1%)  <F as syn::parse::Parser>::parse2
    1773 (0.7%)     1 (0.0%)  derive_more::utils::parse_punctuated_nested_meta
    1677 (0.7%)     6 (0.1%)  derive_more::display::State::get_match_arms_and_extra_bounds::{{closure}}
    1668 (0.7%)     1 (0.0%)  derive_more::unwrap::expand
    1660 (0.7%)     4 (0.0%)  derive_more::error::parse_field_impl
    1603 (0.6%)     1 (0.0%)  derive_more::not_like::enum_output_type_and_content
    1584 (0.6%)    32 (0.4%)  core::mem::replace
    1581 (0.6%)    31 (0.4%)  core::alloc::layout::Layout::array
    1565 (0.6%)     1 (0.0%)  derive_more::from::struct_from
    1564 (0.6%)    18 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    1550 (0.6%)     1 (0.0%)  derive_more::utils::State::new_impl
    1508 (0.6%)     4 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    1488 (0.6%)    48 (0.6%)  core::ptr::metadata::from_raw_parts_mut
    1424 (0.6%)     2 (0.0%)  alloc::str::join_generic_copy
    1413 (0.6%)    33 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1382 (0.6%)    33 (0.4%)  core::slice::iter::Iter<T>::new
    1380 (0.6%)    33 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    1352 (0.5%)     1 (0.0%)  derive_more::into::expand
    1338 (0.5%)    19 (0.2%)  core::iter::adapters::map::map_try_fold::{{closure}}
    1320 (0.5%)    12 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    1227 (0.5%)    57 (0.7%)  core::ptr::read
    1218 (0.5%)    42 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1212 (0.5%)    90 (1.1%)  core::iter::adapters::map::Map<I,F>::new
    1184 (0.5%)     8 (0.1%)  derive_more::error::assert_iter_contains_zero_or_one_item
    1138 (0.5%)     1 (0.0%)  derive_more::mul_assign_like::expand
    1124 (0.5%)    18 (0.2%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
    1106 (0.4%)     1 (0.0%)  derive_more::display::State::parse_meta_bounds
    1105 (0.4%)    53 (0.6%)  core::ops::function::FnOnce::call_once
    1092 (0.4%)    18 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1073 (0.4%)    23 (0.3%)  <core::option::Option<T> as core::hash::Hash>::hash
    1070 (0.4%)     1 (0.0%)  derive_more::is_variant::expand
    1066 (0.4%)     1 (0.0%)  derive_more::mul_like::expand
    1037 (0.4%)     1 (0.0%)  derive_more::parsing::__parse_format_spec
    1023 (0.4%)    33 (0.4%)  core::ptr::metadata::from_raw_parts
    1007 (0.4%)     1 (0.0%)  derive_more::as_mut::expand
    1005 (0.4%)     1 (0.0%)  derive_more::as_ref::expand
     996 (0.4%)     8 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
     976 (0.4%)     1 (0.0%)  derive_more::sum_like::expand
     971 (0.4%)    10 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     947 (0.4%)     4 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
     936 (0.4%)    18 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     932 (0.4%)     2 (0.0%)  derive_more::error::parse_fields_impl
     929 (0.4%)     1 (0.0%)  derive_more::error::expand
     920 (0.4%)     8 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
     918 (0.4%)    40 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     918 (0.4%)    18 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     899 (0.4%)     1 (0.0%)  derive_more::display::expand
     879 (0.4%)    42 (0.5%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     830 (0.3%)     8 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
     827 (0.3%)     1 (0.0%)  derive_more::deref::expand
     809 (0.3%)     9 (0.1%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
     799 (0.3%)     1 (0.0%)  derive_more::display::State::parse_meta_fmt
     796 (0.3%)     1 (0.0%)  derive_more::into_iterator::expand
     780 (0.3%)    13 (0.2%)  hashbrown::raw::RawTable<T,A>::find
     774 (0.3%)     1 (0.0%)  derive_more::error::render_enum
     770 (0.3%)    22 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     764 (0.3%)    19 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     759 (0.3%)    11 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     756 (0.3%)     1 (0.0%)  derive_more::from::enum_from
     748 (0.3%)    11 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     748 (0.3%)    11 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     735 (0.3%)    13 (0.2%)  alloc::vec::Vec<T,A>::push
     722 (0.3%)     1 (0.0%)  derive_more::utils::State::from_variant
     718 (0.3%)    90 (1.1%)  core::iter::traits::iterator::Iterator::map
     716 (0.3%)     1 (0.0%)  derive_more::deref_mut::expand
     700 (0.3%)    20 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     699 (0.3%)     1 (0.0%)  derive_more::add_like::expand
     693 (0.3%)     6 (0.1%)  derive_more::as_mut::expand::{{closure}}
     691 (0.3%)     6 (0.1%)  derive_more::as_ref::expand::{{closure}}
     690 (0.3%)     6 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     685 (0.3%)     1 (0.0%)  derive_more::index::expand
     684 (0.3%)    18 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     681 (0.3%)     1 (0.0%)  derive_more::index_mut::expand
     679 (0.3%)     1 (0.0%)  derive_more::from_str::expand
     660 (0.3%)    15 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     660 (0.3%)    11 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
     659 (0.3%)    50 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
     640 (0.3%)    20 (0.2%)  core::ptr::const_ptr::<impl *const T>::offset_from
     634 (0.3%)     1 (0.0%)  derive_more::not_like::expand
     619 (0.2%)    12 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
     618 (0.2%)    58 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     618 (0.2%)     1 (0.0%)  derive_more::constructor::expand
     598 (0.2%)    29 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
     592 (0.2%)     1 (0.0%)  derive_more::utils::get_meta_info
     570 (0.2%)     1 (0.0%)  derive_more::utils::State::enabled_fields_data
     568 (0.2%)     4 (0.0%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
     555 (0.2%)     5 (0.1%)  hashbrown::raw::RawTable<T,A>::into_allocation
     554 (0.2%)    43 (0.5%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     546 (0.2%)     1 (0.0%)  derive_more::add_assign_like::expand
     540 (0.2%)    54 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     526 (0.2%)    10 (0.1%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     524 (0.2%)     4 (0.0%)  derive_more::unwrap::expand::{{closure}}
     492 (0.2%)     1 (0.0%)  derive_more::display::State::infer_fmt
