  Lines          Copies        Function name
  -----          ------        -------------
  498906 (100%)  13638 (100%)  (TOTAL)
   32356 (6.5%)    211 (1.5%)  core::iter::traits::iterator::Iterator::try_fold
   26200 (5.3%)    200 (1.5%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
   25201 (5.1%)    384 (2.8%)  core::option::Option<T>::map
   19986 (4.0%)    205 (1.5%)  core::iter::traits::iterator::Iterator::fold
   19583 (3.9%)    203 (1.5%)  core::iter::adapters::map::map_try_fold::{{closure}}
   18867 (3.8%)    209 (1.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
   16200 (3.2%)    200 (1.5%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
   15921 (3.2%)    209 (1.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   14076 (2.8%)     69 (0.5%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<syn::punctuated::Pair<T,P>>>::extend
   13979 (2.8%)    203 (1.5%)  core::iter::adapters::map::map_fold::{{closure}}
   13358 (2.7%)    203 (1.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
   10914 (2.2%)    203 (1.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
   10800 (2.2%)    200 (1.5%)  core::iter::traits::iterator::Iterator::for_each
    7600 (1.5%)    200 (1.5%)  <alloc::vec::Vec<T> as syn::gen::helper::fold::FoldHelper>::lift
    5699 (1.1%)     41 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    4581 (0.9%)    310 (2.3%)  core::iter::adapters::map::Map<I,F>::new
    4400 (0.9%)    200 (1.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    4400 (0.9%)    200 (1.5%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    4209 (0.8%)     69 (0.5%)  <syn::punctuated::Punctuated<T,U> as syn::gen::helper::fold::FoldHelper>::lift::{{closure}}
    3718 (0.7%)    209 (1.5%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
    3326 (0.7%)    310 (2.3%)  core::iter::traits::iterator::Iterator::map
    3312 (0.7%)     69 (0.5%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::FromIterator<syn::punctuated::Pair<T,P>>>::from_iter
    3040 (0.6%)    280 (2.1%)  core::iter::traits::iterator::Iterator::collect
    2760 (0.6%)     69 (0.5%)  <syn::punctuated::Punctuated<T,U> as syn::gen::helper::fold::FoldHelper>::lift
    2650 (0.5%)     50 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2622 (0.5%)    203 (1.5%)  core::iter::adapters::map::map_try_fold
    2552 (0.5%)     44 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2538 (0.5%)      2 (0.0%)  syn::gen::fold::fold_expr
    2436 (0.5%)     28 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    2380 (0.5%)     17 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2336 (0.5%)      2 (0.0%)  syn::gen::fold::fold_bin_op
    2286 (0.5%)     40 (0.3%)  alloc::alloc::box_free
    2220 (0.4%)     10 (0.1%)  <F as syn::parse::Parser>::parse2
    2091 (0.4%)     41 (0.3%)  core::alloc::layout::Layout::array
    1953 (0.4%)     31 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1797 (0.4%)      3 (0.0%)  diesel_derives::as_expression::derive::{{closure}}
    1792 (0.4%)     28 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1672 (0.3%)    104 (0.8%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
    1644 (0.3%)     33 (0.2%)  core::mem::replace
    1482 (0.3%)     25 (0.2%)  alloc::vec::Vec<T,A>::push
    1456 (0.3%)     28 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    1429 (0.3%)    203 (1.5%)  core::iter::adapters::map::map_fold
    1428 (0.3%)     28 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    1395 (0.3%)     45 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    1380 (0.3%)     63 (0.5%)  core::ptr::read
    1357 (0.3%)      1 (0.0%)  diesel_derives::diesel_numeric_ops::derive
    1329 (0.3%)      1 (0.0%)  diesel_derives::as_changeset::derive
    1320 (0.3%)     20 (0.1%)  syn::punctuated::Pair<T,P>::into_tuple
    1280 (0.3%)     20 (0.1%)  syn::punctuated::Punctuated<T,P>::into_pairs
    1276 (0.3%)     44 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1203 (0.2%)      1 (0.0%)  diesel_derives::insertable::derive
    1189 (0.2%)    104 (0.8%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
    1168 (0.2%)    291 (2.1%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    1120 (0.2%)     20 (0.1%)  syn::punctuated::Pair<T,P>::new
    1112 (0.2%)      2 (0.0%)  syn::gen::fold::fold_item
    1098 (0.2%)     27 (0.2%)  core::option::Option<T>::or_else
    1085 (0.2%)     31 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    1064 (0.2%)     28 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    1060 (0.2%)      1 (0.0%)  diesel_derives::associations::derive_belongs_to
    1058 (0.2%)      2 (0.0%)  syn::gen::fold::fold_type
    1050 (0.2%)      2 (0.0%)  syn::gen::fold::fold_pat
    1027 (0.2%)      1 (0.0%)  diesel_derives::queryable::derive
    1000 (0.2%)    200 (1.5%)  core::iter::traits::iterator::Iterator::for_each::call
