  Lines        Copies      Function name
  -----        ------      -------------
  5859 (100%)  255 (100%)  (TOTAL)
   273 (4.7%)    5 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   269 (4.6%)    1 (0.4%)  ed25519_dalek::public::PublicKey::verify_strict
   261 (4.5%)    1 (0.4%)  <ed25519_dalek::errors::InternalError as core::fmt::Display>::fmt
   224 (3.8%)    1 (0.4%)  ed25519_dalek::keypair::Keypair::from_bytes
   217 (3.7%)    7 (2.7%)  core::fmt::ArgumentV1::new
   191 (3.3%)    1 (0.4%)  ed25519_dalek::signature::InternalSignature::from_bytes
   187 (3.2%)    1 (0.4%)  ed25519_dalek::public::PublicKey::from_bytes
   184 (3.1%)    1 (0.4%)  <ed25519_dalek::errors::InternalError as core::fmt::Debug>::fmt
   166 (2.8%)    1 (0.4%)  <ed25519_dalek::public::PublicKey as signature::verifier::Verifier<ed25519::Signature>>::verify
   160 (2.7%)    1 (0.4%)  ed25519_dalek::secret::ExpandedSecretKey::sign
   141 (2.4%)    1 (0.4%)  <ed25519_dalek::secret::ExpandedSecretKey as core::convert::From<&ed25519_dalek::secret::SecretKey>>::from
    99 (1.7%)    1 (0.4%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate
    98 (1.7%)    1 (0.4%)  ed25519_dalek::signature::check_scalar
    89 (1.5%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    88 (1.5%)    4 (1.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    84 (1.4%)    2 (0.8%)  core::option::Option<T>::ok_or
    78 (1.3%)    1 (0.4%)  ed25519_dalek::secret::SecretKey::from_bytes
    75 (1.3%)    1 (0.4%)  core::fmt::builders::DebugList::entries
    73 (1.2%)    1 (0.4%)  alloc::alloc::box_free
    69 (1.2%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    69 (1.2%)    1 (0.4%)  ed25519_dalek::public::PublicKey::mangle_scalar_bits_and_multiply_by_basepoint_to_produce_public_key
    64 (1.1%)    1 (0.4%)  <ed25519_dalek::public::PublicKey as core::convert::From<&ed25519_dalek::secret::SecretKey>>::from
    62 (1.1%)    1 (0.4%)  <ed25519_dalek::keypair::Keypair as signature::signer::Signer<ed25519::Signature>>::try_sign
    60 (1.0%)    2 (0.8%)  <sha2::sha512::Sha512 as digest::Update>::update
    59 (1.0%)    1 (0.4%)  <generic_array::ArrayBuilder<T,N> as core::ops::drop::Drop>::drop
    55 (0.9%)    5 (2.0%)  <T as core::convert::Into<U>>::into
    55 (0.9%)    1 (0.4%)  generic_array::ArrayBuilder<T,N>::into_inner
    53 (0.9%)    1 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
    51 (0.9%)    1 (0.4%)  core::result::Result<T,E>::unwrap
    50 (0.9%)    1 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate::{{closure}}
    50 (0.9%)    1 (0.4%)  core::fmt::Arguments::new_v1
    50 (0.9%)    1 (0.4%)  digest::fixed::FixedOutput::finalize_fixed
    48 (0.8%)    1 (0.4%)  <ed25519_dalek::signature::InternalSignature as core::fmt::Debug>::fmt
    43 (0.7%)    1 (0.4%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
    43 (0.7%)    1 (0.4%)  ed25519_dalek::signature::InternalSignature::to_bytes
    42 (0.7%)    9 (3.5%)  <&T as core::fmt::Debug>::fmt
    42 (0.7%)    1 (0.4%)  core::iter::traits::iterator::Iterator::for_each
    40 (0.7%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    40 (0.7%)    1 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    39 (0.7%)    1 (0.4%)  <ed25519_dalek::keypair::Keypair as core::fmt::Debug>::fmt
    39 (0.7%)    1 (0.4%)  <ed25519_dalek::secret::SecretKey as core::fmt::Debug>::fmt
    39 (0.7%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    39 (0.7%)    1 (0.4%)  core::slice::iter::IterMut<T>::new
    38 (0.6%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    38 (0.6%)    1 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    38 (0.6%)    1 (0.4%)  signature::error::Error::from_source
    37 (0.6%)    1 (0.4%)  ed25519_dalek::keypair::Keypair::to_bytes
    36 (0.6%)    1 (0.4%)  <ed25519_dalek::public::PublicKey as core::fmt::Debug>::fmt
    32 (0.5%)    1 (0.4%)  curve25519_dalek::scalar::Scalar::from_hash
    31 (0.5%)    1 (0.4%)  <core::slice::iter::IterMut<Z> as zeroize::Zeroize>::zeroize
    31 (0.5%)    1 (0.4%)  core::ptr::metadata::from_raw_parts
    31 (0.5%)    1 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    28 (0.5%)    4 (1.6%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
    28 (0.5%)    1 (0.4%)  alloc::alloc::exchange_malloc
    27 (0.5%)    3 (1.2%)  <&T as core::convert::AsRef<U>>::as_ref
    27 (0.5%)    1 (0.4%)  alloc::boxed::Box<T>::new
    26 (0.4%)    2 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    26 (0.4%)    1 (0.4%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    26 (0.4%)    1 (0.4%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    25 (0.4%)    1 (0.4%)  <[T] as core::fmt::Debug>::fmt
    25 (0.4%)    1 (0.4%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate::{{closure}}
