  Lines         Copies      Function name
  -----         ------      -------------
  15550 (100%)  595 (100%)  (TOTAL)
    364 (2.3%)    3 (0.5%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    347 (2.2%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf8_slice_start
    329 (2.1%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf8CharDecoder as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    305 (2.0%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_str_start
    296 (1.9%)    4 (0.7%)  core::option::Option<T>::map
    275 (1.8%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    227 (1.5%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf8_array
    223 (1.4%)    3 (0.5%)  core::result::Result<T,E>::map
    219 (1.4%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    216 (1.4%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf16_slice_start
    186 (1.2%)    6 (1.0%)  core::fmt::ArgumentV1::new
    186 (1.2%)    1 (0.2%)  <encode_unicode::utf8_char::Utf8Char as core::convert::From<encode_unicode::utf16_char::Utf16Char>>::from
    180 (1.2%)    1 (0.2%)  <encode_unicode::utf16_char::Utf16Char as core::convert::From<encode_unicode::utf8_char::Utf8Char>>::from
    163 (1.0%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf8CharDecoder as core::iter::traits::iterator::Iterator>::next
    153 (1.0%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16Iterator as core::fmt::Debug>::fmt
    150 (1.0%)    2 (0.3%)  core::fmt::builders::DebugList::entries
    142 (0.9%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    142 (0.9%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
    135 (0.9%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
    134 (0.9%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::to_utf8_array
    128 (0.8%)    1 (0.2%)  encode_unicode::utf8_char::Utf8Char::from_array
    127 (0.8%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf16_tuple
    125 (0.8%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    125 (0.8%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8 as core::fmt::Display>::fmt
    125 (0.8%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8Array as core::fmt::Display>::fmt
    125 (0.8%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8Slice as core::fmt::Display>::fmt
    116 (0.7%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    110 (0.7%)    3 (0.5%)  core::result::Result<T,E>::unwrap
    109 (0.7%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_array
    102 (0.7%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8Iterator as core::fmt::Debug>::fmt
     94 (0.6%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8Slice as core::fmt::Debug>::fmt
     91 (0.6%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16CharIndices as core::iter::traits::iterator::Iterator>::next
     91 (0.6%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8CharIndices as core::iter::traits::iterator::Iterator>::next
     90 (0.6%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8Iterator as std::io::Read>::read
     89 (0.6%)    1 (0.2%)  <encode_unicode::utf8_char::Utf8Char as core::str::traits::FromStr>::from_str
     89 (0.6%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     88 (0.6%)    1 (0.2%)  encode_unicode::utf8_char::Utf8Char::to_slice
     87 (0.6%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_utf16_array
     86 (0.6%)    2 (0.3%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     83 (0.5%)    1 (0.2%)  <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::try_fold
     80 (0.5%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     80 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     79 (0.5%)    1 (0.2%)  <encode_unicode::utf8_iterators::Utf8Iterator as core::convert::From<encode_unicode::utf8_char::Utf8Char>>::from
     78 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     76 (0.5%)    1 (0.2%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.5%)    1 (0.2%)  core::cmp::min_by
     76 (0.5%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_slice_start::{{closure}}
     75 (0.5%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::nth
     74 (0.5%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8 as core::fmt::Debug>::fmt
     73 (0.5%)    1 (0.2%)  alloc::alloc::box_free
     72 (0.5%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     70 (0.5%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     70 (0.5%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8Array as core::fmt::Debug>::fmt
     70 (0.5%)    1 (0.2%)  <encode_unicode::utf16_char::Utf16Char as core::str::traits::FromStr>::from_str
     69 (0.4%)    1 (0.2%)  <encode_unicode::utf16_char::Utf16Char as core::cmp::Ord>::cmp
     67 (0.4%)    1 (0.2%)  encode_unicode::traits::merge_nonascii_unchecked_utf8
     64 (0.4%)    1 (0.2%)  encode_unicode::utf8_char::Utf8Char::from_slice_start::{{closure}}
     63 (0.4%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_slice_start_unchecked
     62 (0.4%)    2 (0.3%)  core::ptr::metadata::from_raw_parts
     61 (0.4%)    3 (0.5%)  <T as core::convert::Into<U>>::into
     61 (0.4%)    1 (0.2%)  core::result::Result<T,E>::map_err
     61 (0.4%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::from_tuple
     60 (0.4%)    3 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold::ok::{{closure}}
     59 (0.4%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::to_utf16_tuple
     58 (0.4%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::to_slice
     57 (0.4%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16Iterator as core::convert::From<encode_unicode::utf16_char::Utf16Char>>::from
     52 (0.3%)    1 (0.2%)  <encode_unicode::utf16_iterators::Utf16Iterator as core::iter::traits::iterator::Iterator>::next
     50 (0.3%)    2 (0.3%)  <[T] as core::fmt::Debug>::fmt
     50 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
     50 (0.3%)    1 (0.2%)  encode_unicode::utf16_char::Utf16Char::to_tuple
     48 (0.3%)    4 (0.7%)  core::any::TypeId::of
     46 (0.3%)    1 (0.2%)  core::mem::replace
     45 (0.3%)    9 (1.5%)  <&T as core::fmt::Debug>::fmt
     45 (0.3%)    3 (0.5%)  core::iter::traits::iterator::Iterator::count::{{closure}}
     45 (0.3%)    1 (0.2%)  encode_unicode::utf8_char::Utf8Char::from_slice_start_unchecked
     44 (0.3%)    2 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     44 (0.3%)    1 (0.2%)  <u8 as encode_unicode::traits::U8UtfExt>::extra_utf8_bytes
     44 (0.3%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     43 (0.3%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf16CharDecoder as core::fmt::Debug>::fmt
     43 (0.3%)    1 (0.2%)  <encode_unicode::decoding_iterators::Utf8CharDecoder as core::fmt::Debug>::fmt
     43 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.3%)    1 (0.2%)  std::panicking::begin_panic::{{closure}}
     42 (0.3%)    1 (0.2%)  <encode_unicode::utf16_char::Utf16Char as core::convert::From<char>>::from
     41 (0.3%)    2 (0.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     41 (0.3%)    1 (0.2%)  <encode_unicode::errors::InvalidUtf8 as std::error::Error>::description
     41 (0.3%)    1 (0.2%)  core::char::convert::char_try_from_u32
     41 (0.3%)    1 (0.2%)  encode_unicode::traits::overlong
     41 (0.3%)    1 (0.2%)  encode_unicode::utf16_char::<impl core::convert::From<encode_unicode::utf16_char::Utf16Char> for char>::from
     41 (0.3%)    1 (0.2%)  encode_unicode::utf8_char::Utf8Char::to_array
     41 (0.3%)    1 (0.2%)  std::panicking::begin_panic
     40 (0.3%)    1 (0.2%)  <char as encode_unicode::traits::CharExt>::from_u32_detailed
