  Lines        Copies     Function name
  -----        ------     -------------
  1366 (100%)  82 (100%)  (TOTAL)
   326 (23.9%)  2 (2.4%)  errno::sys::with_description
    94 (6.9%)   1 (1.2%)  <errno::Errno as core::fmt::Display>::fmt::{{closure}}
    62 (4.5%)   2 (2.4%)  core::fmt::ArgumentV1::new
    58 (4.2%)   1 (1.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    50 (3.7%)   1 (1.2%)  core::fmt::Arguments::new_v1
    49 (3.6%)   1 (1.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    45 (3.3%)   1 (1.2%)  <errno::Errno as core::fmt::Debug>::fmt::{{closure}}
    35 (2.6%)   1 (1.2%)  <alloc::borrow::Cow<B> as core::ops::deref::Deref>::deref
    35 (2.6%)   1 (1.2%)  core::result::Result<T,E>::ok
    31 (2.3%)   1 (1.2%)  core::ptr::metadata::from_raw_parts
    31 (2.3%)   1 (1.2%)  core::ptr::metadata::from_raw_parts_mut
    29 (2.1%)   1 (1.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    28 (2.0%)   1 (1.2%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    26 (1.9%)   1 (1.2%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
    23 (1.7%)   1 (1.2%)  <errno::Errno as core::fmt::Debug>::fmt
    23 (1.7%)   1 (1.2%)  <errno::Errno as core::fmt::Display>::fmt
    20 (1.5%)   1 (1.2%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    20 (1.5%)   1 (1.2%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    20 (1.5%)   1 (1.2%)  std::ffi::c_str::CStr::to_bytes
    18 (1.3%)   1 (1.2%)  std::io::error::Error::from_raw_os_error
    17 (1.2%)   1 (1.2%)  core::str::converts::from_utf8_unchecked
    15 (1.1%)   1 (1.2%)  errno::<impl core::convert::From<errno::Errno> for std::io::error::Error>::from
    15 (1.1%)   1 (1.2%)  std::ffi::c_str::CStr::from_ptr
    14 (1.0%)   1 (1.2%)  core::alloc::layout::Layout::from_size_align_unchecked
    14 (1.0%)   1 (1.2%)  core::slice::<impl [T]>::len
    13 (1.0%)   1 (1.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    12 (0.9%)   1 (1.2%)  <alloc::string::String as core::ops::index::Index<core::ops::range::RangeFull>>::index
    12 (0.9%)   1 (1.2%)  alloc::alloc::dealloc
    11 (0.8%)   2 (2.4%)  <&T as core::fmt::Debug>::fmt
    11 (0.8%)   1 (1.2%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    10 (0.7%)   1 (1.2%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    10 (0.7%)   1 (1.2%)  core::ptr::const_ptr::<impl *const T>::offset
    10 (0.7%)   1 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     9 (0.7%)   1 (1.2%)  alloc::vec::Vec<T,A>::as_mut_ptr
     9 (0.7%)   1 (1.2%)  alloc::vec::Vec<T,A>::as_ptr
     9 (0.7%)   1 (1.2%)  core::ptr::drop_in_place<alloc::borrow::Cow<str>>
     9 (0.7%)   1 (1.2%)  core::ptr::slice_from_raw_parts
     9 (0.7%)   1 (1.2%)  core::ptr::slice_from_raw_parts_mut
     9 (0.7%)   1 (1.2%)  core::slice::raw::from_raw_parts
     7 (0.5%)   1 (1.2%)  <&T as core::fmt::Display>::fmt
     7 (0.5%)   1 (1.2%)  alloc::str::<impl core::borrow::Borrow<str> for alloc::string::String>::borrow
     7 (0.5%)   1 (1.2%)  core::slice::<impl [T]>::get_unchecked
     7 (0.5%)   1 (1.2%)  errno::sys::errno
     5 (0.4%)   1 (1.2%)  <core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from
     5 (0.4%)   1 (1.2%)  alloc::raw_vec::RawVec<T,A>::ptr
     5 (0.4%)   1 (1.2%)  core::alloc::layout::Layout::align
     5 (0.4%)   1 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     5 (0.4%)   1 (1.2%)  core::ptr::unique::Unique<T>::cast
     4 (0.3%)   1 (1.2%)  <errno::Errno as core::cmp::PartialEq>::ne
     4 (0.3%)   1 (1.2%)  core::num::nonzero::NonZeroUsize::new_unchecked
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<alloc::string::String>
     4 (0.3%)   1 (1.2%)  core::ptr::non_null::NonNull<T>::new_unchecked
     4 (0.3%)   1 (1.2%)  core::ptr::unique::Unique<T>::new_unchecked
     4 (0.3%)   1 (1.2%)  errno::sys::set_errno
     4 (0.3%)   1 (1.2%)  std::ffi::c_str::CStr::from_bytes_with_nul_unchecked
     4 (0.3%)   1 (1.2%)  std::ffi::c_str::CStr::to_bytes_with_nul
     3 (0.2%)   1 (1.2%)  <T as core::convert::Into<U>>::into
     3 (0.2%)   1 (1.2%)  core::alloc::layout::Layout::size
     3 (0.2%)   1 (1.2%)  core::ptr::const_ptr::<impl *const T>::add
     3 (0.2%)   1 (1.2%)  core::ptr::drop_in_place<alloc::raw_vec::RawVec<u8>>
     3 (0.2%)   1 (1.2%)  errno::errno
     3 (0.2%)   1 (1.2%)  errno::set_errno
     2 (0.1%)   1 (1.2%)  core::ptr::const_ptr::<impl *const T>::cast
     2 (0.1%)   1 (1.2%)  core::ptr::const_ptr::<impl *const [T]>::as_ptr
     2 (0.1%)   1 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::cast
     2 (0.1%)   1 (1.2%)  core::slice::<impl [T]>::as_mut_ptr
     2 (0.1%)   1 (1.2%)  core::slice::<impl [T]>::as_ptr
     1 (0.1%)   1 (1.2%)  <errno::Errno as core::convert::Into<i32>>::into
     1 (0.1%)   1 (1.2%)  <errno::Errno as std::error::Error>::description
     1 (0.1%)   1 (1.2%)  core::mem::align_of
     1 (0.1%)   1 (1.2%)  core::mem::size_of
     1 (0.1%)   1 (1.2%)  core::num::nonzero::NonZeroUsize::get
     1 (0.1%)   1 (1.2%)  core::ptr::drop_in_place<&&str>
     1 (0.1%)   1 (1.2%)  core::ptr::drop_in_place<core::option::Option<&str>>
     1 (0.1%)   1 (1.2%)  core::ptr::drop_in_place<i32>
     1 (0.1%)   1 (1.2%)  core::ptr::non_null::NonNull<T>::as_ptr
     1 (0.1%)   1 (1.2%)  core::ptr::null_mut
