  Lines         Copies       Function name
  -----         ------       -------------
  39767 (100%)  1741 (100%)  (TOTAL)
    734 (1.8%)    12 (0.7%)  alloc::alloc::box_free
    652 (1.6%)     3 (0.2%)  fern::builders::Dispatch::into_dispatch::{{closure}}
    637 (1.6%)    15 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    579 (1.5%)    12 (0.7%)  core::mem::replace
    548 (1.4%)    11 (0.6%)  core::option::Option<T>::map
    426 (1.1%)     1 (0.1%)  std::sync::mpsc::Sender<T>::send
    395 (1.0%)     5 (0.3%)  fern::log_impl::fallback_on_error
    385 (1.0%)     7 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    379 (1.0%)    18 (1.0%)  core::ptr::read
    377 (0.9%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    348 (0.9%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    342 (0.9%)     3 (0.2%)  std::io::Write::write_fmt
    341 (0.9%)     7 (0.4%)  core::result::Result<T,E>::map_err
    324 (0.8%)    14 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    323 (0.8%)     1 (0.1%)  std::sync::mpsc::sync::Packet<T>::drop_port
    312 (0.8%)     4 (0.2%)  std::sync::poison::map_result
    310 (0.8%)    10 (0.6%)  core::fmt::ArgumentV1::new
    310 (0.8%)     5 (0.3%)  core::result::Result<T,E>::unwrap_or_else
    294 (0.7%)     7 (0.4%)  alloc::sync::Weak<T>::inner
    294 (0.7%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    289 (0.7%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    288 (0.7%)     3 (0.2%)  <std::io::Write::write_fmt::Adapter<T> as core::fmt::Write>::write_str
    280 (0.7%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    256 (0.6%)     3 (0.2%)  std::sync::mutex::Mutex<T>::new
    252 (0.6%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    250 (0.6%)     1 (0.1%)  fern::builders::Dispatch::into_dispatch
    249 (0.6%)     1 (0.1%)  <fern::log_impl::File as log::Log>::log::{{closure}}
    249 (0.6%)     1 (0.1%)  <fern::log_impl::Writer as log::Log>::log::{{closure}}
    241 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    233 (0.6%)     1 (0.1%)  <fern::builders::OutputInner as core::fmt::Debug>::fmt
    228 (0.6%)     3 (0.2%)  core::cmp::max_by
    207 (0.5%)     5 (0.3%)  core::slice::iter::Iter<T>::new
    196 (0.5%)     2 (0.1%)  alloc::sync::Arc<T>::new
    194 (0.5%)     1 (0.1%)  std::sync::mpsc::shared::Packet<T>::send
    192 (0.5%)     5 (0.3%)  core::sync::atomic::atomic_load
    191 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    188 (0.5%)     1 (0.1%)  std::io::buffered::bufwriter::BufWriter<W>::flush_buf
    187 (0.5%)     1 (0.1%)  <fern::log_impl::Sender as log::Log>::log::{{closure}}
