  Lines         Copies      Function name
  -----         ------      -------------
  19815 (100%)  709 (100%)  (TOTAL)
   3535 (17.8%)   1 (0.1%)  <fuchsia_zircon::signals::Signals as core::fmt::Debug>::fmt
   1044 (5.3%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt
    920 (4.6%)   14 (2.0%)  core::result::Result<T,E>::map
    682 (3.4%)   17 (2.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    673 (3.4%)    1 (0.1%)  <fuchsia_zircon::vmar::VmarFlags as core::fmt::Debug>::fmt
    530 (2.7%)    9 (1.3%)  core::result::Result<T,E>::map_err
    449 (2.3%)    1 (0.1%)  core::array::<impl core::default::Default for [T; 32]>::default
    355 (1.8%)    9 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    317 (1.6%)    1 (0.1%)  fuchsia_zircon::channel::Channel::call
    278 (1.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    245 (1.2%)    1 (0.1%)  fuchsia_zircon::channel::Channel::write
    197 (1.0%)    3 (0.4%)  alloc::alloc::box_free
    157 (0.8%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    155 (0.8%)    1 (0.1%)  fuchsia_zircon::channel::Channel::create
    155 (0.8%)    1 (0.1%)  fuchsia_zircon::eventpair::EventPair::create
    155 (0.8%)    1 (0.1%)  fuchsia_zircon::fifo::Fifo::create
    155 (0.8%)    1 (0.1%)  fuchsia_zircon::socket::Socket::create
    154 (0.8%)    1 (0.1%)  alloc::raw_vec::finish_grow
    150 (0.8%)    2 (0.3%)  core::fmt::builders::DebugList::entries
    138 (0.7%)    3 (0.4%)  core::mem::replace
    134 (0.7%)    1 (0.1%)  fuchsia_zircon::channel::Channel::read_raw
    125 (0.6%)    1 (0.1%)  fuchsia_zircon::object_wait_many
    122 (0.6%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    116 (0.6%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    116 (0.6%)    1 (0.1%)  fuchsia_zircon::port::Packet::contents
    115 (0.6%)    5 (0.7%)  core::ptr::read
    106 (0.5%)    1 (0.1%)  fuchsia_zircon::port::Port::wait
    105 (0.5%)    3 (0.4%)  core::option::Option<T>::ok_or
    102 (0.5%)    2 (0.3%)  core::alloc::layout::Layout::array
    101 (0.5%)    1 (0.1%)  fuchsia_zircon::time::Timer::create
    101 (0.5%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::clone
     99 (0.5%)    1 (0.1%)  <fuchsia_zircon::port::PacketContents as core::fmt::Debug>::fmt
     99 (0.5%)    1 (0.1%)  fuchsia_zircon::event::Event::create
     99 (0.5%)    1 (0.1%)  fuchsia_zircon::port::Port::create
     99 (0.5%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::create
     89 (0.4%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     83 (0.4%)    1 (0.1%)  fuchsia_zircon::handle::Handle::replace
     81 (0.4%)    1 (0.1%)  fuchsia_zircon::handle::HandleRef::wait
     80 (0.4%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     80 (0.4%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     78 (0.4%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[fuchsia_zircon::handle::Handle]>
     77 (0.4%)    1 (0.1%)  fuchsia_zircon::socket::Socket::read
     76 (0.4%)    1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.4%)    1 (0.1%)  core::cmp::max_by
     72 (0.4%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.3%)    1 (0.1%)  <core::result::Result<T,E> as core::cmp::PartialEq>::eq
     67 (0.3%)   16 (2.3%)  <&T as core::fmt::Debug>::fmt
     66 (0.3%)    6 (0.8%)  fuchsia_zircon::handle::AsHandleRef::raw_handle
     63 (0.3%)    5 (0.7%)  <T as core::convert::Into<U>>::into
     62 (0.3%)    2 (0.3%)  core::ptr::metadata::from_raw_parts
     62 (0.3%)    2 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     61 (0.3%)    1 (0.1%)  fuchsia_zircon::handle::HandleRef::duplicate
     57 (0.3%)    5 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::fifo::Fifo::read
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::fifo::Fifo::write
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::socket::Socket::outstanding_read_bytes
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::socket::Socket::write
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::read
     52 (0.3%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::write
     50 (0.3%)    2 (0.3%)  <[T] as core::fmt::Debug>::fmt
     50 (0.3%)    1 (0.1%)  core::fmt::Arguments::new_v1
     50 (0.3%)    1 (0.1%)  fuchsia_zircon::cprng::cprng_draw
     50 (0.3%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::get_size
     49 (0.2%)    1 (0.1%)  <fuchsia_zircon::WaitItem as core::fmt::Debug>::fmt
     49 (0.2%)    1 (0.1%)  <fuchsia_zircon::status::Status as core::convert::From<std::io::error::Error>>::from
     49 (0.2%)    1 (0.1%)  <fuchsia_zircon::status::Status as core::convert::From<std::io::error::ErrorKind>>::from
     49 (0.2%)    1 (0.1%)  core::ptr::read_unaligned
     47 (0.2%)    1 (0.1%)  alloc::vec::Vec<T,A>::resize
     45 (0.2%)    2 (0.3%)  alloc::vec::Vec<T,A>::truncate
     45 (0.2%)    1 (0.1%)  fuchsia_zircon::status::<impl core::convert::From<fuchsia_zircon::status::Status> for std::io::error::ErrorKind>::from
     44 (0.2%)    1 (0.1%)  <fuchsia_zircon::channel::MessageBuf as core::default::Default>::default
     44 (0.2%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     43 (0.2%)    1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     43 (0.2%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.2%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
     43 (0.2%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::op_range
     43 (0.2%)    1 (0.1%)  std::panicking::begin_panic::{{closure}}
     42 (0.2%)    1 (0.1%)  fuchsia_zircon::handle::HandleRef::signal
     41 (0.2%)    1 (0.1%)  std::panicking::begin_panic
     40 (0.2%)    6 (0.8%)  <T as core::convert::From<T>>::from
     40 (0.2%)    1 (0.1%)  core::option::Option<T>::and_then
     39 (0.2%)    1 (0.1%)  <fuchsia_zircon::channel::MessageBuf as core::fmt::Debug>::fmt
     39 (0.2%)    1 (0.1%)  alloc::raw_vec::handle_reserve
     38 (0.2%)    1 (0.1%)  <fuchsia_zircon::handle::HandleRef as core::fmt::Debug>::fmt
     38 (0.2%)    1 (0.1%)  core::time::Duration::new
     38 (0.2%)    1 (0.1%)  fuchsia_zircon::channel::Channel::read
     38 (0.2%)    1 (0.1%)  std::io::error::Error::kind
     37 (0.2%)    1 (0.1%)  fuchsia_zircon::status::<impl core::convert::From<fuchsia_zircon::status::Status> for std::io::error::Error>::from
     36 (0.2%)    2 (0.3%)  alloc::raw_vec::finish_grow::{{closure}}
     36 (0.2%)    1 (0.1%)  core::mem::transmute_copy
     35 (0.2%)    1 (0.1%)  fuchsia_zircon::status::Status::into_io_error
     34 (0.2%)    1 (0.1%)  core::num::<impl u64>::overflowing_add
     34 (0.2%)    1 (0.1%)  core::num::<impl usize>::overflowing_add
     34 (0.2%)    1 (0.1%)  core::num::<impl usize>::overflowing_mul
     34 (0.2%)    1 (0.1%)  fuchsia_zircon::handle::HandleRef::wait_async
     34 (0.2%)    1 (0.1%)  std::sys_common::backtrace::__rust_end_short_backtrace
     33 (0.2%)    5 (0.7%)  core::ptr::unique::Unique<T>::cast
     33 (0.2%)    1 (0.1%)  fuchsia_zircon::usize_into_u32
     32 (0.2%)    1 (0.1%)  core::num::<impl u64>::checked_add
     32 (0.2%)    1 (0.1%)  core::num::<impl usize>::checked_add
     32 (0.2%)    1 (0.1%)  core::num::<impl usize>::checked_mul
     32 (0.2%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::lookup
     31 (0.2%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
     30 (0.2%)    1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     30 (0.2%)    1 (0.1%)  <fuchsia_zircon::ClockId as core::fmt::Debug>::fmt
     29 (0.1%)    1 (0.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     29 (0.1%)    1 (0.1%)  alloc::raw_vec::alloc_guard
     29 (0.1%)    1 (0.1%)  fuchsia_zircon::port::Packet::from_user_packet
     28 (0.1%)    1 (0.1%)  alloc::alloc::exchange_malloc
     28 (0.1%)    1 (0.1%)  alloc::boxed::Box<T>::new
     28 (0.1%)    1 (0.1%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
     26 (0.1%)    3 (0.4%)  core::ptr::unique::Unique<T>::as_ref
     26 (0.1%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
     26 (0.1%)    1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
     26 (0.1%)    1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
     26 (0.1%)    1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
     26 (0.1%)    1 (0.1%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
     26 (0.1%)    1 (0.1%)  std::panicking::begin_panic::PanicPayload<A>::new
     25 (0.1%)    5 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     25 (0.1%)    4 (0.6%)  core::ptr::write
     25 (0.1%)    1 (0.1%)  <fuchsia_zircon::port::WaitAsyncOpts as core::fmt::Debug>::fmt
     25 (0.1%)    1 (0.1%)  fuchsia_zircon::channel::MessageBuf::new_with
     25 (0.1%)    1 (0.1%)  fuchsia_zircon::signals::Signals::from_bits_truncate
     24 (0.1%)    5 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     24 (0.1%)    1 (0.1%)  <fuchsia_zircon_sys::zx_port_packet_t as core::default::Default>::default
     24 (0.1%)    1 (0.1%)  fuchsia_zircon::channel::MessageBuf::take_handle::{{closure}}
     24 (0.1%)    1 (0.1%)  fuchsia_zircon::status::Status::ok
     23 (0.1%)    1 (0.1%)  fuchsia_zircon::socket::Socket::half_close
     23 (0.1%)    1 (0.1%)  fuchsia_zircon::time::Timer::set
     22 (0.1%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     22 (0.1%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     22 (0.1%)    1 (0.1%)  alloc::boxed::Box<T,A>::leak
     21 (0.1%)    3 (0.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
     21 (0.1%)    1 (0.1%)  fuchsia_zircon::channel::Channel::read_raw::{{closure}}
     20 (0.1%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     20 (0.1%)    2 (0.3%)  alloc::vec::Vec<T>::new
     20 (0.1%)    2 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset
     20 (0.1%)    2 (0.3%)  core::ptr::mut_ptr::<impl *mut T>::offset
     20 (0.1%)    2 (0.3%)  fuchsia_zircon::channel::Channel::call::{{closure}}
     20 (0.1%)    2 (0.3%)  fuchsia_zircon::socket::Socket::read::{{closure}}
     20 (0.1%)    1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
     20 (0.1%)    1 (0.1%)  <fuchsia_zircon::port::Packet as core::fmt::Debug>::fmt
     20 (0.1%)    1 (0.1%)  <fuchsia_zircon::port::SignalPacket as core::fmt::Debug>::fmt
     20 (0.1%)    1 (0.1%)  <fuchsia_zircon::port::UserPacket as core::fmt::Debug>::fmt
     20 (0.1%)    1 (0.1%)  <fuchsia_zircon::status::Status as core::fmt::Debug>::fmt
     20 (0.1%)    1 (0.1%)  <fuchsia_zircon::vmo::VmoOp as core::fmt::Debug>::fmt
     20 (0.1%)    1 (0.1%)  fuchsia_zircon::port::Port::queue
     19 (0.1%)    1 (0.1%)  <core::marker::PhantomData<T> as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::channel::Channel as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::event::Event as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::eventpair::EventPair as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::fifo::Fifo as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::handle::Handle as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::job::Job as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::port::Port as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::process::Process as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::socket::Socket as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::thread::Thread as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::time::Duration as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::time::Time as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::time::Timer as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  <fuchsia_zircon::vmo::Vmo as core::fmt::Debug>::fmt
     19 (0.1%)    1 (0.1%)  fuchsia_zircon::cprng::cprng_add_entropy
     19 (0.1%)    1 (0.1%)  fuchsia_zircon::time::Timer::cancel
     19 (0.1%)    1 (0.1%)  fuchsia_zircon::vmo::Vmo::set_size
     18 (0.1%)    2 (0.3%)  alloc::vec::Vec<T,A>::as_mut_ptr
     18 (0.1%)    2 (0.3%)  alloc::vec::Vec<T,A>::as_ptr
     18 (0.1%)    2 (0.3%)  core::ptr::slice_from_raw_parts
     18 (0.1%)    2 (0.3%)  core::ptr::slice_from_raw_parts_mut
     18 (0.1%)    2 (0.3%)  core::slice::raw::from_raw_parts
     18 (0.1%)    2 (0.3%)  fuchsia_zircon::channel::ensure_capacity
     18 (0.1%)    1 (0.1%)  <std::io::error::Error as core::convert::From<std::io::error::ErrorKind>>::from
     18 (0.1%)    1 (0.1%)  core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
     18 (0.1%)    1 (0.1%)  core::option::Option<T>::take
     18 (0.1%)    1 (0.1%)  fuchsia_zircon::port::SignalPacket::observed
     18 (0.1%)    1 (0.1%)  fuchsia_zircon::port::SignalPacket::trigger
     17 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::NONE
     17 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::WAIT
     17 (0.1%)    1 (0.1%)  <fuchsia_zircon::signals::Signals as <fuchsia_zircon::signals::Signals as core::fmt::Debug>::fmt::__BitFlags>::NONE
     17 (0.1%)    1 (0.1%)  <fuchsia_zircon::time::Duration as core::convert::From<core::time::Duration>>::from
     16 (0.1%)    2 (0.3%)  core::ptr::non_null::NonNull<T>::cast
     16 (0.1%)    1 (0.1%)  core::array::<impl core::fmt::Debug for [T; N]>::fmt
     16 (0.1%)    1 (0.1%)  fuchsia_zircon::handle::HandleRef::wait::{{closure}}
     15 (0.1%)    1 (0.1%)  fuchsia_zircon::ok
     14 (0.1%)    5 (0.7%)  core::ptr::unique::Unique<T>::as_ptr
     14 (0.1%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
     14 (0.1%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::reserve
     14 (0.1%)    2 (0.3%)  core::slice::<impl [T]>::iter
     14 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::DESTROY
     14 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::DUPLICATE
     14 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::ENUMERATE
     14 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::EXECUTE
     14 (0.1%)    1 (0.1%)  <fuchsia_zircon::rights::Rights as <fuchsia_zircon::rights::Rights as core::fmt::Debug>::fmt::__BitFlags>::GET_POLICY
