  Lines         Copies       Function name
  -----         ------       -------------
  29908 (100%)  1207 (100%)  (TOTAL)
    934 (3.1%)     7 (0.6%)  core::iter::traits::iterator::Iterator::try_fold
    834 (2.8%)     6 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    712 (2.4%)     1 (0.1%)  alloc::str::join_generic_copy
    700 (2.3%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    601 (2.0%)     5 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    464 (1.6%)     8 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    449 (1.5%)     5 (0.4%)  core::iter::traits::iterator::Iterator::fold
    435 (1.5%)    12 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    399 (1.3%)     3 (0.2%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    395 (1.3%)     8 (0.7%)  core::option::Option<T>::map
    388 (1.3%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    357 (1.2%)     7 (0.6%)  core::alloc::layout::Layout::array
    352 (1.2%)     1 (0.1%)  getopts::OptGroup::long_to_short
    333 (1.1%)     2 (0.2%)  getopts::Options::usage_items::{{closure}}
    322 (1.1%)     1 (0.1%)  getopts::each_split_within
    306 (1.0%)     3 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
    304 (1.0%)     4 (0.3%)  core::fmt::builders::DebugList::entries
    298 (1.0%)     7 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    291 (1.0%)     7 (0.6%)  core::slice::iter::Iter<T>::new
    290 (1.0%)     7 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    280 (0.9%)     2 (0.2%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
    279 (0.9%)     9 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    260 (0.9%)     4 (0.3%)  alloc::alloc::box_free
    248 (0.8%)     8 (0.7%)  core::ptr::metadata::from_raw_parts
    241 (0.8%)     3 (0.2%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
    241 (0.8%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    236 (0.8%)     2 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
    226 (0.8%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    222 (0.7%)     4 (0.3%)  alloc::vec::Vec<T,A>::push
    213 (0.7%)     5 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    203 (0.7%)     7 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    201 (0.7%)     3 (0.2%)  alloc::vec::source_iter_marker::write_in_place_with_drop::{{closure}}
    192 (0.6%)     2 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    188 (0.6%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
    180 (0.6%)    11 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    175 (0.6%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    175 (0.6%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    174 (0.6%)     3 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    161 (0.5%)     1 (0.1%)  getopts::Options::usage_items
    159 (0.5%)     3 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    159 (0.5%)     1 (0.1%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    157 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (0.5%)     1 (0.1%)  <getopts::Fail as core::fmt::Display>::fmt
    154 (0.5%)     1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.5%)     4 (0.3%)  core::option::Option<T>::ok_or
    152 (0.5%)     2 (0.2%)  core::iter::adapters::map::map_try_fold::{{closure}}
    150 (0.5%)     4 (0.3%)  core::result::Result<T,E>::unwrap
    149 (0.5%)     3 (0.2%)  core::result::Result<T,E>::map_err
    147 (0.5%)     1 (0.1%)  getopts::find_opt
    144 (0.5%)     2 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    143 (0.5%)     1 (0.1%)  <getopts::Fail as core::fmt::Debug>::fmt
    139 (0.5%)     3 (0.2%)  core::iter::traits::iterator::Iterator::for_each
    130 (0.4%)     3 (0.2%)  core::mem::replace
    128 (0.4%)     4 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset_from
    124 (0.4%)     4 (0.3%)  core::fmt::ArgumentV1::new
    122 (0.4%)     2 (0.2%)  core::iter::traits::iterator::Iterator::find_map::check::{{closure}}
    121 (0.4%)     5 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    119 (0.4%)     1 (0.1%)  getopts::Matches::opt_default
    116 (0.4%)     1 (0.1%)  core::slice::<impl [T]>::binary_search_by
    115 (0.4%)     3 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    115 (0.4%)     1 (0.1%)  getopts::Options::short_usage
    112 (0.4%)     8 (0.7%)  core::iter::adapters::map::Map<I,F>::new
    112 (0.4%)     1 (0.1%)  <getopts::OptGroup as core::clone::Clone>::clone
    109 (0.4%)     1 (0.1%)  getopts::Options::usage::{{closure}}
    108 (0.4%)     2 (0.2%)  <core::iter::adapters::filter_map::FilterMap<I,F> as core::iter::traits::iterator::Iterator>::try_fold
    108 (0.4%)     2 (0.2%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    102 (0.3%)     1 (0.1%)  getopts::Options::opt
    102 (0.3%)     1 (0.1%)  getopts::Options::optflag
    102 (0.3%)     1 (0.1%)  getopts::Options::optflagmulti
    102 (0.3%)     1 (0.1%)  getopts::Options::optflagopt
    102 (0.3%)     1 (0.1%)  getopts::Options::optmulti
    102 (0.3%)     1 (0.1%)  getopts::Options::optopt
    102 (0.3%)     1 (0.1%)  getopts::Options::reqopt
    101 (0.3%)     1 (0.1%)  core::str::validations::next_code_point_reverse
    100 (0.3%)    10 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
    100 (0.3%)     8 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
    100 (0.3%)     4 (0.3%)  <[T] as core::fmt::Debug>::fmt
    100 (0.3%)     1 (0.1%)  getopts::each_split_within::{{closure}}
     99 (0.3%)     1 (0.1%)  core::str::<impl str>::trim_matches
     96 (0.3%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find_map
     96 (0.3%)     1 (0.1%)  core::str::validations::next_code_point
     92 (0.3%)     5 (0.4%)  core::ptr::read
     91 (0.3%)     7 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
     91 (0.3%)     2 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     89 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.3%)     2 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     87 (0.3%)     1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     86 (0.3%)     2 (0.2%)  core::ops::control_flow::ControlFlow<B,C>::break_value
     85 (0.3%)     1 (0.1%)  getopts::Matches::opts_str::{{closure}}
     84 (0.3%)     6 (0.5%)  core::slice::<impl [T]>::len
