  Lines         Copies       Function name
  -----         ------       -------------
  35313 (100%)  1388 (100%)  (TOTAL)
   3727 (10.6%)    1 (0.1%)  gif::reader::decoder::StreamingDecoder::next_state
    848 (2.4%)     1 (0.1%)  gif::common::Frame::from_rgba_speed
    526 (1.5%)    12 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    458 (1.3%)    10 (0.7%)  core::mem::replace
    443 (1.3%)     4 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    440 (1.2%)     1 (0.1%)  alloc::slice::merge_sort
    417 (1.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    406 (1.1%)     7 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    377 (1.1%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    355 (1.0%)     1 (0.1%)  <gif::reader::decoder::State as core::fmt::Debug>::fmt
    353 (1.0%)     4 (0.3%)  core::iter::traits::iterator::Iterator::fold
    345 (1.0%)    15 (1.1%)  core::ptr::read
    333 (0.9%)     5 (0.4%)  alloc::alloc::box_free
    321 (0.9%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::update
    302 (0.9%)     5 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    289 (0.8%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    280 (0.8%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    260 (0.7%)     2 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
    254 (0.7%)     1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    235 (0.7%)     1 (0.1%)  <gif::reader::decoder::Decoded as core::fmt::Debug>::fmt
    234 (0.7%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
    231 (0.7%)     1 (0.1%)  alloc::slice::insert_head
    230 (0.7%)     1 (0.1%)  alloc::slice::merge_sort::collapse
    227 (0.6%)     1 (0.1%)  alloc::slice::merge
    221 (0.6%)    11 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    217 (0.6%)     7 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    203 (0.6%)     7 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    197 (0.6%)     3 (0.2%)  core::option::Option<T>::map
    197 (0.6%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    196 (0.6%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::with_options
    193 (0.5%)     4 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    192 (0.5%)     4 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    191 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    189 (0.5%)     3 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    187 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    185 (0.5%)    16 (1.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    184 (0.5%)     3 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    184 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    182 (0.5%)     1 (0.1%)  gif::common::Frame::from_palette_pixels
    181 (0.5%)     4 (0.3%)  core::result::Result<T,E>::map_err
    172 (0.5%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    171 (0.5%)     1 (0.1%)  gif::common::Frame::from_rgb_speed
    164 (0.5%)     7 (0.5%)  core::ops::function::FnOnce::call_once
    164 (0.5%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    163 (0.5%)     3 (0.2%)  core::ptr::swap_nonoverlapping_one
    159 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    158 (0.4%)     1 (0.1%)  gif::common::Frame::from_indexed_pixels
    157 (0.4%)     3 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    157 (0.4%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    154 (0.4%)     1 (0.1%)  alloc::raw_vec::finish_grow
    153 (0.4%)     5 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    153 (0.4%)     3 (0.2%)  core::alloc::layout::Layout::array
    150 (0.4%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    144 (0.4%)     6 (0.4%)  gif::common::Frame::from_rgba_speed::{{closure}}
    144 (0.4%)     2 (0.1%)  alloc::boxed::Box<T,A>::into_unique
    142 (0.4%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    138 (0.4%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
    136 (0.4%)     2 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    135 (0.4%)     4 (0.3%)  core::option::Option<T>::ok_or
    134 (0.4%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    131 (0.4%)     1 (0.1%)  <core::slice::iter::Chunks<T> as core::iter::traits::iterator::Iterator>::nth
    131 (0.4%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_exact
    131 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    129 (0.4%)     1 (0.1%)  <gif::common::Frame as core::fmt::Debug>::fmt
    126 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    120 (0.3%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::find
    120 (0.3%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
    119 (0.3%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::size_hint
    115 (0.3%)    28 (2.0%)  <&T as core::fmt::Debug>::fmt
    113 (0.3%)    15 (1.1%)  core::ptr::write
    112 (0.3%)     1 (0.1%)  core::slice::<impl [T]>::reverse::revswap
    111 (0.3%)     1 (0.1%)  <gif::reader::decoder::ByteValue as core::fmt::Debug>::fmt
    111 (0.3%)     1 (0.1%)  hashbrown::raw::RawTable<T,A>::into_allocation
    108 (0.3%)     1 (0.1%)  core::hash::sip::u8to64_le
    108 (0.3%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    106 (0.3%)     1 (0.1%)  <gif::reader::InterlaceIterator as core::iter::traits::iterator::Iterator>::next
    106 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
    104 (0.3%)     7 (0.5%)  core::mem::manually_drop::ManuallyDrop<T>::new
    104 (0.3%)     2 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    103 (0.3%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
    102 (0.3%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    102 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::push
    102 (0.3%)     2 (0.1%)  hashbrown::raw::Bucket<T>::write
     99 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
     97 (0.3%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     95 (0.3%)     1 (0.1%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
     93 (0.3%)     3 (0.2%)  core::ptr::metadata::from_raw_parts
     92 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     89 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.2%)     2 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     87 (0.2%)     1 (0.1%)  <core::option::Option<T> as core::cmp::PartialOrd>::partial_cmp
     85 (0.2%)     6 (0.4%)  core::option::Option<T>::unwrap
     83 (0.2%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     83 (0.2%)     1 (0.1%)  hashbrown::raw::RawTable<T,A>::into_iter_from
     81 (0.2%)     2 (0.1%)  core::slice::iter::Iter<T>::new
     80 (0.2%)     2 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     79 (0.2%)    12 (0.9%)  core::ptr::unique::Unique<T>::cast
     78 (0.2%)    18 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     78 (0.2%)     1 (0.1%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::RangeInclusive<A>>::size_hint
     77 (0.2%)    16 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     77 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::zip
     76 (0.2%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     76 (0.2%)     1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.2%)     1 (0.1%)  core::cmp::max_by
     76 (0.2%)     1 (0.1%)  core::cmp::min_by
     75 (0.2%)     1 (0.1%)  core::fmt::builders::DebugList::entries
     74 (0.2%)     1 (0.1%)  core::ptr::drop_in_place<color_quant::NeuQuant>
     74 (0.2%)     1 (0.1%)  std::thread::local::LocalKey<T>::try_with
     72 (0.2%)     4 (0.3%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
     72 (0.2%)     4 (0.3%)  core::option::Option<T>::as_mut
     71 (0.2%)     1 (0.1%)  <hashbrown::raw::RawIntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     71 (0.2%)     1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
     70 (0.2%)    16 (1.2%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     70 (0.2%)     7 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     70 (0.2%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     70 (0.2%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     70 (0.2%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::new_in
     70 (0.2%)     1 (0.1%)  <gif::encoder::EncodingError as core::fmt::Debug>::fmt
     69 (0.2%)     1 (0.1%)  <gif::reader::DecodeOptions as core::fmt::Debug>::fmt
     68 (0.2%)     1 (0.1%)  <gif::reader::decoder::DecodingError as core::fmt::Debug>::fmt
     67 (0.2%)     1 (0.1%)  core::option::Option<T>::map_or
     67 (0.2%)     1 (0.1%)  gif::reader::MemoryLimit::buffer_size
     66 (0.2%)     2 (0.1%)  core::cell::Cell<T>::replace
     66 (0.2%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::get_mut
     66 (0.2%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve
     65 (0.2%)     1 (0.1%)  <hashbrown::set::IntoIter<K,A> as core::iter::traits::iterator::Iterator>::next
     65 (0.2%)     1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     64 (0.2%)     2 (0.1%)  core::ptr::const_ptr::<impl *const T>::offset_from
     64 (0.2%)     2 (0.1%)  hashbrown::raw::Bucket<T>::next_n
     63 (0.2%)     7 (0.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     63 (0.2%)     7 (0.5%)  core::ptr::slice_from_raw_parts_mut
     63 (0.2%)     1 (0.1%)  <gif::common::Frame as core::default::Default>::default
     63 (0.2%)     1 (0.1%)  hashbrown::raw::capacity_to_buckets
     60 (0.2%)     5 (0.4%)  core::any::TypeId::of
     60 (0.2%)     4 (0.3%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     60 (0.2%)     2 (0.1%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
     60 (0.2%)     1 (0.1%)  gif::encoder::ExtensionData::new_control_ext
     58 (0.2%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::iter
     58 (0.2%)     1 (0.1%)  hashbrown::raw::RawIter<T>::drop_elements
     58 (0.2%)     1 (0.1%)  std::thread::local::fast::Key<T>::get
     58 (0.2%)     1 (0.1%)  std::thread::local::fast::Key<T>::try_initialize
     57 (0.2%)     1 (0.1%)  color_quant::NeuQuant::index_of
     56 (0.2%)     4 (0.3%)  core::iter::adapters::map::Map<I,F>::new
     56 (0.2%)     2 (0.1%)  alloc::boxed::Box<T>::new
     56 (0.2%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::read_control_extension
     55 (0.2%)     5 (0.4%)  core::iter::traits::iterator::Iterator::collect
     55 (0.2%)     1 (0.1%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::next
     55 (0.2%)     1 (0.1%)  <core::slice::iter::ChunksExactMut<T> as core::iter::traits::iterator::Iterator>::next
     55 (0.2%)     1 (0.1%)  <std::collections::hash::map::HashMap<K,V,S> as core::iter::traits::collect::FromIterator<(K,V)>>::from_iter
     55 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::free_buckets
     54 (0.2%)     2 (0.1%)  hashbrown::raw::Bucket<T>::from_base_index
     54 (0.2%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
     54 (0.2%)     1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     54 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     53 (0.2%)     3 (0.2%)  core::option::Option<T>::as_ref
     53 (0.2%)     1 (0.1%)  <hashbrown::raw::RawTable<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     53 (0.2%)     1 (0.1%)  gif::encoder::flag_size
     53 (0.2%)     1 (0.1%)  gif::reader::decoder::StreamingDecoder::add_frame
     52 (0.1%)     2 (0.1%)  hashbrown::raw::TableLayout::new
     52 (0.1%)     1 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     52 (0.1%)     1 (0.1%)  alloc::vec::Vec<T,A>::remove
     51 (0.1%)     1 (0.1%)  <gif::reader::decoder::U16Value as core::fmt::Debug>::fmt
     51 (0.1%)     1 (0.1%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     50 (0.1%)     5 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::offset
     50 (0.1%)     1 (0.1%)  <core::iter::adapters::cloned::Cloned<I> as core::iter::traits::iterator::Iterator>::fold
     50 (0.1%)     1 (0.1%)  alloc::slice::hack::into_vec
     50 (0.1%)     1 (0.1%)  core::fmt::Arguments::new_v1
     49 (0.1%)     1 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     49 (0.1%)     1 (0.1%)  <gif::encoder::Repeat as core::fmt::Debug>::fmt
     49 (0.1%)     1 (0.1%)  core::result::Result<T,E>::map
     49 (0.1%)     1 (0.1%)  core::tuple::<impl core::cmp::PartialOrd for (A,B,C,D)>::lt
     48 (0.1%)     5 (0.4%)  core::ptr::unique::Unique<T>::as_ref
     48 (0.1%)     4 (0.3%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     48 (0.1%)     2 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash::{{closure}}
     48 (0.1%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::finish
     48 (0.1%)     1 (0.1%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next
     48 (0.1%)     1 (0.1%)  core::tuple::<impl core::cmp::PartialEq for (A,B,C,D)>::eq
     46 (0.1%)     6 (0.4%)  <T as core::convert::Into<U>>::into
     46 (0.1%)     2 (0.1%)  core::ptr::mut_ptr::<impl *mut T>::write
     46 (0.1%)     1 (0.1%)  core::iter::adapters::step_by::StepBy<I>::new
     45 (0.1%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next_back
     45 (0.1%)     1 (0.1%)  <hashbrown::raw::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
     45 (0.1%)     1 (0.1%)  core::hash::BuildHasher::hash_one
     45 (0.1%)     1 (0.1%)  core::slice::<impl [T]>::reverse
     44 (0.1%)     4 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
     44 (0.1%)     2 (0.1%)  alloc::boxed::Box<T,A>::leak
     44 (0.1%)     2 (0.1%)  hashbrown::raw::RawIterRange<T>::new
     43 (0.1%)     3 (0.2%)  core::option::Option<T>::is_some
     43 (0.1%)     1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     43 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
     43 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
     43 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn weezl::decode::Stateful+core::marker::Send>>
