  Lines          Copies       Function name
  -----          ------       -------------
  166477 (100%)  5610 (100%)  (TOTAL)
    5767 (3.5%)    76 (1.4%)  std::thread::local::LocalKey<T>::try_with
    4810 (2.9%)    74 (1.3%)  git2::panic::wrap::{{closure}}
    4679 (2.8%)   100 (1.8%)  core::option::Option<T>::map
    3718 (2.2%)    37 (0.7%)  git2::panic::wrap
    2378 (1.4%)    37 (0.7%)  std::panicking::try
    1983 (1.2%)    68 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1888 (1.1%)    40 (0.7%)  core::option::Option<T>::and_then
    1819 (1.1%)    27 (0.5%)  alloc::alloc::box_free
    1301 (0.8%)    61 (1.1%)  core::ptr::read
    1283 (0.8%)     1 (0.0%)  git2::cred::CredentialHelper::execute_cmd
    1112 (0.7%)     8 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     956 (0.6%)     4 (0.1%)  <git2::object::Object as git2::object::CastOrPanic>::cast_or_panic
     951 (0.6%)    21 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     913 (0.5%)    83 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     876 (0.5%)     1 (0.0%)  <git2::SubmoduleStatus as core::fmt::Debug>::fmt
     847 (0.5%)    37 (0.7%)  std::panicking::try::do_call
     846 (0.5%)     9 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     823 (0.5%)     1 (0.0%)  <git2::Status as core::fmt::Debug>::fmt
     801 (0.5%)    28 (0.5%)  core::option::Option<T>::unwrap_or
     756 (0.5%)    27 (0.5%)  git2::opt_bytes
     747 (0.4%)     9 (0.2%)  core::iter::traits::iterator::Iterator::fold
     700 (0.4%)     5 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     657 (0.4%)     9 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     626 (0.4%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     611 (0.4%)    54 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
     580 (0.3%)    10 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     570 (0.3%)   190 (3.4%)  git2::call::convert
     568 (0.3%)    12 (0.2%)  core::mem::replace
     555 (0.3%)    37 (0.7%)  std::panicking::try::do_catch
     537 (0.3%)     8 (0.1%)  core::result::Result<T,E>::map
     524 (0.3%)    16 (0.3%)  <alloc::boxed::Box<F,A> as core::ops::function::FnMut<Args>>::call_mut
     505 (0.3%)     1 (0.0%)  <git2::CredentialType as core::fmt::Debug>::fmt
     505 (0.3%)     1 (0.0%)  <git2::PathspecFlags as core::fmt::Debug>::fmt
     504 (0.3%)     8 (0.1%)  core::result::Result<T,E>::map_err
     502 (0.3%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
     486 (0.3%)     9 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     485 (0.3%)     9 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     484 (0.3%)     4 (0.1%)  git2::object::Object::cast_into
     480 (0.3%)     1 (0.0%)  git2::build::RepoBuilder::clone
     465 (0.3%)    15 (0.3%)  core::fmt::ArgumentV1::new
     439 (0.3%)    27 (0.5%)  core::option::Option<T>::as_ref
     433 (0.3%)     1 (0.0%)  git2::cred::CredentialHelper::parse_output
     431 (0.3%)     1 (0.0%)  git2::repo::Repository::reference_symbolic_matching
     427 (0.3%)     1 (0.0%)  git2::cred::CredentialHelper::execute
     419 (0.3%)     1 (0.0%)  git2::cred::Cred::ssh_key
     419 (0.3%)     1 (0.0%)  git2::cred::Cred::ssh_key_from_memory
     408 (0.2%)     8 (0.1%)  core::alloc::layout::Layout::array
     405 (0.2%)     9 (0.2%)  core::iter::traits::iterator::Iterator::for_each
     399 (0.2%)     1 (0.0%)  <git2::CheckoutNotificationType as core::fmt::Debug>::fmt
     399 (0.2%)     1 (0.0%)  <git2::DiffStatsFormat as core::fmt::Debug>::fmt
     399 (0.2%)     1 (0.0%)  <git2::MergeAnalysis as core::fmt::Debug>::fmt
