  Lines          Copies       Function name
  -----          ------       -------------
  103504 (100%)  4528 (100%)  (TOTAL)
    2085 (2.0%)    15 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1914 (1.8%)    33 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1350 (1.3%)     1 (0.0%)  globset::GlobSet::new
    1271 (1.2%)    41 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    1260 (1.2%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1197 (1.2%)    21 (0.5%)  alloc::alloc::box_free
    1194 (1.2%)    24 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1099 (1.1%)    24 (0.5%)  core::option::Option<T>::map
     996 (1.0%)     1 (0.0%)  globset::glob::Parser::parse_star
     928 (0.9%)    32 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     910 (0.9%)    12 (0.3%)  core::fmt::builders::DebugList::entries
     861 (0.8%)    40 (0.9%)  core::ptr::read
     816 (0.8%)    16 (0.4%)  core::alloc::layout::Layout::array
     735 (0.7%)     2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
     726 (0.7%)    13 (0.3%)  alloc::vec::Vec<T,A>::push
     712 (0.7%)     1 (0.0%)  alloc::str::join_generic_copy
     672 (0.6%)     1 (0.0%)  <aho_corasick::nfa::NFA<S> as core::fmt::Debug>::fmt
     642 (0.6%)    14 (0.3%)  core::mem::replace
     639 (0.6%)    15 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     626 (0.6%)    15 (0.3%)  core::slice::iter::Iter<T>::new
     625 (0.6%)     5 (0.1%)  aho_corasick::automaton::Automaton::standard_find_at_imp
     624 (0.6%)    15 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     620 (0.6%)    20 (0.4%)  core::ptr::metadata::from_raw_parts
     600 (0.6%)     4 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     582 (0.6%)    26 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     572 (0.6%)     8 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     552 (0.5%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
     537 (0.5%)     1 (0.0%)  aho_corasick::dfa::Builder::build
     535 (0.5%)     5 (0.1%)  aho_corasick::automaton::Automaton::overlapping_find_at
     518 (0.5%)     7 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     504 (0.5%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
     459 (0.4%)     5 (0.1%)  alloc::collections::btree::mem::replace
     456 (0.4%)     1 (0.0%)  globset::RequiredExtensionStrategyBuilder::build
     452 (0.4%)    12 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
     452 (0.4%)    12 (0.3%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
     435 (0.4%)     2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
     433 (0.4%)     5 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     432 (0.4%)     7 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     431 (0.4%)     1 (0.0%)  alloc::slice::merge_sort
     424 (0.4%)     1 (0.0%)  globset::glob::MatchStrategy::new
     420 (0.4%)    12 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     414 (0.4%)     4 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     413 (0.4%)     1 (0.0%)  globset::glob::Parser::parse
     411 (0.4%)     2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
     400 (0.4%)    41 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     400 (0.4%)     4 (0.1%)  core::fmt::builders::DebugMap::entries
     396 (0.4%)     1 (0.0%)  globset::glob::GlobBuilder::build
     394 (0.4%)     1 (0.0%)  globset::glob::Tokens::tokens_to_regex
     390 (0.4%)     9 (0.2%)  core::option::Option<T>::ok_or
     389 (0.4%)     1 (0.0%)  aho_corasick::nfa::Compiler<S>::fill_failure_transitions_leftmost
     389 (0.4%)     1 (0.0%)  globset::glob::Parser::parse_class
     369 (0.4%)    41 (0.9%)  core::ptr::slice_from_raw_parts_mut
     356 (0.3%)     1 (0.0%)  aho_corasick::nfa::Compiler<S>::build_trie
     345 (0.3%)     5 (0.1%)  hashbrown::raw::RawTable<T,A>::drop_elements
     344 (0.3%)     2 (0.0%)  aho_corasick::nfa::sparse_iter
     341 (0.3%)    11 (0.2%)  core::fmt::ArgumentV1::new
     340 (0.3%)     5 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     338 (0.3%)    54 (1.2%)  core::ptr::unique::Unique<T>::cast
     330 (0.3%)     3 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     328 (0.3%)     2 (0.0%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
     326 (0.3%)    31 (0.7%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     325 (0.3%)     6 (0.1%)  core::result::Result<T,E>::map_err
     317 (0.3%)    36 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
     316 (0.3%)    14 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     315 (0.3%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
     315 (0.3%)     5 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
     312 (0.3%)     1 (0.0%)  aho_corasick::nfa::Compiler<S>::compile
     310 (0.3%)    13 (0.3%)  core::ops::function::FnOnce::call_once
     306 (0.3%)     5 (0.1%)  hashbrown::raw::RawTable<T,A>::find
     303 (0.3%)     1 (0.0%)  aho_corasick::dfa::Repr<S>::shuffle_match_states
     301 (0.3%)     2 (0.0%)  alloc::collections::btree::map::entry::VacantEntry<K,V>::insert
     300 (0.3%)    30 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
     300 (0.3%)    12 (0.3%)  <[T] as core::fmt::Debug>::fmt
     300 (0.3%)     6 (0.1%)  alloc::collections::btree::node::slice_insert
     291 (0.3%)     1 (0.0%)  globset::glob::Glob::ext
     289 (0.3%)     1 (0.0%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
     288 (0.3%)    32 (0.7%)  alloc::vec::Vec<T,A>::as_mut_ptr
     283 (0.3%)     1 (0.0%)  globset::glob::Glob::suffix
     282 (0.3%)     6 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
     280 (0.3%)     5 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
     280 (0.3%)     4 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::correct_childrens_parent_links
     272 (0.3%)     4 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     268 (0.3%)     4 (0.1%)  alloc::boxed::Box<T,A>::try_new_uninit_in
     267 (0.3%)     2 (0.0%)  alloc::collections::btree::map::BTreeMap<K,V>::entry
     262 (0.3%)     2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::KV>::split
     262 (0.3%)     2 (0.0%)  alloc::raw_vec::RawVec<T,A>::grow_exact
     261 (0.3%)     3 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     261 (0.3%)     2 (0.0%)  alloc::vec::Vec<T,A>::extend_with
     260 (0.3%)     7 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     258 (0.2%)     3 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     255 (0.2%)     5 (0.1%)  aho_corasick::automaton::Automaton::standard_find_at
     252 (0.2%)    18 (0.4%)  core::slice::<impl [T]>::len
     252 (0.2%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::search_node
     246 (0.2%)     3 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
     242 (0.2%)    59 (1.3%)  <&T as core::fmt::Debug>::fmt
