  Lines         Copies       Function name
  -----         ------       -------------
  29932 (100%)  1623 (100%)  (TOTAL)
   1914 (6.4%)    33 (2.0%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1054 (3.5%)    34 (2.1%)  core::ptr::metadata::from_raw_parts_mut
    957 (3.2%)    33 (2.0%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    862 (2.9%)    14 (0.9%)  alloc::alloc::box_free
    500 (1.7%)    12 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    466 (1.6%)     1 (0.1%)  globwalk::GlobWalkerBuilder::build
    417 (1.4%)     1 (0.1%)  <globwalk::GlobWalker as core::iter::traits::iterator::Iterator>::next
    350 (1.2%)    33 (2.0%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    347 (1.2%)     6 (0.4%)  core::result::Result<T,E>::map_err
    306 (1.0%)    34 (2.1%)  core::ptr::slice_from_raw_parts_mut
    297 (1.0%)    33 (2.0%)  alloc::vec::Vec<T,A>::as_mut_ptr
    293 (1.0%)     1 (0.1%)  <globwalk::FileType as core::fmt::Debug>::fmt
    292 (1.0%)    46 (2.8%)  core::ptr::unique::Unique<T>::cast
    276 (0.9%)     4 (0.2%)  hashbrown::raw::RawTable<T,A>::drop_elements
    272 (0.9%)     4 (0.2%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    262 (0.9%)    13 (0.8%)  core::ptr::read
    242 (0.8%)     2 (0.1%)  ignore::pathutil::strip_prefix
    228 (0.8%)     4 (0.2%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    213 (0.7%)     1 (0.1%)  core::iter::traits::iterator::Iterator::eq_by
    202 (0.7%)    34 (2.1%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    185 (0.6%)     1 (0.1%)  globset::Candidate::new
    180 (0.6%)     4 (0.2%)  core::mem::replace
    178 (0.6%)     4 (0.2%)  alloc::sync::Weak<T>::inner
    177 (0.6%)     1 (0.1%)  ignore::gitignore::Gitignore::matched_stripped
    166 (0.6%)     9 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    165 (0.6%)    33 (2.0%)  alloc::raw_vec::RawVec<T,A>::ptr
    164 (0.5%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    157 (0.5%)     1 (0.1%)  <std::path::Prefix as core::cmp::PartialEq>::eq
    157 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.5%)     4 (0.2%)  core::option::Option<T>::ok_or
