  Lines        Copies      Function name
  -----        ------      -------------
  2472 (100%)  155 (100%)  (TOTAL)
   146 (5.9%)    2 (1.3%)  alloc::alloc::box_free
   144 (5.8%)    3 (1.9%)  core::mem::replace
    99 (4.0%)    2 (1.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    89 (3.6%)    1 (0.6%)  alloc::alloc::Global::alloc_impl
    82 (3.3%)    4 (2.6%)  core::ptr::read
    76 (3.1%)    1 (0.6%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
    72 (2.9%)    1 (0.6%)  alloc::boxed::Box<T,A>::into_unique
    62 (2.5%)    2 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    53 (2.1%)    1 (0.6%)  gloo_timers::callback::set_interval
    53 (2.1%)    1 (0.6%)  gloo_timers::callback::set_timeout
    50 (2.0%)    1 (0.6%)  core::fmt::Arguments::new_v1
    46 (1.9%)    3 (1.9%)  core::option::Option<T>::take
    44 (1.8%)    1 (0.6%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    44 (1.8%)    1 (0.6%)  gloo_timers::callback::Interval::forget
    44 (1.8%)    1 (0.6%)  gloo_timers::callback::Timeout::forget
    43 (1.7%)    1 (0.6%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
    43 (1.7%)    1 (0.6%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = ()>>
    43 (1.7%)    1 (0.6%)  std::panicking::begin_panic::{{closure}}
    43 (1.7%)    1 (0.6%)  wasm_bindgen::closure::Closure<T>::into_js_value
    41 (1.7%)    1 (0.6%)  std::panicking::begin_panic
    39 (1.6%)    1 (0.6%)  <gloo_timers::callback::Interval as core::fmt::Debug>::fmt
    39 (1.6%)    1 (0.6%)  <gloo_timers::callback::Timeout as core::fmt::Debug>::fmt
    34 (1.4%)    1 (0.6%)  std::sys_common::backtrace::__rust_end_short_backtrace
    33 (1.3%)    4 (2.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    33 (1.3%)    2 (1.3%)  <core::option::Option<T> as wasm_bindgen::UnwrapThrowExt<T>>::expect_throw
    33 (1.3%)    1 (0.6%)  gloo_timers::callback::Interval::cancel
    33 (1.3%)    1 (0.6%)  gloo_timers::callback::Timeout::cancel
    32 (1.3%)    2 (1.3%)  core::option::Option<T>::expect
    31 (1.3%)    1 (0.6%)  core::ptr::metadata::from_raw_parts_mut
    28 (1.1%)    2 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    28 (1.1%)    1 (0.6%)  alloc::alloc::exchange_malloc
    28 (1.1%)    1 (0.6%)  alloc::boxed::Box<T>::new
    28 (1.1%)    1 (0.6%)  core::option::Option<T>::ok_or
    28 (1.1%)    1 (0.6%)  core::ptr::drop_in_place<gloo_timers::callback::Interval>
    28 (1.1%)    1 (0.6%)  core::ptr::drop_in_place<gloo_timers::callback::Timeout>
    26 (1.1%)    2 (1.3%)  core::mem::manually_drop::ManuallyDrop<T>::new
    26 (1.1%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
    26 (1.1%)    1 (0.6%)  std::panicking::begin_panic::PanicPayload<A>::new
    23 (0.9%)    4 (2.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    22 (0.9%)    3 (1.9%)  core::ptr::write
    22 (0.9%)    2 (1.3%)  core::ptr::unique::Unique<T>::as_ref
    22 (0.9%)    1 (0.6%)  alloc::boxed::Box<T,A>::leak
    20 (0.8%)    1 (0.6%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    17 (0.7%)    2 (1.3%)  core::ptr::non_null::NonNull<T>::new_unchecked
    16 (0.6%)    4 (2.6%)  <&T as core::fmt::Debug>::fmt
    16 (0.6%)    2 (1.3%)  core::ptr::unique::Unique<T>::cast
    16 (0.6%)    1 (0.6%)  core::mem::forget
    14 (0.6%)    2 (1.3%)  wasm_bindgen::UnwrapThrowExt::unwrap_throw
    14 (0.6%)    1 (0.6%)  <gloo_timers::callback::Interval as core::ops::drop::Drop>::drop
    14 (0.6%)    1 (0.6%)  <gloo_timers::callback::Timeout as core::ops::drop::Drop>::drop
    14 (0.6%)    1 (0.6%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::get
    14 (0.6%)    1 (0.6%)  <wasm_bindgen::closure::Closure<T> as core::ops::drop::Drop>::drop
    14 (0.6%)    1 (0.6%)  core::alloc::layout::Layout::from_size_align_unchecked
    14 (0.6%)    1 (0.6%)  core::ptr::non_null::NonNull<T>::new
    13 (0.5%)    1 (0.6%)  <core::ptr::unique::Unique<T> as core::convert::From<&mut T>>::from
    13 (0.5%)    1 (0.6%)  core::ptr::non_null::NonNull<[T]>::slice_from_raw_parts
    13 (0.5%)    1 (0.6%)  wasm_bindgen::closure::Closure<T>::forget
    12 (0.5%)    4 (2.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    12 (0.5%)    1 (0.6%)  alloc::alloc::alloc
    12 (0.5%)    1 (0.6%)  alloc::alloc::alloc_zeroed
    12 (0.5%)    1 (0.6%)  alloc::alloc::dealloc
    12 (0.5%)    1 (0.6%)  core::any::TypeId::of
    11 (0.4%)    3 (1.9%)  core::ptr::unique::Unique<T>::as_ptr
    11 (0.4%)    1 (0.6%)  core::ptr::drop_in_place<core::option::Option<wasm_bindgen::closure::Closure<dyn core::ops::function::FnMut<()>+Output = ()>>>
    10 (0.4%)    1 (0.6%)  <wasm_bindgen::closure::Closure<T> as core::fmt::Debug>::fmt
    10 (0.4%)    1 (0.6%)  alloc::boxed::Box<T,A>::into_raw
    10 (0.4%)    1 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     9 (0.4%)    3 (1.9%)  core::mem::drop
     9 (0.4%)    1 (0.6%)  core::ptr::non_null::NonNull<[T]>::as_non_null_ptr
     9 (0.4%)    1 (0.6%)  core::ptr::slice_from_raw_parts_mut
     8 (0.3%)    1 (0.6%)  <wasm_bindgen::JsValue as core::ops::drop::Drop>::drop
     7 (0.3%)    1 (0.6%)  <alloc::alloc::Global as core::alloc::Allocator>::allocate
     6 (0.2%)    4 (2.6%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
     6 (0.2%)    1 (0.6%)  core::alloc::layout::Layout::dangling
     6 (0.2%)    1 (0.6%)  core::ptr::drop_in_place<dyn core::any::Any+core::marker::Send>
     6 (0.2%)    1 (0.6%)  core::ptr::drop_in_place<dyn core::ops::function::FnMut<()>+Output = ()>
     6 (0.2%)    1 (0.6%)  gloo_timers::callback::set_interval::__wbg_setInterval_b36d8e31a44c8016
     6 (0.2%)    1 (0.6%)  gloo_timers::callback::set_timeout::__wbg_setTimeout_290c28f3580809b6
     5 (0.2%)    2 (1.3%)  core::ptr::non_null::NonNull<T>::as_ptr
     5 (0.2%)    1 (0.6%)  <core::ptr::non_null::NonNull<T> as core::convert::From<core::ptr::unique::Unique<T>>>::from
     5 (0.2%)    1 (0.6%)  core::alloc::layout::Layout::align
     5 (0.2%)    1 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     5 (0.2%)    1 (0.6%)  core::ptr::non_null::NonNull<[T]>::as_mut_ptr
     5 (0.2%)    1 (0.6%)  gloo_timers::callback::clear_interval
     5 (0.2%)    1 (0.6%)  gloo_timers::callback::clear_timeout
     4 (0.2%)    1 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::drop
     4 (0.2%)    1 (0.6%)  core::num::nonzero::NonZeroUsize::new_unchecked
     4 (0.2%)    1 (0.6%)  core::ptr::unique::Unique<T>::new_unchecked
     4 (0.2%)    1 (0.6%)  gloo_timers::callback::clear_interval::__wbg_clearInterval_a942d641bb89f426
     4 (0.2%)    1 (0.6%)  gloo_timers::callback::clear_timeout::__wbg_clearTimeout_d8b36ad8fa330187
     4 (0.2%)    1 (0.6%)  wasm_bindgen::JsValue::_new
     3 (0.1%)    2 (1.3%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::Deref>::deref
     3 (0.1%)    1 (0.6%)  <T as core::any::Any>::type_id
     3 (0.1%)    1 (0.6%)  core::alloc::layout::Layout::size
     3 (0.1%)    1 (0.6%)  core::hint::black_box
     3 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<wasm_bindgen::JsValue>
     3 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<wasm_bindgen::closure::Closure<dyn core::ops::function::FnMut<()>+Output = ()>>
     3 (0.1%)    1 (0.6%)  js_sys::__wbg_generated_const_Function::<impl wasm_bindgen::convert::traits::IntoWasmAbi for &js_sys::Function>::into_abi
     3 (0.1%)    1 (0.6%)  js_sys::__wbg_generated_const_Object::<impl wasm_bindgen::convert::traits::IntoWasmAbi for &js_sys::Object>::into_abi
     2 (0.1%)    2 (1.3%)  <T as core::convert::From<T>>::from
     2 (0.1%)    1 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::cast
     2 (0.1%)    1 (0.6%)  core::ptr::mut_ptr::<impl *mut [T]>::as_mut_ptr
     2 (0.1%)    1 (0.6%)  wasm_bindgen::convert::impls::<impl wasm_bindgen::convert::traits::IntoWasmAbi for &wasm_bindgen::JsValue>::into_abi
     1 (0.0%)    1 (0.6%)  core::num::nonzero::NonZeroUsize::get
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<&core::option::Option<i32>>
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<&core::option::Option<wasm_bindgen::closure::Closure<dyn core::ops::function::FnMut<()>+Output = ()>>>
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<&i32>
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<&str>
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<&wasm_bindgen::closure::Closure<dyn core::ops::function::FnMut<()>+Output = ()>>
     1 (0.0%)    1 (0.6%)  core::ptr::drop_in_place<std::panicking::begin_panic::PanicPayload<&str>>
     1 (0.0%)    1 (0.6%)  core::ptr::null_mut
