  Lines          Copies       Function name
  -----          ------       -------------
  272294 (100%)  6891 (100%)  (TOTAL)
   10320 (3.8%)   166 (2.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    8882 (3.3%)   127 (1.8%)  core::result::Result<T,E>::and_then
    7199 (2.6%)   227 (3.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    5977 (2.2%)    43 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    5343 (2.0%)     1 (0.0%)  <goblin::mach::load_command::CommandVariant as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
    5056 (1.9%)    89 (1.3%)  scroll::pread::Pread::pread_with
    4060 (1.5%)    29 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    3205 (1.2%)    40 (0.6%)  scroll::pwrite::Pwrite::pwrite_with
    2687 (1.0%)    38 (0.6%)  scroll::pread::Pread::gread_with
    2494 (0.9%)    43 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2421 (0.9%)     1 (0.0%)  goblin::elf::Elf::parse
    2193 (0.8%)    43 (0.6%)  core::alloc::layout::Layout::array
    2048 (0.8%)    27 (0.4%)  core::fmt::builders::DebugList::entries
    1968 (0.7%)    89 (1.3%)  scroll::pread::Pread::pread_with::{{closure}}
    1901 (0.7%)     1 (0.0%)  goblin::pe::PE::parse_with_opts
    1846 (0.7%)    15 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1753 (0.6%)     1 (0.0%)  goblin::mach::MachO::parse
    1563 (0.6%)     2 (0.0%)  goblin::pe::import::SyntheticImportDirectoryEntry::parse_with_opts
    1542 (0.6%)    27 (0.4%)  alloc::vec::Vec<T,A>::push
    1488 (0.5%)    48 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    1428 (0.5%)    10 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    1365 (0.5%)     1 (0.0%)  goblin::archive::Archive::parse
    1364 (0.5%)    32 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1338 (0.5%)    32 (0.5%)  core::slice::iter::Iter<T>::new
    1334 (0.5%)    32 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    1333 (0.5%)    43 (0.6%)  core::fmt::ArgumentV1::new
    1319 (0.5%)     1 (0.0%)  <goblin::mach::load_command::CommandVariant as core::fmt::Debug>::fmt
    1247 (0.5%)    43 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1235 (0.5%)     2 (0.0%)  goblin::pe::import::SyntheticImportLookupTableEntry::parse_with_opts
    1178 (0.4%)    38 (0.6%)  core::ptr::metadata::from_raw_parts
    1166 (0.4%)     2 (0.0%)  goblin::pe::import::ImportData::parse_with_opts
    1116 (0.4%)    38 (0.6%)  scroll::pread::Pread::gread_with::{{closure}}
    1072 (0.4%)     1 (0.0%)  <goblin::pe::optional_header::WindowsFields32 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
    1067 (0.4%)     1 (0.0%)  <goblin::pe::optional_header::WindowsFields64 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
    1023 (0.4%)     1 (0.0%)  <goblin::mach::load_command::DysymtabCommand as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
    1015 (0.4%)    29 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
     993 (0.4%)    11 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     965 (0.4%)     1 (0.0%)  <goblin::pe::export::Reexport as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     945 (0.3%)    19 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     943 (0.3%)     1 (0.0%)  <goblin::pe::exception::UnwindCode as scroll::ctx::TryFromCtx<goblin::pe::exception::UnwindOpContext>>::try_from_ctx
     907 (0.3%)    19 (0.3%)  core::option::Option<T>::map
     900 (0.3%)     1 (0.0%)  goblin::elf::header::machine_to_str
     897 (0.3%)     1 (0.0%)  goblin::elf::header::header32::Header::parse
     894 (0.3%)     1 (0.0%)  goblin::elf::header::header64::Header::parse
     852 (0.3%)     2 (0.0%)  goblin::pe::import::Import::parse
     842 (0.3%)     1 (0.0%)  <goblin::elf::header::header32::Header as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     842 (0.3%)     1 (0.0%)  <goblin::elf::header::header64::Header as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     828 (0.3%)     1 (0.0%)  <goblin::elf::header::header32::Header as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     825 (0.3%)     1 (0.0%)  <goblin::elf::header::header64::Header as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     823 (0.3%)    13 (0.2%)  core::result::Result<T,E>::map_err
     808 (0.3%)     1 (0.0%)  goblin::pe::section_table::SectionTable::parse
     760 (0.3%)    10 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     739 (0.3%)   181 (2.6%)  <&T as core::fmt::Debug>::fmt
     724 (0.3%)     1 (0.0%)  goblin::mach::load_command::CommandVariant::cmdsize
     721 (0.3%)     1 (0.0%)  goblin::mach::constants::cputype::get_arch_from_flag_no_alias
     719 (0.3%)     1 (0.0%)  goblin::mach::load_command::CommandVariant::cmd
     715 (0.3%)    10 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     715 (0.3%)     1 (0.0%)  <goblin::mach::load_command::Section64 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     712 (0.3%)     2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
     711 (0.3%)     1 (0.0%)  goblin::mach::imports::BindInterpreter::run
     709 (0.3%)     8 (0.1%)  core::iter::traits::iterator::Iterator::fold
     686 (0.3%)     1 (0.0%)  <goblin::pe::export::Export as scroll::ctx::TryFromCtx<goblin::pe::export::ExportCtx>>::try_from_ctx
     681 (0.3%)     1 (0.0%)  <&goblin::mach::load_command::Section64 as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     675 (0.2%)    27 (0.4%)  <[T] as core::fmt::Debug>::fmt
     668 (0.2%)    12 (0.2%)  alloc::alloc::box_free
     664 (0.2%)     1 (0.0%)  <goblin::mach::load_command::Section32 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     660 (0.2%)     5 (0.1%)  alloc::vec::Vec<T,A>::dedup_by
     656 (0.2%)    24 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     656 (0.2%)    17 (0.2%)  core::result::Result<T,E>::ok
     641 (0.2%)    14 (0.2%)  core::result::Result<T,E>::unwrap
     640 (0.2%)     1 (0.0%)  goblin::mach::exports::ExportTrie::walk_trie
     635 (0.2%)    28 (0.4%)  core::ptr::read
     635 (0.2%)     1 (0.0%)  <&goblin::mach::load_command::Section32 as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     631 (0.2%)     1 (0.0%)  <goblin::mach::load_command::DyldInfoCommand as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     626 (0.2%)     1 (0.0%)  <goblin::elf::dynamic::DynamicInfo as core::fmt::Debug>::fmt
     626 (0.2%)     1 (0.0%)  <goblin::elf::dynamic::dyn32::DynamicInfo as core::fmt::Debug>::fmt
     626 (0.2%)     1 (0.0%)  <goblin::elf::dynamic::dyn64::DynamicInfo as core::fmt::Debug>::fmt
     621 (0.2%)     1 (0.0%)  <goblin::mach::load_command::SegmentCommand32 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     618 (0.2%)     1 (0.0%)  goblin::pe::exception::UnwindInfo::parse
     617 (0.2%)     1 (0.0%)  <goblin::mach::load_command::SegmentCommand64 as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     616 (0.2%)    10 (0.1%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     616 (0.2%)     1 (0.0%)  goblin::archive::Index::parse_windows_linker_member
     608 (0.2%)     1 (0.0%)  goblin::archive::Index::parse_bsd_symdef
     594 (0.2%)     1 (0.0%)  <goblin::pe::optional_header::OptionalHeader as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     592 (0.2%)     1 (0.0%)  <goblin::pe::section_table::SectionTable as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     582 (0.2%)     1 (0.0%)  <goblin::pe::export::ExportDirectoryTable as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     579 (0.2%)     1 (0.0%)  <&goblin::mach::load_command::SegmentCommand32 as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     579 (0.2%)     1 (0.0%)  <&goblin::mach::load_command::SegmentCommand64 as scroll::ctx::TryIntoCtx<scroll::endian::Endian>>::try_into_ctx
     577 (0.2%)     1 (0.0%)  <goblin::elf::note::Note as scroll::ctx::TryFromCtx<(usize,goblin::container::Ctx)>>::try_from_ctx
     575 (0.2%)    49 (0.7%)  <T as core::convert::Into<U>>::into
     574 (0.2%)     1 (0.0%)  goblin::peek_bytes
     563 (0.2%)    13 (0.2%)  core::option::Option<T>::ok_or_else
     559 (0.2%)    43 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
     556 (0.2%)     4 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     552 (0.2%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
     547 (0.2%)     1 (0.0%)  <goblin::archive::MemberHeader as scroll::ctx::TryFromCtx<scroll::endian::Endian>>::try_from_ctx
     541 (0.2%)     1 (0.0%)  goblin::pe::export::ExportData::parse_with_opts
     540 (0.2%)     8 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
