  Lines       Copies     Function name
  -----       ------     -------------
  967 (100%)  59 (100%)  (TOTAL)
  140 (14.5%)  1 (1.7%)  <hash32::murmur3::Hasher as hash32::Hasher>::finish
   65 (6.7%)   1 (1.7%)  hash32::murmur3::Hasher::push
   61 (6.3%)   1 (1.7%)  core::result::Result<T,E>::map
   51 (5.3%)   1 (1.7%)  core::result::Result<T,E>::unwrap
   50 (5.2%)   1 (1.7%)  <byteorder::LittleEndian as byteorder::ByteOrder>::read_u32
   42 (4.3%)   1 (1.7%)  core::mem::replace
   41 (4.2%)   2 (3.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
   34 (3.5%)   1 (1.7%)  core::mem::uninitialized
   31 (3.2%)   1 (1.7%)  core::ptr::metadata::from_raw_parts
   30 (3.1%)   1 (1.7%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
   30 (3.1%)   1 (1.7%)  <hash32::murmur3::Hasher as core::default::Default>::default
   30 (3.1%)   1 (1.7%)  core::num::<impl u32>::from_ne_bytes
   25 (2.6%)   1 (1.7%)  core::num::<impl u32>::from_le_bytes
   20 (2.1%)   1 (1.7%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index
   19 (2.0%)   2 (3.4%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
   19 (2.0%)   1 (1.7%)  hash32::murmur3::State::process_block
   17 (1.8%)   1 (1.7%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
   17 (1.8%)   1 (1.7%)  core::ptr::read
   16 (1.7%)   1 (1.7%)  <hash32::murmur3::Index as core::convert::From<usize>>::from
   16 (1.7%)   1 (1.7%)  hash32::murmur3::Index::usize
   16 (1.7%)   1 (1.7%)  hash32::murmur3::pre_mix
   15 (1.6%)   1 (1.7%)  <T as core::convert::TryInto<U>>::try_into
   15 (1.6%)   1 (1.7%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index
   14 (1.4%)   1 (1.7%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
   13 (1.3%)   1 (1.7%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
   10 (1.0%)   1 (1.7%)  core::num::<impl u32>::rotate_left
   10 (1.0%)   1 (1.7%)  core::num::<impl usize>::unchecked_add
   10 (1.0%)   1 (1.7%)  core::ptr::const_ptr::<impl *const T>::offset
   10 (1.0%)   1 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
    9 (0.9%)   2 (3.4%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    9 (0.9%)   1 (1.7%)  core::ptr::slice_from_raw_parts
    7 (0.7%)   1 (1.7%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from::{{closure}}
    7 (0.7%)   1 (1.7%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
    7 (0.7%)   1 (1.7%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
    6 (0.6%)   1 (1.7%)  core::ptr::write
    5 (0.5%)   1 (1.7%)  <usize as core::slice::index::SliceIndex<[T]>>::get_unchecked
    5 (0.5%)   1 (1.7%)  <usize as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    4 (0.4%)   1 (1.7%)  <hash32::fnv::Hasher as core::default::Default>::default
    4 (0.4%)   1 (1.7%)  core::cmp::impls::<impl core::cmp::PartialOrd for usize>::lt
    3 (0.3%)   1 (1.7%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    3 (0.3%)   1 (1.7%)  <usize as core::iter::range::Step>::forward_unchecked
    3 (0.3%)   1 (1.7%)  core::ptr::const_ptr::<impl *const T>::add
    3 (0.3%)   1 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::add
    3 (0.3%)   1 (1.7%)  core::slice::<impl [T]>::get_unchecked
    3 (0.3%)   1 (1.7%)  core::slice::<impl [T]>::get_unchecked_mut
    2 (0.2%)   1 (1.7%)  core::clone::impls::<impl core::clone::Clone for usize>::clone
    2 (0.2%)   1 (1.7%)  core::convert::num::<impl core::convert::From<u8> for u32>::from
    2 (0.2%)   1 (1.7%)  core::num::<impl u32>::wrapping_add
    2 (0.2%)   1 (1.7%)  core::num::<impl u32>::wrapping_mul
    2 (0.2%)   1 (1.7%)  core::ptr::const_ptr::<impl *const T>::cast
    2 (0.2%)   1 (1.7%)  core::ptr::const_ptr::<impl *const [T]>::as_ptr
    2 (0.2%)   1 (1.7%)  core::ptr::mut_ptr::<impl *mut [T]>::as_mut_ptr
    2 (0.2%)   1 (1.7%)  core::slice::<impl [T]>::as_ptr
    1 (0.1%)   1 (1.7%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    1 (0.1%)   1 (1.7%)  core::num::<impl u32>::from_le
    1 (0.1%)   1 (1.7%)  core::ptr::drop_in_place<core::array::TryFromSliceError>
