  Lines         Copies      Function name
  -----         ------      -------------
  29924 (100%)  596 (100%)  (TOTAL)
   1646 (5.5%)    5 (0.8%)  nom::combinator::map_res::{{closure}}
   1312 (4.4%)   21 (3.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1151 (3.8%)    5 (0.8%)  nom::combinator::opt::{{closure}}
    960 (3.2%)    3 (0.5%)  <(A,B) as nom::branch::Alt<Input,Output,Error>>::choice
    946 (3.2%)    1 (0.2%)  hdrhistogram::serialization::interval_log::interval_hist
    891 (3.0%)   33 (5.5%)  <F as nom::internal::Parser<I,O,E>>::parse
    793 (2.7%)    2 (0.3%)  <(FnA,FnB,FnC) as nom::sequence::Tuple<Input,(A,B,C),Error>>::parse
    628 (2.1%)   20 (3.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    618 (2.1%)    1 (0.2%)  <(A,B,C,D) as nom::branch::Alt<Input,Output,Error>>::choice
    569 (1.9%)    2 (0.3%)  <(FnA,FnB) as nom::sequence::Tuple<Input,(A,B),Error>>::parse
    551 (1.8%)    7 (1.2%)  core::result::Result<T,E>::map_err
    531 (1.8%)    1 (0.2%)  hdrhistogram::serialization::interval_log::base_time
    531 (1.8%)    1 (0.2%)  hdrhistogram::serialization::interval_log::start_time
    469 (1.6%)    1 (0.2%)  <(A,B,C) as nom::branch::Alt<Input,Output,Error>>::choice
    376 (1.3%)    2 (0.3%)  nom::combinator::recognize::{{closure}}
    368 (1.2%)    2 (0.3%)  nom::combinator::map::{{closure}}
    367 (1.2%)    1 (0.2%)  hdrhistogram::serialization::interval_log::fract_sec_tuple
    365 (1.2%)    3 (0.5%)  core::iter::traits::iterator::Iterator::try_fold
    342 (1.1%)    1 (0.2%)  hdrhistogram::serialization::interval_log::tag_bytes
    339 (1.1%)    2 (0.3%)  <&[u8] as nom::traits::InputTakeAtPosition>::split_at_position1_complete
    331 (1.1%)    1 (0.2%)  hdrhistogram::serialization::interval_log::comment_line
    331 (1.1%)    1 (0.2%)  hdrhistogram::serialization::interval_log::legend
    330 (1.1%)    4 (0.7%)  nom::number::complete::recognize_float_or_exceptions::{{closure}}
    329 (1.1%)    1 (0.2%)  core::num::dec2flt::lemire::compute_float
    328 (1.1%)    1 (0.2%)  core::num::dec2flt::slow::parse_long_mantissa
    325 (1.1%)    1 (0.2%)  core::num::dec2flt::dec2flt
    314 (1.0%)    2 (0.3%)  nom::combinator::complete::{{closure}}
    308 (1.0%)    1 (0.2%)  hdrhistogram::serialization::interval_log::fract_sec_duration
    288 (1.0%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    259 (0.9%)    4 (0.7%)  nom::number::complete::recognize_float_or_exceptions::{{closure}}::{{closure}}
    231 (0.8%)    1 (0.2%)  nom::number::complete::recognize_float
    206 (0.7%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    199 (0.7%)    1 (0.2%)  nom::number::complete::double
    192 (0.6%)   10 (1.7%)  core::ops::function::FnMut::call_mut
    190 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    190 (0.6%)    1 (0.2%)  alloc::raw_vec::finish_grow
    172 (0.6%)    1 (0.2%)  nom::character::complete::char::{{closure}}
    169 (0.6%)    1 (0.2%)  <hdrhistogram::serialization::interval_log::IntervalLogIterator as core::iter::traits::iterator::Iterator>::next
    165 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    155 (0.5%)    2 (0.3%)  core::result::Result<T,E>::map
    154 (0.5%)    1 (0.2%)  core::num::dec2flt::number::Number::try_fast_path
    152 (0.5%)    2 (0.3%)  alloc::alloc::box_free
    148 (0.5%)    1 (0.2%)  hdrhistogram::serialization::interval_log::tag_parser
    148 (0.5%)    1 (0.2%)  nom::sequence::pair::{{closure}}
    146 (0.5%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    130 (0.4%)    1 (0.2%)  nom::bytes::complete::take_until::{{closure}}
    128 (0.4%)    1 (0.2%)  <hdrhistogram::serialization::deserializer::DeserializeError as core::fmt::Display>::fmt
    127 (0.4%)    3 (0.5%)  core::option::Option<T>::ok_or
    126 (0.4%)    1 (0.2%)  nom::bytes::complete::tag::{{closure}}
    126 (0.4%)    1 (0.2%)  nom::bytes::complete::tag_no_case::{{closure}}
    124 (0.4%)    2 (0.3%)  core::alloc::layout::Layout::array
    123 (0.4%)    1 (0.2%)  core::str::validations::next_code_point
    117 (0.4%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    117 (0.4%)    1 (0.2%)  <hdrhistogram::serialization::interval_log::LogEntry as core::fmt::Debug>::fmt
    117 (0.4%)    1 (0.2%)  nom::bytes::complete::take::{{closure}}
    115 (0.4%)    1 (0.2%)  nom::combinator::cut::{{closure}}
    109 (0.4%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    103 (0.3%)   10 (1.7%)  <&T as core::fmt::Debug>::fmt
    103 (0.3%)    2 (0.3%)  core::option::Option<T>::map
     96 (0.3%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     93 (0.3%)    1 (0.2%)  <hdrhistogram::serialization::interval_log::IntervalLogHistogram as core::fmt::Debug>::fmt
     92 (0.3%)    2 (0.3%)  core::iter::traits::iterator::Iterator::zip
     90 (0.3%)    1 (0.2%)  <hdrhistogram::serialization::deserializer::DeserializeError as core::fmt::Debug>::fmt
     89 (0.3%)    1 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     88 (0.3%)    2 (0.3%)  core::result::Result<T,E>::ok
     87 (0.3%)    1 (0.2%)  <hdrhistogram::errors::CreationError as core::fmt::Display>::fmt
     87 (0.3%)    1 (0.2%)  <hdrhistogram::serialization::v2_deflate_serializer::V2DeflateSerializeError as core::fmt::Display>::fmt
     86 (0.3%)    1 (0.2%)  <hdrhistogram::serialization::v2_deflate_serializer::V2DeflateSerializeError as core::fmt::Debug>::fmt
     80 (0.3%)    1 (0.2%)  <hdrhistogram::serialization::v2_serializer::V2SerializeError as core::fmt::Display>::fmt
     80 (0.3%)    1 (0.2%)  core::cmp::max_by
     80 (0.3%)    1 (0.2%)  core::cmp::min_by
     79 (0.3%)    5 (0.8%)  nom::combinator::map_res
     79 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     78 (0.3%)    2 (0.3%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
