  Lines         Copies      Function name
  -----         ------      -------------
  13860 (100%)  587 (100%)  (TOTAL)
    568 (4.1%)    4 (0.7%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    536 (3.9%)   10 (1.7%)  core::mem::replace
    351 (2.5%)    1 (0.2%)  hex_literal::hex
    309 (2.2%)   13 (2.2%)  core::ptr::read
    297 (2.1%)    4 (0.7%)  std::thread::local::LocalKey<T>::try_with
    296 (2.1%)    8 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    271 (2.0%)    1 (0.2%)  hex_literal::ignore_groups
    270 (1.9%)    4 (0.7%)  alloc::alloc::box_free
    212 (1.5%)    1 (0.2%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    209 (1.5%)    4 (0.7%)  core::result::Result<T,E>::map_err
    209 (1.5%)    2 (0.3%)  core::iter::traits::iterator::Iterator::fold
    206 (1.5%)    2 (0.3%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    187 (1.3%)    1 (0.2%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    175 (1.3%)    2 (0.3%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    171 (1.2%)   13 (2.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    157 (1.1%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    154 (1.1%)    1 (0.2%)  alloc::raw_vec::finish_grow
    153 (1.1%)    1 (0.2%)  hex_literal::TokenTreeIter::new
    149 (1.1%)    1 (0.2%)  <hex_literal::TokenTreeIter as core::iter::traits::iterator::Iterator>::next
    144 (1.0%)    2 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    142 (1.0%)    1 (0.2%)  std::panicking::update_hook
    140 (1.0%)    9 (1.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    139 (1.0%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    135 (1.0%)    4 (0.7%)  core::option::Option<T>::ok_or
    129 (0.9%)    7 (1.2%)  core::ops::function::FnOnce::call_once
    129 (0.9%)    3 (0.5%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    128 (0.9%)    2 (0.3%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    128 (0.9%)    1 (0.2%)  <proc_macro::TokenStream as core::iter::traits::collect::Extend<proc_macro::TokenStream>>::extend
    126 (0.9%)    1 (0.2%)  hex_literal::comments::ExcludingComments<I>::next_byte
    120 (0.9%)    1 (0.2%)  <proc_macro::TokenStream as core::iter::traits::collect::FromIterator<proc_macro::TokenStream>>::from_iter
    110 (0.8%)    3 (0.5%)  core::result::Result<T,E>::expect
    107 (0.8%)    8 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
    107 (0.8%)    1 (0.2%)  hex_literal::TokenTreeIter::next_hex_val
     93 (0.7%)    3 (0.5%)  core::fmt::ArgumentV1::new
     92 (0.7%)    1 (0.2%)  proc_macro::bridge::client::run_client
     91 (0.7%)    6 (1.0%)  core::option::Option<T>::take
     91 (0.7%)    1 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     89 (0.6%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     88 (0.6%)    2 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     85 (0.6%)    4 (0.7%)  core::mem::forget
     85 (0.6%)    1 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     82 (0.6%)    2 (0.3%)  proc_macro::bridge::client::run_client::{{closure}}
     77 (0.6%)   15 (2.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     76 (0.5%)    1 (0.2%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.5%)    1 (0.2%)  core::cmp::max_by
     76 (0.5%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     73 (0.5%)    1 (0.2%)  std::sys::unix::rwlock::RWLock::write
     72 (0.5%)   10 (1.7%)  core::ptr::write
     72 (0.5%)    2 (0.3%)  core::cell::Cell<T>::replace
     72 (0.5%)    1 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::push
     69 (0.5%)    1 (0.2%)  <proc_macro::bridge::buffer::Buffer<T> as core::convert::From<alloc::vec::Vec<T>>>::from
     69 (0.5%)    1 (0.2%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
     66 (0.5%)    1 (0.2%)  core::iter::traits::iterator::Iterator::chain
     66 (0.5%)    1 (0.2%)  std::panicking::try
     64 (0.5%)    1 (0.2%)  proc_macro::bridge::client::Client<fn(proc_macro::TokenStream) .> proc_macro::TokenStream>::expand1::run::{{closure}}
     63 (0.5%)    1 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     61 (0.4%)    1 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     60 (0.4%)    1 (0.2%)  std::sync::once::Once::call_once
     58 (0.4%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     58 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
     58 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
     57 (0.4%)    1 (0.2%)  <u32 as proc_macro::bridge::rpc::DecodeMut<S>>::decode
     57 (0.4%)    1 (0.2%)  core::iter::adapters::chain::Chain<A,B>::new
