  Lines        Copies      Function name
  -----        ------      -------------
  2939 (100%)  142 (100%)  (TOTAL)
   236 (8.0%)    2 (1.4%)  core::option::Option<T>::filter
   167 (5.7%)    1 (0.7%)  home::cargo_home_with_cwd
   167 (5.7%)    1 (0.7%)  home::rustup_home_with_cwd
   140 (4.8%)    1 (0.7%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   132 (4.5%)    2 (1.4%)  core::option::Option<T>::ok_or_else
   123 (4.2%)    3 (2.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   120 (4.1%)    2 (1.4%)  core::option::Option<T>::map
    94 (3.2%)    1 (0.7%)  home::cargo_home
    94 (3.2%)    1 (0.7%)  home::rustup_home
    89 (3.0%)    1 (0.7%)  alloc::alloc::Global::alloc_impl
    81 (2.8%)    3 (2.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    68 (2.3%)    2 (1.4%)  core::option::Option<T>::ok_or
    61 (2.1%)    2 (1.4%)  std::path::Path::join
    58 (2.0%)    1 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    57 (1.9%)    3 (2.1%)  home::cargo_home_with_cwd::{{closure}}
    57 (1.9%)    3 (2.1%)  home::rustup_home_with_cwd::{{closure}}
    51 (1.7%)    1 (0.7%)  core::alloc::layout::Layout::array
    49 (1.7%)    1 (0.7%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    35 (1.2%)    1 (0.7%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (1.2%)    1 (0.7%)  core::num::<impl usize>::overflowing_mul
    32 (1.1%)    1 (0.7%)  core::num::<impl usize>::checked_mul
    32 (1.1%)    1 (0.7%)  std::env::var_os
    31 (1.1%)    1 (0.7%)  core::ptr::metadata::from_raw_parts
    31 (1.1%)    1 (0.7%)  core::ptr::metadata::from_raw_parts_mut
    30 (1.0%)    3 (2.1%)  <&T as core::convert::AsRef<U>>::as_ref
    29 (1.0%)    1 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    29 (1.0%)    1 (0.7%)  alloc::raw_vec::alloc_guard
    28 (1.0%)    1 (0.7%)  alloc::alloc::exchange_malloc
    28 (1.0%)    1 (0.7%)  alloc::boxed::Box<T>::new
    28 (1.0%)    1 (0.7%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    25 (0.9%)    1 (0.7%)  std::error::<impl core::convert::From<alloc::string::String> for alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>::from
    23 (0.8%)    1 (0.7%)  std::sys::unix::os_str::Buf::as_slice
