  Lines         Copies       Function name
  -----         ------       -------------
  61212 (100%)  1353 (100%)  (TOTAL)
  24702 (40.4%)    1 (0.1%)  http::header::name::parse_hdr
   1404 (2.3%)    32 (2.4%)  core::option::Option<T>::map
   1211 (2.0%)     7 (0.5%)  core::iter::traits::iterator::Iterator::partial_cmp_by
    804 (1.3%)    20 (1.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    660 (1.1%)     1 (0.1%)  http::uri::parse_full
    622 (1.0%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next_back
    572 (0.9%)     1 (0.1%)  http::uri::Uri::from_shared
    528 (0.9%)     1 (0.1%)  <http::uri::Uri as core::cmp::PartialEq<str>>::eq
    454 (0.7%)     1 (0.1%)  http::method::Method::from_bytes
    420 (0.7%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    418 (0.7%)     8 (0.6%)  core::result::Result<T,E>::map_err
    411 (0.7%)     1 (0.1%)  <http::header::name::StandardHeader as core::fmt::Debug>::fmt
    408 (0.7%)     1 (0.1%)  http::header::name::StandardHeader::as_str
    376 (0.6%)     6 (0.4%)  alloc::alloc::box_free
    373 (0.6%)     1 (0.1%)  http::status::canonical_reason
    330 (0.5%)     2 (0.1%)  http::uri::authority::create_authority
    320 (0.5%)     1 (0.1%)  http::uri::authority::Authority::parse
    319 (0.5%)     1 (0.1%)  http::uri::Uri::from_parts
    311 (0.5%)     1 (0.1%)  http::header::name::HeaderName::from_bytes
    295 (0.5%)     1 (0.1%)  <http::header::value::HeaderValue as core::fmt::Debug>::fmt
    294 (0.5%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    287 (0.5%)     1 (0.1%)  http::uri::path::PathAndQuery::from_shared
    283 (0.5%)     1 (0.1%)  <http::uri::Uri as core::fmt::Display>::fmt
    275 (0.4%)     1 (0.1%)  http::header::name::HeaderName::from_lowercase
    262 (0.4%)     1 (0.1%)  http::uri::scheme::Scheme2<usize>::parse
    261 (0.4%)     1 (0.1%)  <http::header::name::HeaderName as core::convert::From<http::header::name::HdrName>>::from
    248 (0.4%)     8 (0.6%)  core::fmt::ArgumentV1::new
    241 (0.4%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    232 (0.4%)     4 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    231 (0.4%)     1 (0.1%)  <http::uri::Parts as core::convert::From<http::uri::Uri>>::from
    226 (0.4%)     5 (0.4%)  core::mem::replace
    226 (0.4%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    222 (0.4%)    16 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    221 (0.4%)     1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::ReverseSearcher>::next_match_back
    216 (0.4%)     3 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    216 (0.4%)     1 (0.1%)  http::header::map::IterMut<T>::next_unsafe
    214 (0.3%)     1 (0.1%)  core::array::<impl core::default::Default for [T; _]>::default
    210 (0.3%)     7 (0.5%)  core::iter::traits::iterator::Iterator::partial_cmp::{{closure}}
    210 (0.3%)     3 (0.2%)  <core::result::Result<T,E> as core::fmt::Debug>::fmt
    204 (0.3%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::ReverseSearcher>::next_back
    190 (0.3%)     1 (0.1%)  http::header::map::HeaderMap<T>::with_capacity
    186 (0.3%)     6 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    186 (0.3%)     4 (0.3%)  core::option::Option<T>::and_then
    183 (0.3%)     1 (0.1%)  http::uri::scheme::Scheme2<usize>::parse_exact
    182 (0.3%)    14 (1.0%)  core::iter::adapters::map::Map<I,F>::new
    176 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::into_boxed_slice
    174 (0.3%)     3 (0.2%)  <core::option::Option<T> as core::cmp::PartialEq>::ne
    172 (0.3%)     1 (0.1%)  http::header::name::HeaderName::from_static
    172 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for i16>::write
    172 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for u16>::write
    170 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for i32>::write
    170 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for u32>::write
    168 (0.3%)    14 (1.0%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
    168 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for i64>::write
    168 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for isize>::write
    168 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for u64>::write
    168 (0.3%)     1 (0.1%)  itoa::<impl itoa::private::Sealed for usize>::write
    167 (0.3%)     1 (0.1%)  <http::uri::scheme::Scheme as core::convert::TryFrom<&[u8]>>::try_from
    160 (0.3%)     8 (0.6%)  core::ptr::read
    157 (0.3%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.3%)     1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    154 (0.3%)     1 (0.1%)  alloc::raw_vec::finish_grow
    154 (0.3%)     1 (0.1%)  bytes::bytes_mut::BytesMut::freeze
    153 (0.2%)     3 (0.2%)  core::alloc::layout::Layout::array
    152 (0.2%)     4 (0.3%)  alloc::boxed::Box<T,A>::from_raw_in
    151 (0.2%)     3 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    151 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::next_back
    150 (0.2%)     5 (0.4%)  core::result::Result<T,E>::ok
    139 (0.2%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    135 (0.2%)     4 (0.3%)  core::option::Option<T>::ok_or
    134 (0.2%)     1 (0.1%)  <http::uri::path::PathAndQuery as core::fmt::Display>::fmt
    132 (0.2%)     3 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    132 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    129 (0.2%)    30 (2.2%)  <&T as core::fmt::Debug>::fmt
    126 (0.2%)    14 (1.0%)  <T as core::convert::Into<U>>::into
    126 (0.2%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    126 (0.2%)     1 (0.1%)  http::header::value::HeaderValue::try_from_generic
    124 (0.2%)     2 (0.1%)  core::result::Result<T,E>::and_then
    118 (0.2%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::into_box
    116 (0.2%)     4 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    108 (0.2%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    108 (0.2%)     1 (0.1%)  <http::uri::scheme::Scheme as core::cmp::PartialEq>::eq
    105 (0.2%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
    105 (0.2%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::ReverseSearcher>::next_match_back
    102 (0.2%)     8 (0.6%)  core::mem::manually_drop::ManuallyDrop<T>::new
    102 (0.2%)     1 (0.1%)  http::uri::builder::Builder::build
    101 (0.2%)     1 (0.1%)  core::str::validations::next_code_point_reverse
    100 (0.2%)     1 (0.1%)  core::fmt::builders::DebugMap::entries
    100 (0.2%)     1 (0.1%)  http::method::extension::AllocatedExtension::new
     98 (0.2%)    14 (1.0%)  core::iter::traits::iterator::Iterator::map
     98 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     94 (0.2%)     1 (0.1%)  http::status::StatusCode::from_bytes
     93 (0.2%)     3 (0.2%)  core::ptr::metadata::from_raw_parts
     91 (0.1%)     1 (0.1%)  http::method::extension::write_checked
     90 (0.1%)     1 (0.1%)  <http::uri::Uri as core::cmp::PartialEq>::eq
     89 (0.1%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     88 (0.1%)     1 (0.1%)  <http::uri::Parts as core::default::Default>::default
     85 (0.1%)     1 (0.1%)  http::uri::authority::host
     84 (0.1%)    14 (1.0%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
     84 (0.1%)     7 (0.5%)  core::any::TypeId::of
     84 (0.1%)     1 (0.1%)  http::method::Method::as_str
     84 (0.1%)     1 (0.1%)  http::request::Parts::new
     83 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<i16>>::from
     83 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<i32>>::from
     83 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<u16>>::from
     83 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<u32>>::from
     82 (0.1%)     2 (0.1%)  core::result::Result<T,E>::expect
     82 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<i64>>::from
     82 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<isize>>::from
     82 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<u64>>::from
     82 (0.1%)     1 (0.1%)  <http::header::value::HeaderValue as core::convert::From<usize>>::from
     82 (0.1%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     82 (0.1%)     1 (0.1%)  http::method::Method::extension_inline
     80 (0.1%)     3 (0.2%)  alloc::boxed::Box<T>::new
     79 (0.1%)     1 (0.1%)  http::uri::port::Port<T>::from_str
     78 (0.1%)     1 (0.1%)  http::uri::path::PathAndQuery::path
     77 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<[http::header::map::Bucket<http::header::value::HeaderValue>]>
     77 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<[http::header::map::ExtraValue<http::header::value::HeaderValue>]>
     76 (0.1%)     1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     76 (0.1%)     1 (0.1%)  core::cmp::max_by
     76 (0.1%)     1 (0.1%)  core::cmp::min_by
     75 (0.1%)     1 (0.1%)  <http::uri::Uri as core::default::Default>::default
     75 (0.1%)     1 (0.1%)  core::fmt::builders::DebugList::entries
     74 (0.1%)     1 (0.1%)  std::thread::local::LocalKey<T>::try_with
     73 (0.1%)     1 (0.1%)  core::str::iter::SplitInternal<P>::next
     72 (0.1%)     8 (0.6%)  itoa::Buffer::format
     72 (0.1%)     5 (0.4%)  core::option::Option<T>::is_some
     71 (0.1%)     9 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     71 (0.1%)     1 (0.1%)  <http::uri::ErrorKind as core::fmt::Debug>::fmt
     70 (0.1%)     1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     70 (0.1%)     1 (0.1%)  <http::header::name::Repr<T> as core::fmt::Debug>::fmt
     69 (0.1%)    10 (0.7%)  core::ptr::unique::Unique<T>::cast
     68 (0.1%)     1 (0.1%)  <http::header::map::Link as core::fmt::Debug>::fmt
     68 (0.1%)     1 (0.1%)  http::uri::InvalidUri::s
     67 (0.1%)     1 (0.1%)  http::header::value::HeaderValue::to_str
     67 (0.1%)     1 (0.1%)  http::method::extension::InlineExtension::new
     66 (0.1%)     7 (0.5%)  core::ptr::unique::Unique<T>::new_unchecked
     66 (0.1%)     3 (0.2%)  alloc::boxed::Box<T,A>::leak
     66 (0.1%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     66 (0.1%)     2 (0.1%)  core::cell::Cell<T>::replace
     66 (0.1%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     66 (0.1%)     1 (0.1%)  http::error::Error::get_ref
     65 (0.1%)     1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     65 (0.1%)     1 (0.1%)  http::uri::Uri::from_static
     65 (0.1%)     1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     63 (0.1%)     1 (0.1%)  bytes::bytes::Bytes::truncate
     62 (0.1%)     2 (0.1%)  core::result::Result<T,E>::as_mut
     62 (0.1%)     2 (0.1%)  core::result::Result<T,E>::as_ref
     60 (0.1%)     6 (0.4%)  std::error::Error::source
     60 (0.1%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
     60 (0.1%)     1 (0.1%)  core::result::Result<T,E>::map
     59 (0.1%)     6 (0.4%)  core::ptr::unique::Unique<T>::as_ref
     59 (0.1%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::any
     59 (0.1%)     1 (0.1%)  <http::uri::Parts as core::fmt::Debug>::fmt
     58 (0.1%)     1 (0.1%)  std::thread::local::fast::Key<T>::get
     58 (0.1%)     1 (0.1%)  std::thread::local::fast::Key<T>::try_initialize
     57 (0.1%)     1 (0.1%)  core::str::<impl str>::split
     56 (0.1%)     2 (0.1%)  core::array::equality::<impl core::cmp::PartialEq<[A; N]> for [B]>::ne
     56 (0.1%)     1 (0.1%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     55 (0.1%)    10 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     55 (0.1%)     1 (0.1%)  <http::status::StatusCode as core::fmt::Display>::fmt
     55 (0.1%)     1 (0.1%)  bytes::bytes_mut::BytesMut::from_vec
     55 (0.1%)     1 (0.1%)  core::iter::adapters::zip::zip
     54 (0.1%)     6 (0.4%)  core::ptr::slice_from_raw_parts_mut
     52 (0.1%)     2 (0.1%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     52 (0.1%)     1 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     52 (0.1%)     1 (0.1%)  http::uri::scheme::Scheme::as_str
     51 (0.1%)     1 (0.1%)  <u8 as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
     50 (0.1%)     1 (0.1%)  core::fmt::Arguments::new_v1
     49 (0.1%)     6 (0.4%)  core::ops::function::FnOnce::call_once
     49 (0.1%)     1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
     48 (0.1%)     6 (0.4%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::ne
     48 (0.1%)     1 (0.1%)  <http::header::map::Cursor as core::fmt::Debug>::fmt
     48 (0.1%)     1 (0.1%)  <http::header::name::Repr<T> as core::clone::Clone>::clone
     47 (0.1%)     1 (0.1%)  <bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::advance
     47 (0.1%)     1 (0.1%)  core::option::Option<T>::unwrap_unchecked
     47 (0.1%)     1 (0.1%)  http::header::name::<impl core::convert::From<http::header::name::Repr<T>> for bytes::bytes::Bytes>::from
     46 (0.1%)     1 (0.1%)  http::header::name::HeaderName::as_str
     45 (0.1%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next_back
     45 (0.1%)     1 (0.1%)  http::response::Parts::new
     44 (0.1%)     1 (0.1%)  <http::version::Version as core::fmt::Debug>::fmt
