  Lines       Copies     Function name
  -----       ------     -------------
  289 (100%)  19 (100%)  (TOTAL)
  109 (37.7%)  1 (5.3%)  <humansize::file_size_opts::FileSizeOpts as core::fmt::Debug>::fmt
   66 (22.8%)  1 (5.3%)  <humansize::file_size_opts::FixedAt as core::fmt::Debug>::fmt
   27 (9.3%)   6 (31.6%) <&T as core::fmt::Debug>::fmt
   27 (9.3%)   1 (5.3%)  <humansize::file_size_opts::Kilo as core::fmt::Debug>::fmt
   26 (9.0%)   1 (5.3%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
   15 (5.2%)   1 (5.3%)  humansize::f64_eq
   10 (3.5%)   1 (5.3%)  std::f64::<impl f64>::abs
    3 (1.0%)   1 (5.3%)  <bool as core::fmt::Debug>::fmt
    1 (0.3%)   1 (5.3%)  <humansize::file_size_opts::FileSizeOpts as core::convert::AsRef<humansize::file_size_opts::FileSizeOpts>>::as_ref
    1 (0.3%)   1 (5.3%)  core::ptr::drop_in_place<&&str>
    1 (0.3%)   1 (5.3%)  core::ptr::drop_in_place<&bool>
    1 (0.3%)   1 (5.3%)  core::ptr::drop_in_place<&humansize::file_size_opts::FixedAt>
    1 (0.3%)   1 (5.3%)  core::ptr::drop_in_place<&humansize::file_size_opts::Kilo>
    1 (0.3%)   1 (5.3%)  core::ptr::drop_in_place<&usize>
