  Lines         Copies       Function name
  -----         ------       -------------
  32331 (100%)  1133 (100%)  (TOTAL)
   1323 (4.1%)     3 (0.3%)  alloc::slice::merge_sort
    884 (2.7%)     2 (0.2%)  <unicode_normalization::recompose::Recompositions<I> as core::iter::traits::iterator::Iterator>::next
    736 (2.3%)     2 (0.2%)  idna::punycode::encode_into
    695 (2.1%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    681 (2.1%)     3 (0.3%)  alloc::slice::merge
    627 (1.9%)     3 (0.3%)  alloc::slice::insert_head
    619 (1.9%)     1 (0.1%)  idna::uts46::processing
    602 (1.9%)     8 (0.7%)  core::iter::traits::iterator::Iterator::fold
    560 (1.7%)     4 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    528 (1.6%)     4 (0.4%)  unicode_normalization::normalize::decompose
    528 (1.6%)     1 (0.1%)  idna::punycode::Decoder::decode
    496 (1.5%)     5 (0.4%)  core::iter::traits::iterator::Iterator::try_fold
    392 (1.2%)     1 (0.1%)  <idna::uts46::Errors as core::fmt::Debug>::fmt
    379 (1.2%)     1 (0.1%)  idna::uts46::passes_bidi
    377 (1.2%)     1 (0.1%)  unicode_normalization::tables::qc_nfc
    322 (1.0%)     6 (0.5%)  core::iter::adapters::map::map_fold::{{closure}}
    295 (0.9%)     8 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    290 (0.9%)     5 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    272 (0.8%)     6 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    264 (0.8%)     1 (0.1%)  idna::uts46::Idna::to_ascii
    260 (0.8%)     4 (0.4%)  unicode_normalization::normalize::decompose_hangul
    255 (0.8%)     5 (0.4%)  alloc::vec::Vec<T,A>::push
    255 (0.8%)     5 (0.4%)  core::alloc::layout::Layout::array
    241 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
