  Lines          Copies       Function name
  -----          ------       -------------
  142620 (100%)  6255 (100%)  (TOTAL)
    2958 (2.1%)    51 (0.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2660 (1.9%)    19 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2502 (1.8%)    18 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    2317 (1.6%)    41 (0.7%)  alloc::alloc::box_free
    1953 (1.4%)    63 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    1691 (1.2%)    17 (0.3%)  alloc::sync::Arc<T>::new
    1626 (1.1%)    14 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    1604 (1.1%)    32 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1517 (1.1%)    27 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1450 (1.0%)    50 (0.8%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1350 (0.9%)    27 (0.4%)  core::option::Option<T>::map
    1326 (0.9%)    26 (0.4%)  core::alloc::layout::Layout::array
    1194 (0.8%)    17 (0.3%)  core::result::Result<T,E>::map_err
    1174 (0.8%)    27 (0.4%)  alloc::sync::Weak<T>::inner
    1030 (0.7%)    14 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     971 (0.7%)     1 (0.0%)  ignore::dir::Ignore::add_child_path
     882 (0.6%)     1 (0.0%)  ignore::dir::resolve_git_commondir
     881 (0.6%)     2 (0.0%)  alloc::slice::merge_sort
     877 (0.6%)    32 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     865 (0.6%)    41 (0.7%)  core::ptr::read
     854 (0.6%)    18 (0.3%)  core::mem::replace
     811 (0.6%)    19 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     809 (0.6%)     1 (0.0%)  ignore::walk::WalkParallel::visit
     799 (0.6%)    14 (0.2%)  alloc::vec::Vec<T,A>::push
     796 (0.6%)     1 (0.0%)  ignore::dir::Ignore::add_parents
     794 (0.6%)    19 (0.3%)  core::slice::iter::Iter<T>::new
     792 (0.6%)    19 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     772 (0.5%)     1 (0.0%)  ignore::dir::Ignore::matched_ignore
     759 (0.5%)    10 (0.2%)  core::fmt::builders::DebugList::entries
     713 (0.5%)     1 (0.0%)  ignore::gitignore::GitignoreBuilder::add_line
     712 (0.5%)     1 (0.0%)  alloc::str::join_generic_copy
     697 (0.5%)     1 (0.0%)  ignore::walk::Worker::generate_work
     686 (0.5%)    71 (1.1%)  core::mem::manually_drop::ManuallyDrop<T>::new
     665 (0.5%)    19 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     661 (0.5%)     1 (0.0%)  ignore::types::TypesBuilder::build
     656 (0.5%)    27 (0.4%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     651 (0.5%)    21 (0.3%)  core::ptr::metadata::from_raw_parts
     648 (0.5%)    27 (0.4%)  core::alloc::layout::Layout::for_value_raw
     631 (0.4%)     1 (0.0%)  ignore::walk::Worker::run_one
     626 (0.4%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     610 (0.4%)    12 (0.2%)  core::result::Result<T,E>::unwrap
     602 (0.4%)     6 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     582 (0.4%)     2 (0.0%)  ignore::dir::create_gitignore
     579 (0.4%)     1 (0.0%)  ignore::dir::IgnoreBuilder::build
     570 (0.4%)    91 (1.5%)  core::ptr::unique::Unique<T>::cast
