  Lines         Copies       Function name
  -----         ------       -------------
  60668 (100%)  2499 (100%)  (TOTAL)
   1767 (2.9%)     3 (0.1%)  <console::utils::StyledObject<D> as core::fmt::Display>::fmt
   1258 (2.1%)     1 (0.0%)  indicatif::style::ProgressStyle::format_state
   1215 (2.0%)     1 (0.0%)  indicatif::style::Template::from_str
    834 (1.4%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    782 (1.3%)    14 (0.6%)  alloc::alloc::box_free
    768 (1.3%)    12 (0.5%)  indicatif::state::ProgressState::update
    718 (1.2%)    17 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    713 (1.2%)     1 (0.0%)  indicatif::draw_target::ProgressDrawTarget::apply_draw_state
    700 (1.2%)    15 (0.6%)  core::option::Option<T>::map
    626 (1.0%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
    589 (1.0%)    19 (0.8%)  core::fmt::ArgumentV1::new
    552 (0.9%)    12 (0.5%)  core::mem::replace
    529 (0.9%)     4 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    484 (0.8%)    23 (0.9%)  core::ptr::read
    464 (0.8%)     8 (0.3%)  indicatif::progress_bar::ProgressBar::update_and_draw
    457 (0.8%)     1 (0.0%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    456 (0.8%)     8 (0.3%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    436 (0.7%)     1 (0.0%)  std::thread::Builder::spawn_unchecked_
    432 (0.7%)     5 (0.2%)  core::iter::traits::iterator::Iterator::fold
    420 (0.7%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    402 (0.7%)    18 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    381 (0.6%)     9 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    379 (0.6%)     5 (0.2%)  core::fmt::builders::DebugList::entries
    374 (0.6%)     9 (0.4%)  core::slice::iter::Iter<T>::new
    372 (0.6%)     9 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    370 (0.6%)     1 (0.0%)  indicatif::draw_target::clear_last_lines
    356 (0.6%)     8 (0.3%)  alloc::sync::Weak<T>::inner
    356 (0.6%)     1 (0.0%)  indicatif::progress_bar::MultiProgress::push
