  Lines         Copies      Function name
  -----         ------      -------------
  22912 (100%)  436 (100%)  (TOTAL)
  11300 (49.3%)   1 (0.2%)  inflate::InflateStream::next_state
    686 (3.0%)    3 (0.7%)  inflate::DynHuffman16::new::{{closure}}
    514 (2.2%)    1 (0.2%)  inflate::DynHuffman16::new
    505 (2.2%)    1 (0.2%)  inflate::CodeLengthReader::new
    418 (1.8%)    1 (0.2%)  inflate::CodeLengthReader::read
    363 (1.6%)    1 (0.2%)  inflate::InflateStream::run_len_dist
    315 (1.4%)    1 (0.2%)  inflate::DynHuffman16::read
    278 (1.2%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    272 (1.2%)    7 (1.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    255 (1.1%)    1 (0.2%)  inflate::InflateStream::update
    231 (1.0%)    1 (0.2%)  inflate::CodeLengthReader::to_lit_and_dist
    204 (0.9%)    4 (0.9%)  alloc::alloc::box_free
    178 (0.8%)    4 (0.9%)  core::mem::replace
    172 (0.8%)    4 (0.9%)  core::option::Option<T>::ok_or_else
    167 (0.7%)    1 (0.2%)  inflate::utils::inflate
    157 (0.7%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    154 (0.7%)    1 (0.2%)  alloc::raw_vec::finish_grow
    149 (0.7%)    3 (0.7%)  core::result::Result<T,E>::map_err
    144 (0.6%)    4 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    140 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.6%)    1 (0.2%)  inflate::InflateStream::new
    136 (0.6%)    5 (1.1%)  alloc::boxed::Box<T>::new
    116 (0.5%)    6 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    116 (0.5%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    111 (0.5%)    2 (0.5%)  alloc::vec::Vec<T,A>::push
    105 (0.5%)    3 (0.7%)  core::option::Option<T>::ok_or
    102 (0.4%)    2 (0.5%)  core::alloc::layout::Layout::array
     94 (0.4%)    1 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     92 (0.4%)    3 (0.7%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     89 (0.4%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     88 (0.4%)    1 (0.2%)  inflate::writer::update
     86 (0.4%)    1 (0.2%)  inflate::InflateStream::reset
     82 (0.4%)    1 (0.2%)  inflate::InflateStream::from_zlib
     82 (0.4%)    1 (0.2%)  inflate::InflateStream::from_zlib_no_checksum
     81 (0.4%)    3 (0.7%)  inflate::CodeLengthReader::new::{{closure}}
     80 (0.3%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     77 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<[core::option::Option<alloc::boxed::Box<[u16; 16]>>; 16]>
     77 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<[inflate::Trie8bit<u16>]>
     77 (0.3%)    1 (0.2%)  inflate::InflateStream::with_state_and_buffer
