  Lines        Copies      Function name
  -----        ------      -------------
  3077 (100%)  194 (100%)  (TOTAL)
   140 (4.5%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   124 (4.0%)    1 (0.5%)  core::slice::index::range
   103 (3.3%)    1 (0.5%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    89 (2.9%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    79 (2.6%)    1 (0.5%)  core::iter::traits::iterator::Iterator::fold
    75 (2.4%)    1 (0.5%)  core::fmt::builders::DebugList::entries
    68 (2.2%)    2 (1.0%)  core::option::Option<T>::ok_or
    65 (2.1%)    1 (0.5%)  alloc::vec::Vec<T,A>::drain
    60 (1.9%)    2 (1.0%)  core::option::Option<T>::unwrap_or_else
    58 (1.9%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    56 (1.8%)    2 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    54 (1.8%)    1 (0.5%)  core::slice::iter::Iter<T>::make_slice
    51 (1.7%)    1 (0.5%)  core::alloc::layout::Layout::array
    50 (1.6%)    1 (0.5%)  core::fmt::Arguments::new_v1
    49 (1.6%)    1 (0.5%)  <input_buffer::DoRead as core::fmt::Debug>::fmt
    46 (1.5%)    1 (0.5%)  core::mem::replace
    46 (1.5%)    1 (0.5%)  core::option::Option<T>::map
    45 (1.5%)    1 (0.5%)  <std::io::cursor::Cursor<T> as bytes::buf::buf_impl::Buf>::chunk
    44 (1.4%)    1 (0.5%)  <<alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    42 (1.4%)    1 (0.5%)  input_buffer::InputBuffer::into_vec
    40 (1.3%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    40 (1.3%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    39 (1.3%)    1 (0.5%)  <std::io::cursor::Cursor<T> as core::fmt::Debug>::fmt
    39 (1.3%)    1 (0.5%)  core::slice::iter::Iter<T>::new
    38 (1.2%)    1 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    37 (1.2%)    2 (1.0%)  core::ptr::read
    37 (1.2%)    1 (0.5%)  input_buffer::DoRead::with_limit
    35 (1.1%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (1.1%)    1 (0.5%)  core::num::<impl usize>::overflowing_add
    34 (1.1%)    1 (0.5%)  core::num::<impl usize>::overflowing_mul
    32 (1.0%)    1 (0.5%)  core::num::<impl usize>::checked_add
    32 (1.0%)    1 (0.5%)  core::num::<impl usize>::checked_mul
