  Lines          Copies       Function name
  -----          ------       -------------
  241324 (100%)  8287 (100%)  (TOTAL)
    5116 (2.1%)     4 (0.0%)  <insta::content::Content as serde::ser::Serialize>::serialize
    3870 (1.6%)     6 (0.1%)  similar::algorithms::myers::find_middle_snake
    3534 (1.5%)     6 (0.1%)  <console::utils::StyledObject<D> as core::fmt::Display>::fmt
    2997 (1.2%)     9 (0.1%)  similar::algorithms::myers::conquer
    2929 (1.2%)    25 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    2609 (1.1%)    55 (0.7%)  core::option::Option<T>::map
    2191 (0.9%)   103 (1.2%)  core::ptr::read
    2159 (0.9%)    39 (0.5%)  alloc::alloc::box_free
    2147 (0.9%)    50 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1946 (0.8%)    14 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1864 (0.8%)    41 (0.5%)  core::mem::replace
    1816 (0.8%)     5 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    1764 (0.7%)     4 (0.0%)  alloc::slice::merge_sort
    1687 (0.7%)     3 (0.0%)  similar::algorithms::lcs::diff_deadline
    1464 (0.6%)     3 (0.0%)  similar::algorithms::compact::shift_diff_ops_up
    1456 (0.6%)    10 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    1419 (0.6%)     3 (0.0%)  similar::algorithms::compact::shift_diff_ops_down
    1351 (0.6%)    13 (0.2%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    1334 (0.6%)    23 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1269 (0.5%)    19 (0.2%)  core::option::Option<T>::map_or
    1266 (0.5%)     1 (0.0%)  insta::output::print_changeset
    1258 (0.5%)    17 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    1242 (0.5%)     9 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    1195 (0.5%)    13 (0.2%)  alloc::collections::btree::mem::replace
    1148 (0.5%)     7 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    1147 (0.5%)    37 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    1147 (0.5%)     1 (0.0%)  similar::text::inline::iter_inline_changes
    1135 (0.5%)     9 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    1130 (0.5%)    30 (0.4%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    1130 (0.5%)    30 (0.4%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    1094 (0.5%)     1 (0.0%)  serde_yaml::de::visit_untagged_str
    1059 (0.4%)     5 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
    1042 (0.4%)     3 (0.0%)  <similar::algorithms::patience::Patience<Old,New,D> as similar::algorithms::hook::DiffHook>::equal
    1024 (0.4%)     1 (0.0%)  insta::snapshot::Snapshot::from_file
     999 (0.4%)     9 (0.1%)  similar::algorithms::myers::diff_deadline
     999 (0.4%)     5 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
     987 (0.4%)   105 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     980 (0.4%)     7 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     949 (0.4%)    13 (0.2%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
     937 (0.4%)    67 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     934 (0.4%)     1 (0.0%)  <insta::snapshot::_::<impl serde::de::Deserialize for insta::snapshot::MetaData>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     918 (0.4%)    20 (0.2%)  core::option::Option<T>::ok_or
     911 (0.4%)     1 (0.0%)  <insta::content::Content as core::fmt::Debug>::fmt
     908 (0.4%)     4 (0.0%)  alloc::slice::merge
     904 (0.4%)     8 (0.1%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeMap>::serialize_value
     899 (0.4%)    53 (0.6%)  core::ops::function::FnOnce::call_once
     890 (0.4%)     4 (0.0%)  serde::ser::Serializer::collect_seq
     840 (0.3%)     4 (0.0%)  alloc::slice::insert_head
     811 (0.3%)     3 (0.0%)  similar::algorithms::lcs::make_table
     799 (0.3%)    17 (0.2%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
     781 (0.3%)     1 (0.0%)  insta::runtime::SnapshotAssertionContext::prepare
     765 (0.3%)    15 (0.2%)  core::alloc::layout::Layout::array
     757 (0.3%)     1 (0.0%)  serde_json::de::Deserializer<R>::ignore_value
     738 (0.3%)    13 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     732 (0.3%)     5 (0.1%)  alloc::collections::btree::map::entry::VacantEntry<K,V>::insert
     728 (0.3%)    13 (0.2%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
     713 (0.3%)    23 (0.3%)  core::ptr::metadata::from_raw_parts
     712 (0.3%)     1 (0.0%)  alloc::str::join_generic_copy
     700 (0.3%)    10 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::correct_childrens_parent_links
     698 (0.3%)     2 (0.0%)  <&mut serde_yaml::de::DeserializerFromEvents as serde::de::Deserializer>::deserialize_option
     688 (0.3%)     8 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     686 (0.3%)     7 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     681 (0.3%)     5 (0.1%)  alloc::collections::btree::map::BTreeMap<K,V>::entry
     681 (0.3%)     2 (0.0%)  insta::snapshot::_::<impl serde::ser::Serialize for insta::snapshot::MetaData>::serialize
     678 (0.3%)     5 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::KV>::split
     670 (0.3%)    10 (0.1%)  alloc::boxed::Box<T,A>::try_new_uninit_in
     668 (0.3%)    26 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     667 (0.3%)    23 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     658 (0.3%)    12 (0.1%)  core::result::Result<T,E>::map_err
     656 (0.3%)     8 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
     656 (0.3%)     1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_struct
     646 (0.3%)    16 (0.2%)  core::option::Option<T>::and_then
     626 (0.3%)    22 (0.3%)  alloc::boxed::Box<T,A>::from_raw_in
     626 (0.3%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     624 (0.3%)    13 (0.2%)  alloc::collections::btree::node::slice_insert
     622 (0.3%)     2 (0.0%)  core::str::pattern::TwoWaySearcher::next_back
     621 (0.3%)     1 (0.0%)  insta::runtime::SnapshotAssertionContext::update_snapshot
