  Lines         Copies      Function name
  -----         ------      -------------
  12334 (100%)  448 (100%)  (TOTAL)
    447 (3.6%)    8 (1.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    366 (3.0%)    1 (0.2%)  <ipnetwork::ipv4::Ipv4Network as core::str::traits::FromStr>::from_str
    259 (2.1%)    1 (0.2%)  <ipnetwork::ipv6::Ipv6Network as core::str::traits::FromStr>::from_str
    241 (2.0%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    226 (1.8%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    221 (1.8%)    1 (0.2%)  ipnetwork::IpNetwork::new
    217 (1.8%)    7 (1.6%)  core::fmt::ArgumentV1::new
    212 (1.7%)    1 (0.2%)  ipnetwork::common::cidr_parts
    212 (1.7%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::overlaps
    183 (1.5%)    3 (0.7%)  core::option::Option<T>::map
    182 (1.5%)    1 (0.2%)  ipnetwork::ipv6::ipv6_mask_to_prefix
    180 (1.5%)    3 (0.7%)  core::result::Result<T,E>::map_err
    164 (1.3%)    1 (0.2%)  <ipnetwork::IpNetwork as core::str::traits::FromStr>::from_str
    156 (1.3%)    6 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    152 (1.2%)    2 (0.4%)  core::cmp::min_by
    140 (1.1%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    138 (1.1%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::is_subnet_of
    126 (1.0%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    118 (1.0%)    2 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    118 (1.0%)    1 (0.2%)  <A as core::slice::cmp::SliceOrd>::compare
    115 (0.9%)    1 (0.2%)  ipnetwork::ipv6::Ipv6Network::contains
    113 (0.9%)    4 (0.9%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    113 (0.9%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::with_netmask
    113 (0.9%)    1 (0.2%)  ipnetwork::ipv6::Ipv6Network::with_netmask
    112 (0.9%)    1 (0.2%)  ipnetwork::ipv6::Ipv6Network::overlaps
    111 (0.9%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    103 (0.8%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     97 (0.8%)    2 (0.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     97 (0.8%)    1 (0.2%)  ipnetwork::ipv6::Ipv6Network::mask
     92 (0.7%)    1 (0.2%)  <ipnetwork::ipv4::Ipv4NetworkIterator as core::iter::traits::iterator::Iterator>::next
     91 (0.7%)    1 (0.2%)  <ipnetwork::common::IpNetworkError as core::fmt::Display>::fmt
     89 (0.7%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     86 (0.7%)    1 (0.2%)  <ipnetwork::IpNetwork as core::convert::From<std::net::ip::IpAddr>>::from
     86 (0.7%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::nth
     80 (0.6%)    2 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     80 (0.6%)    2 (0.4%)  core::slice::iter::Iter<T>::new
     79 (0.6%)    2 (0.4%)  core::iter::traits::iterator::Iterator::zip
     79 (0.6%)    1 (0.2%)  <ipnetwork::ipv6::Ipv6NetworkIterator as core::iter::traits::iterator::Iterator>::next
     79 (0.6%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::iter
     78 (0.6%)    2 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
     78 (0.6%)    1 (0.2%)  ipnetwork::ipv6::Ipv6Network::is_subnet_of
     77 (0.6%)    1 (0.2%)  ipnetwork::IpNetwork::iter
     77 (0.6%)    1 (0.2%)  ipnetwork::common::parse_prefix
     76 (0.6%)    1 (0.2%)  <ipnetwork::ipv4::Ipv4Network as core::fmt::Display>::fmt
     73 (0.6%)    1 (0.2%)  <ipnetwork::common::IpNetworkError as core::fmt::Debug>::fmt
     72 (0.6%)    1 (0.2%)  std::net::ip::Ipv6Addr::segments
     70 (0.6%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     70 (0.6%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::broadcast
     69 (0.6%)    1 (0.2%)  <ipnetwork::IpNetwork as core::fmt::Debug>::fmt
     69 (0.6%)    1 (0.2%)  <ipnetwork::IpNetworkIteratorInner as core::fmt::Debug>::fmt
     69 (0.6%)    1 (0.2%)  <ipnetwork::NetworkSize as core::fmt::Debug>::fmt
     69 (0.6%)    1 (0.2%)  ipnetwork::IpNetwork::broadcast
     69 (0.6%)    1 (0.2%)  ipnetwork::IpNetwork::ip
     69 (0.6%)    1 (0.2%)  ipnetwork::IpNetwork::mask
     69 (0.6%)    1 (0.2%)  ipnetwork::IpNetwork::network
     69 (0.6%)    1 (0.2%)  ipnetwork::ipv4::Ipv4Network::network
     68 (0.6%)    2 (0.4%)  core::option::Option<T>::ok_or
     67 (0.5%)    1 (0.2%)  ipnetwork::IpNetwork::with_netmask
     66 (0.5%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     65 (0.5%)    1 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
