  Lines         Copies       Function name
  -----         ------       -------------
  77336 (100%)  2533 (100%)  (TOTAL)
   1555 (2.0%)    25 (1.0%)  core::result::Result<T,E>::map
   1366 (1.8%)     2 (0.1%)  <jsonrpc_core::types::error::_::<impl serde::de::Deserialize for jsonrpc_core::types::error::Error>::deserialize::__Visitor as serde::de::Visitor>::visit_map
   1154 (1.5%)     7 (0.3%)  serde::__private::de::content::visit_content_map_ref
   1154 (1.5%)     7 (0.3%)  serde::__private::de::content::visit_content_seq_ref
   1008 (1.3%)    18 (0.7%)  alloc::alloc::box_free
    945 (1.2%)     1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_any
    937 (1.2%)     5 (0.2%)  <serde::__private::de::content::ContentRefDeserializer<E> as serde::de::Deserializer>::deserialize_identifier
    900 (1.2%)     2 (0.1%)  <serde_json::value::de::<impl serde::de::Deserialize for serde_json::value::Value>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    888 (1.1%)     8 (0.3%)  <serde::de::value::SeqDeserializer<I,E> as serde::de::SeqAccess>::next_element_seed
    776 (1.0%)     2 (0.1%)  <serde::__private::de::content::ContentRefDeserializer<E> as serde::de::Deserializer>::deserialize_any
    761 (1.0%)     5 (0.2%)  <serde::de::value::MapDeserializer<I,E> as serde::de::MapAccess>::next_key_seed
    725 (0.9%)    13 (0.5%)  <serde::de::value::MapDeserializer<I,E> as serde::de::MapAccess>::next_value_seed
    675 (0.9%)     1 (0.0%)  <jsonrpc_core::types::response::_::<impl serde::de::Deserialize for jsonrpc_core::types::response::Failure>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    675 (0.9%)     1 (0.0%)  <jsonrpc_core::types::response::_::<impl serde::de::Deserialize for jsonrpc_core::types::response::Success>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    664 (0.9%)     8 (0.3%)  core::iter::traits::iterator::Iterator::fold
    654 (0.8%)     2 (0.1%)  <jsonrpc_core::types::error::_::<impl serde::de::Deserialize for jsonrpc_core::types::error::Error>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    644 (0.8%)     2 (0.1%)  <serde::de::value::MapDeserializer<I,E> as serde::de::MapAccess>::next_entry_seed
    623 (0.8%)     1 (0.0%)  <jsonrpc_core::types::request::_::<impl serde::de::Deserialize for jsonrpc_core::types::request::Notification>::deserialize::__Visitor as serde::de::Visitor>::visit_map
    613 (0.8%)     3 (0.1%)  <serde_json::value::de::MapDeserializer as serde::de::MapAccess>::next_key_seed
    580 (0.7%)     2 (0.1%)  jsonrpc_core::types::id::_::<impl serde::de::Deserialize for jsonrpc_core::types::id::Id>::deserialize
    565 (0.7%)     5 (0.2%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeMap>::serialize_value
    560 (0.7%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    556 (0.7%)     4 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    527 (0.7%)    11 (0.4%)  core::option::Option<T>::map
    504 (0.7%)     8 (0.3%)  core::iter::adapters::map::map_fold::{{closure}}
    501 (0.6%)     2 (0.1%)  serde::de::MapAccess::next_entry_seed
    500 (0.6%)     1 (0.0%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    478 (0.6%)     4 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    443 (0.6%)     9 (0.4%)  core::mem::replace
    436 (0.6%)     2 (0.1%)  serde::ser::Serializer::collect_seq
    431 (0.6%)     7 (0.3%)  core::result::Result<T,E>::map_err
    414 (0.5%)     7 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    413 (0.5%)    19 (0.8%)  core::ptr::read
    405 (0.5%)     4 (0.2%)  <serde_json::value::de::SeqDeserializer as serde::de::SeqAccess>::next_element_seed
    391 (0.5%)    10 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    388 (0.5%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    372 (0.5%)     2 (0.1%)  serde::__private::de::content::ContentRefDeserializer<E>::deserialize_integer
    358 (0.5%)     5 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    357 (0.5%)     7 (0.3%)  serde::de::value::MapDeserializer<I,E>::end
    349 (0.5%)     1 (0.0%)  <serde_json::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    344 (0.4%)     4 (0.2%)  <serde_json::value::de::MapDeserializer as serde::de::MapAccess>::next_value_seed
    340 (0.4%)     2 (0.1%)  <serde_json::value::de::<impl serde::de::Deserialize for serde_json::value::Value>::deserialize::ValueVisitor as serde::de::Visitor>::visit_seq
    330 (0.4%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    328 (0.4%)     8 (0.3%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    325 (0.4%)     1 (0.0%)  <jsonrpc_core::types::response::_::<impl serde::de::Deserialize for jsonrpc_core::types::response::Failure>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    325 (0.4%)     1 (0.0%)  <jsonrpc_core::types::response::_::<impl serde::de::Deserialize for jsonrpc_core::types::response::Success>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    322 (0.4%)     2 (0.1%)  serde_json::value::de::visit_array
    322 (0.4%)     2 (0.1%)  serde_json::value::de::visit_object
    322 (0.4%)     1 (0.0%)  serde_json::de::Deserializer<R>::parse_exponent
    319 (0.4%)     1 (0.0%)  <jsonrpc_core::types::request::_::<impl serde::de::Deserialize for jsonrpc_core::types::request::Notification>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    316 (0.4%)     1 (0.0%)  serde_json::de::Deserializer<R>::parse_integer
    315 (0.4%)     1 (0.0%)  <serde_json::de::MapAccess<R> as serde::de::MapAccess>::next_key_seed
    310 (0.4%)    10 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    301 (0.4%)     1 (0.0%)  <serde::__private::de::content::Content as core::clone::Clone>::clone
    296 (0.4%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    290 (0.4%)     5 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    285 (0.4%)     1 (0.0%)  serde_json::ser::format_escaped_str_contents
    283 (0.4%)     3 (0.1%)  alloc::collections::btree::mem::replace
    282 (0.4%)     6 (0.2%)  serde::de::value::MapDeserializer<I,E>::next_pair
    279 (0.4%)     1 (0.0%)  jsonrpc_core::types::params::_::<impl serde::de::Deserialize for jsonrpc_core::types::params::Params>::deserialize
    276 (0.4%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    273 (0.4%)     1 (0.0%)  serde_json::de::Deserializer<R>::parse_decimal
    261 (0.3%)    29 (1.1%)  core::ops::function::FnOnce::call_once
    260 (0.3%)     4 (0.2%)  <serde::__private::de::content::ContentRefDeserializer<E> as serde::de::Deserializer>::deserialize_struct
    260 (0.3%)     2 (0.1%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeMap>::serialize_key
    258 (0.3%)     6 (0.2%)  core::option::Option<T>::ok_or
    255 (0.3%)     6 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    254 (0.3%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    250 (0.3%)     2 (0.1%)  <serde::__private::de::content::ContentRefDeserializer<E> as serde::de::Deserializer>::deserialize_str
    250 (0.3%)     1 (0.0%)  futures_channel::oneshot::Inner<T>::drop_rx
    249 (0.3%)     6 (0.2%)  core::slice::iter::Iter<T>::new
    248 (0.3%)     7 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    248 (0.3%)     6 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    246 (0.3%)     1 (0.0%)  jsonrpc_client_transports::transports::<impl core::convert::From<jsonrpc_client_transports::transports::ClientResponse> for core::result::Result<serde_json::value::Value,jsonrpc_core::types::error::Error>>::from
    244 (0.3%)     2 (0.1%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeSeq>::serialize_element
    241 (0.3%)     2 (0.1%)  jsonrpc_client_transports::transports::parse_response::{{closure}}
    241 (0.3%)     1 (0.0%)  core::char::methods::encode_utf8_raw
    235 (0.3%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
    233 (0.3%)     1 (0.0%)  serde_json::value::ser::<impl serde::ser::Serialize for serde_json::value::Value>::serialize
    231 (0.3%)     4 (0.2%)  alloc::vec::Vec<T,A>::push
    226 (0.3%)     6 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    226 (0.3%)     6 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    223 (0.3%)     1 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
    217 (0.3%)     7 (0.3%)  core::ptr::metadata::from_raw_parts
    214 (0.3%)     1 (0.0%)  futures_channel::oneshot::Inner<T>::drop_tx
    211 (0.3%)    25 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
    208 (0.3%)     8 (0.3%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::traits::iterator::Iterator>::count
    208 (0.3%)     8 (0.3%)  core::iter::adapters::fuse::Fuse<I>::new
    204 (0.3%)     4 (0.2%)  core::alloc::layout::Layout::array
    204 (0.3%)     3 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    201 (0.3%)     3 (0.1%)  alloc::boxed::Box<T,A>::try_new_uninit_in
    200 (0.3%)     3 (0.1%)  <jsonrpc_core::types::error::ErrorCode as serde::de::Deserialize>::deserialize
    196 (0.3%)     7 (0.3%)  alloc::boxed::Box<T,A>::from_raw_in
    196 (0.3%)     2 (0.1%)  alloc::sync::Arc<T>::new
    195 (0.3%)     1 (0.0%)  jsonrpc_client_transports::RawClient::subscribe
    192 (0.2%)    20 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    188 (0.2%)     2 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    187 (0.2%)     1 (0.0%)  jsonrpc_client_transports::transports::RequestBuilder::single_request
    186 (0.2%)     6 (0.2%)  core::fmt::ArgumentV1::new
    186 (0.2%)     1 (0.0%)  core::sync::atomic::atomic_compare_exchange
    184 (0.2%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
    184 (0.2%)     1 (0.0%)  <<serde_json::map::Map<alloc::string::String,serde_json::value::Value> as serde::de::Deserialize>::deserialize::Visitor as serde::de::Visitor>::visit_map
    180 (0.2%)    20 (0.8%)  <core::marker::PhantomData<T> as serde::de::DeserializeSeed>::deserialize
    180 (0.2%)     1 (0.0%)  jsonrpc_client_transports::transports::_::<impl serde::de::Deserialize for jsonrpc_client_transports::transports::ClientResponse>::deserialize
    180 (0.2%)     1 (0.0%)  jsonrpc_core::types::response::_::<impl serde::de::Deserialize for jsonrpc_core::types::response::Output>::deserialize
    179 (0.2%)    11 (0.4%)  alloc::boxed::Box<T,A>::leak
    179 (0.2%)     1 (0.0%)  <serde::__private::de::content::ContentVisitor as serde::de::Visitor>::visit_map
    179 (0.2%)     1 (0.0%)  <serde::__private::de::content::ContentVisitor as serde::de::Visitor>::visit_seq
    176 (0.2%)     1 (0.0%)  serde_json::de::Deserializer<R>::end_seq
    174 (0.2%)    12 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    174 (0.2%)     1 (0.0%)  <serde_json::map::Map<alloc::string::String,serde_json::value::Value> as serde::ser::Serialize>::serialize
    172 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
    171 (0.2%)     4 (0.2%)  serde::de::Visitor::visit_bytes
    170 (0.2%)     1 (0.0%)  alloc::collections::btree::map::entry::VacantEntry<K,V>::insert
    170 (0.2%)     1 (0.0%)  futures_channel::mpsc::UnboundedReceiver<T>::next_message
    168 (0.2%)     3 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
    168 (0.2%)     1 (0.0%)  itoa::<impl itoa::private::Sealed for i64>::write
    168 (0.2%)     1 (0.0%)  itoa::<impl itoa::private::Sealed for u64>::write
    165 (0.2%)     1 (0.0%)  futures_channel::mpsc::unbounded
    165 (0.2%)     1 (0.0%)  serde_json::de::Deserializer<R>::parse_number
