  Lines          Copies        Function name
  -----          ------        -------------
  377536 (100%)  12188 (100%)  (TOTAL)
   16933 (4.5%)    114 (0.9%)  core::iter::traits::iterator::Iterator::try_fold
   16788 (4.4%)    282 (2.3%)  core::option::Option<T>::map
   12969 (3.4%)     99 (0.8%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
   10528 (2.8%)    108 (0.9%)  core::iter::traits::iterator::Iterator::fold
   10304 (2.7%)    116 (1.0%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    9786 (2.6%)    102 (0.8%)  core::iter::adapters::map::map_try_fold::{{closure}}
    8725 (2.3%)    112 (0.9%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    8019 (2.1%)     99 (0.8%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
    7536 (2.0%)    110 (0.9%)  core::iter::adapters::map::map_fold::{{closure}}
    7180 (1.9%)    110 (0.9%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    6732 (1.8%)     33 (0.3%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<syn::punctuated::Pair<T,P>>>::extend
    5865 (1.6%)    109 (0.9%)  core::iter::traits::iterator::Iterator::for_each
    5458 (1.4%)    102 (0.8%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
    5421 (1.4%)     39 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    3762 (1.0%)     99 (0.8%)  <alloc::vec::Vec<T> as syn::gen::helper::fold::FoldHelper>::lift
    2940 (0.8%)     21 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2795 (0.7%)     17 (0.1%)  syn::error::Error::new_spanned
    2610 (0.7%)     30 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    2607 (0.7%)     28 (0.2%)  core::option::Option<T>::map_or
    2552 (0.7%)     44 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    2472 (0.7%)      1 (0.0%)  jsonrpc_derive::to_delegate::RpcMethod::generate_delegate_closure
    2471 (0.7%)    167 (1.4%)  core::iter::adapters::map::Map<I,F>::new
    2402 (0.6%)     51 (0.4%)  core::mem::replace
    2398 (0.6%)    109 (0.9%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    2398 (0.6%)    109 (0.9%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    2361 (0.6%)     48 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2331 (0.6%)     37 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    2252 (0.6%)     40 (0.3%)  alloc::alloc::box_free
    2149 (0.6%)      1 (0.0%)  jsonrpc_derive::to_client::generate_client_methods
    2091 (0.6%)     41 (0.3%)  core::alloc::layout::Layout::array
    2054 (0.5%)     39 (0.3%)  syn::punctuated::Pair<T,P>::into_tuple
    2013 (0.5%)     33 (0.3%)  <syn::punctuated::Punctuated<T,U> as syn::gen::helper::fold::FoldHelper>::lift::{{closure}}
    2006 (0.5%)     49 (0.4%)  core::option::Option<T>::or_else
    1972 (0.5%)    112 (0.9%)  <alloc::vec::Vec<T> as core::iter::traits::collect::FromIterator<T>>::from_iter
    1920 (0.5%)     30 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1805 (0.5%)    167 (1.4%)  core::iter::traits::iterator::Iterator::map
    1802 (0.5%)     17 (0.1%)  core::option::Option<T>::map_or_else
    1779 (0.5%)     85 (0.7%)  core::ptr::read
    1776 (0.5%)      8 (0.1%)  <F as syn::parse::Parser>::parse2
    1722 (0.5%)     29 (0.2%)  alloc::vec::Vec<T,A>::push
    1677 (0.4%)     40 (0.3%)  core::slice::iter::Iter<T>::new
    1677 (0.4%)     39 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    1638 (0.4%)     39 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    1612 (0.4%)     52 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    1612 (0.4%)     31 (0.3%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    1591 (0.4%)    149 (1.2%)  core::iter::traits::iterator::Iterator::collect
    1584 (0.4%)     33 (0.3%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::FromIterator<syn::punctuated::Pair<T,P>>>::from_iter
    1581 (0.4%)     31 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    1439 (0.4%)      1 (0.0%)  jsonrpc_derive::to_client::generate_client_module
    1424 (0.4%)      2 (0.0%)  alloc::str::join_generic_copy
    1331 (0.4%)      1 (0.0%)  jsonrpc_derive::to_delegate::MethodRegistration::generate
    1320 (0.3%)     33 (0.3%)  <syn::punctuated::Punctuated<T,U> as syn::gen::helper::fold::FoldHelper>::lift
    1307 (0.3%)    102 (0.8%)  core::iter::adapters::map::map_try_fold
    1292 (0.3%)     34 (0.3%)  syn::error::Error::new_spanned::{{closure}}
    1276 (0.3%)     44 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    1271 (0.3%)     41 (0.3%)  core::ptr::metadata::from_raw_parts
    1269 (0.3%)      1 (0.0%)  syn::gen::fold::fold_expr
