  Lines         Copies       Function name
  -----         ------       -------------
  41243 (100%)  1719 (100%)  (TOTAL)
   1323 (3.2%)     3 (0.2%)  alloc::slice::merge_sort
   1251 (3.0%)     9 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    840 (2.0%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    811 (2.0%)     1 (0.1%)  libflate::gzip::Header::write_to
    681 (1.7%)     3 (0.2%)  alloc::slice::merge
    629 (1.5%)     3 (0.2%)  alloc::slice::insert_head
    580 (1.4%)    10 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    570 (1.4%)     2 (0.1%)  libflate::huffman::Builder::restore_canonical_huffman_codes
    550 (1.3%)     1 (0.1%)  libflate::deflate::symbol::build_bitwidth_codes
    545 (1.3%)     6 (0.3%)  core::iter::traits::iterator::Iterator::fold
    523 (1.3%)    10 (0.6%)  core::option::Option<T>::map
    510 (1.2%)    10 (0.6%)  core::alloc::layout::Layout::array
    479 (1.2%)     1 (0.1%)  <libflate::deflate::symbol::FixedHuffmanCodec as libflate::deflate::symbol::HuffmanCodec>::build
    448 (1.1%)    10 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    440 (1.1%)     3 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    421 (1.0%)    10 (0.6%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    415 (1.0%)    10 (0.6%)  core::slice::iter::Iter<T>::new
    412 (1.0%)    10 (0.6%)  core::slice::iter::Iter<T>::post_inc_start
    403 (1.0%)    13 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    384 (0.9%)     4 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    348 (0.8%)     4 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    338 (0.8%)     1 (0.1%)  libflate::gzip::ExtraField::write_to
    329 (0.8%)    10 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    315 (0.8%)     3 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    313 (0.8%)     5 (0.3%)  alloc::alloc::box_free
    313 (0.8%)     1 (0.1%)  <libflate::deflate::symbol::DynamicHuffmanCodec as libflate::deflate::symbol::HuffmanCodec>::build
    310 (0.8%)     1 (0.1%)  libflate::gzip::ExtraSubField::write_to
    302 (0.7%)     4 (0.2%)  core::fmt::builders::DebugList::entries
    290 (0.7%)    10 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    287 (0.7%)     3 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
