  Lines         Copies      Function name
  -----         ------      -------------
  32541 (100%)  856 (100%)  (TOTAL)
   2384 (7.3%)    1 (0.1%)  miniz_oxide::inflate::core::decompress
   1463 (4.5%)   11 (1.3%)  miniz_oxide::inflate::core::read_bits
   1430 (4.4%)   18 (2.1%)  miniz_oxide::inflate::core::read_byte
   1065 (3.3%)    3 (0.4%)  miniz_oxide::inflate::core::decode_huffman_code
   1060 (3.3%)    1 (0.1%)  miniz_oxide::deflate::core::compress_normal
   1002 (3.1%)    1 (0.1%)  miniz_oxide::deflate::core::compress_fast
    745 (2.3%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::optimize_table
    743 (2.3%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::start_dynamic_block
    653 (2.0%)   18 (2.1%)  miniz_oxide::inflate::core::decompress::{{closure}}
    627 (1.9%)    1 (0.1%)  miniz_oxide::inflate::core::init_tree
    611 (1.9%)    1 (0.1%)  miniz_oxide::deflate::core::flush_block
    550 (1.7%)    1 (0.1%)  miniz_oxide::inflate::core::decompress_fast
    510 (1.6%)    1 (0.1%)  miniz_oxide::deflate::core::compress_lz_codes
    485 (1.5%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::calculate_minimum_redundancy
    414 (1.3%)    1 (0.1%)  miniz_oxide::deflate::core::compress_inner
    396 (1.2%)   11 (1.3%)  miniz_oxide::inflate::core::read_bits::{{closure}}
    381 (1.2%)   11 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    372 (1.1%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
    360 (1.1%)    3 (0.4%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    357 (1.1%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::radix_sort_symbols
    336 (1.0%)    1 (0.1%)  miniz_oxide::inflate::stream::inflate
    333 (1.0%)    1 (0.1%)  miniz_oxide::deflate::core::DictOxide::find_match
    292 (0.9%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    290 (0.9%)    1 (0.1%)  miniz_oxide::deflate::stream::deflate
    255 (0.8%)    5 (0.6%)  alloc::alloc::box_free
    245 (0.8%)    1 (0.1%)  miniz_oxide::inflate::core::transfer
    232 (0.7%)    1 (0.1%)  miniz_oxide::inflate::stream::inflate_loop
    230 (0.7%)    1 (0.1%)  miniz_oxide::deflate::core::RLE::zero_code_size
    228 (0.7%)    3 (0.4%)  core::cmp::min_by
    218 (0.7%)    1 (0.1%)  miniz_oxide::inflate::decompress_to_vec_inner
    214 (0.7%)    5 (0.6%)  core::mem::replace
    199 (0.6%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::enforce_max_code_size
    194 (0.6%)    1 (0.1%)  miniz_oxide::inflate::core::apply_match
    193 (0.6%)    1 (0.1%)  miniz_oxide::deflate::core::RLE::prev_code_size
    191 (0.6%)    1 (0.1%)  <miniz_oxide::inflate::core::State as core::fmt::Debug>::fmt
    185 (0.6%)    4 (0.5%)  core::result::Result<T,E>::unwrap
    183 (0.6%)    3 (0.4%)  core::result::Result<T,E>::map
    180 (0.6%)    4 (0.5%)  <core::iter::adapters::take_while::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
    166 (0.5%)   11 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    157 (0.5%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    156 (0.5%)    1 (0.1%)  miniz_oxide::deflate::core::record_match
    154 (0.5%)    1 (0.1%)  alloc::raw_vec::finish_grow
    152 (0.5%)    2 (0.2%)  core::cmp::max_by
    149 (0.5%)    3 (0.4%)  core::result::Result<T,E>::map_err
    142 (0.4%)    4 (0.5%)  core::option::Option<T>::ok_or
    140 (0.4%)    5 (0.6%)  <alloc::boxed::Box<T> as core::default::Default>::default
    140 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    139 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    135 (0.4%)    1 (0.1%)  miniz_oxide::deflate::compress_to_vec_inner
    133 (0.4%)    1 (0.1%)  miniz_oxide::deflate::core::flush_output_buffer
    123 (0.4%)    3 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    122 (0.4%)    4 (0.5%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
    122 (0.4%)    3 (0.4%)  core::slice::iter::Iter<T>::new
    122 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_with
    121 (0.4%)    3 (0.4%)  core::slice::iter::IterMut<T>::new
    120 (0.4%)    3 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    120 (0.4%)    3 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    120 (0.4%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    118 (0.4%)    3 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    117 (0.4%)    1 (0.1%)  miniz_oxide::inflate::core::start_static_table
    112 (0.3%)   14 (1.6%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
    112 (0.3%)    6 (0.7%)  core::ptr::read
    111 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::compress_fast::{{closure}}
    106 (0.3%)    1 (0.1%)  <miniz_oxide::inflate::core::DecompressorOxide as core::default::Default>::default
    106 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::HuffmanOxide::start_static_block
    105 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::BitBuffer::flush
    104 (0.3%)   13 (1.5%)  core::array::<impl core::ops::index::IndexMut<I> for [T; N]>::index_mut
    100 (0.3%)    1 (0.1%)  miniz_oxide::deflate::core::CallbackOut::new_output_buffer
     96 (0.3%)    1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     93 (0.3%)    3 (0.4%)  core::ptr::metadata::from_raw_parts
