  Lines        Copies      Function name
  -----        ------      -------------
  9075 (100%)  400 (100%)  (TOTAL)
   426 (4.7%)    1 (0.2%)  std::thread::Builder::spawn_unchecked_
   413 (4.6%)    7 (1.8%)  alloc::alloc::box_free
   369 (4.1%)    1 (0.2%)  mio_extras::timer::spawn_wakeup_thread::{{closure}}
   275 (3.0%)    5 (1.2%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
   252 (2.8%)    1 (0.2%)  mio_extras::channel::ReceiverCtl::dec
   248 (2.7%)    1 (0.2%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::register
   233 (2.6%)    5 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   210 (2.3%)    5 (1.2%)  alloc::sync::Weak<T>::inner
   200 (2.2%)    1 (0.2%)  mio::poll::Poll::register
   200 (2.2%)    1 (0.2%)  mio::poll::Poll::reregister
   196 (2.2%)    2 (0.5%)  alloc::sync::Arc<T>::new
   196 (2.2%)    2 (0.5%)  std::thread::Builder::spawn_unchecked_::{{closure}}
   188 (2.1%)    5 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   186 (2.0%)    1 (0.2%)  core::sync::atomic::atomic_compare_exchange
   177 (2.0%)    4 (1.0%)  core::result::Result<T,E>::expect
   140 (1.5%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   137 (1.5%)    1 (0.2%)  mio_extras::channel::ctl_pair
   131 (1.4%)    1 (0.2%)  lazycell::AtomicLazyCell<T>::fill
   124 (1.4%)    1 (0.2%)  mio::poll::Poll::deregister
   121 (1.3%)    1 (0.2%)  mio_extras::channel::SenderCtl::inc
   120 (1.3%)    5 (1.2%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
   120 (1.3%)    5 (1.2%)  core::alloc::layout::Layout::for_value_raw
   112 (1.2%)    1 (0.2%)  <T as std::ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl
   108 (1.2%)    1 (0.2%)  std::thread::Builder::spawn_unchecked
    93 (1.0%)    1 (0.2%)  lazycell::LazyCell<T>::fill
    89 (1.0%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
    74 (0.8%)    5 (1.2%)  alloc::sync::Arc<T>::drop_slow
    72 (0.8%)    4 (1.0%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
    68 (0.7%)    2 (0.5%)  core::option::Option<T>::ok_or
    66 (0.7%)    1 (0.2%)  std::panicking::try
    63 (0.7%)    1 (0.2%)  core::option::Option<T>::map
    61 (0.7%)    1 (0.2%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::deregister
    61 (0.7%)    1 (0.2%)  <mio_extras::channel::ReceiverCtl as mio::event_imp::Evented>::reregister
    59 (0.7%)    1 (0.2%)  core::ptr::drop_in_place<std::thread::Builder::spawn_unchecked_<mio_extras::timer::spawn_wakeup_thread::{{closure}},()>::{{closure}}>
    58 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    53 (0.6%)    8 (2.0%)  core::ptr::unique::Unique<T>::cast
    51 (0.6%)    1 (0.2%)  core::alloc::layout::Layout::array
    51 (0.6%)    1 (0.2%)  std::thread::spawn
    50 (0.6%)    1 (0.2%)  core::fmt::Arguments::new_v1
    49 (0.5%)    7 (1.8%)  core::ptr::unique::Unique<T>::as_ref
    49 (0.5%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    45 (0.5%)    5 (1.2%)  core::mem::align_of_val_raw
    45 (0.5%)    5 (1.2%)  core::mem::size_of_val_raw
    43 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>
    43 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
    42 (0.5%)    1 (0.2%)  <mio_extras::timer::Inner as core::fmt::Debug>::fmt
    39 (0.4%)    5 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    39 (0.4%)    1 (0.2%)  <mio_extras::timer::Timeout as core::fmt::Debug>::fmt
    39 (0.4%)    1 (0.2%)  <mio_extras::timer::WheelEntry as core::fmt::Debug>::fmt
    38 (0.4%)    6 (1.5%)  core::ptr::non_null::NonNull<T>::cast
    38 (0.4%)    1 (0.2%)  <std::thread::Packet<T> as core::ops::drop::Drop>::drop
    36 (0.4%)    1 (0.2%)  core::sync::atomic::atomic_load
    35 (0.4%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (0.4%)    6 (1.5%)  <T as core::convert::Into<U>>::into
    34 (0.4%)    1 (0.2%)  core::num::<impl u64>::overflowing_mul
    34 (0.4%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
    33 (0.4%)    1 (0.2%)  <mio_extras::channel::SenderCtl as core::ops::drop::Drop>::drop
    33 (0.4%)    1 (0.2%)  std::sys_common::backtrace::__rust_begin_short_backtrace
    32 (0.4%)    2 (0.5%)  core::option::Option<T>::as_ref
    32 (0.4%)    1 (0.2%)  core::num::<impl u64>::checked_mul
    32 (0.4%)    1 (0.2%)  core::num::<impl usize>::checked_mul
    31 (0.3%)    1 (0.2%)  core::fmt::ArgumentV1::new
    31 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
    31 (0.3%)    1 (0.2%)  core::ptr::metadata::from_raw_parts
    31 (0.3%)    1 (0.2%)  core::ptr::metadata::from_raw_parts_mut
    31 (0.3%)    1 (0.2%)  core::sync::atomic::atomic_store
    30 (0.3%)    2 (0.5%)  alloc::boxed::Box<T,A>::leak
    30 (0.3%)    2 (0.5%)  std::thread::Builder::spawn_unchecked_<[closure@src/timer.rs:488:19: 544:6], 
    30 (0.3%)    1 (0.2%)  core::option::Option<T>::unwrap_or_else
    30 (0.3%)    1 (0.2%)  core::sync::atomic::atomic_add
    30 (0.3%)    1 (0.2%)  core::sync::atomic::atomic_sub
    30 (0.3%)    1 (0.2%)  core::sync::atomic::atomic_swap
    29 (0.3%)    3 (0.8%)  core::cell::UnsafeCell<T>::new
    29 (0.3%)    1 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    29 (0.3%)    1 (0.2%)  alloc::raw_vec::alloc_guard
    29 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<mio_extras::timer::spawn_wakeup_thread::{{closure}}>
    29 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<std::sync::mutex::Mutex<alloc::vec::Vec<u8>>>
    28 (0.3%)    1 (0.2%)  alloc::alloc::exchange_malloc
    28 (0.3%)    1 (0.2%)  alloc::boxed::Box<T>::new
    28 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    28 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<std::ffi::c_str::CString>
    28 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<std::sys_common::mutex::MovableMutex>
    28 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<std::thread::Packet<()>>
    28 (0.3%)    1 (0.2%)  core::sync::atomic::AtomicUsize::compare_and_swap
    27 (0.3%)    1 (0.2%)  lazycell::LazyCell<T>::new
    26 (0.3%)    2 (0.5%)  core::option::Option<T>::is_some
    26 (0.3%)    1 (0.2%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    26 (0.3%)    1 (0.2%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    26 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<[u8]>>
    26 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<mio::poll::Registration>
    26 (0.3%)    1 (0.2%)  core::ptr::drop_in_place<mio_extras::channel::SenderCtl>
    25 (0.3%)    5 (1.2%)  alloc::sync::Arc<T>::get_mut_unchecked
    25 (0.3%)    5 (1.2%)  core::mem::drop
    25 (0.3%)    1 (0.2%)  std::error::<impl core::convert::From<alloc::string::String> for alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>::from
    23 (0.3%)    8 (2.0%)  core::ptr::unique::Unique<T>::as_ptr
    23 (0.3%)    1 (0.2%)  core::num::<impl u64>::saturating_mul
    23 (0.3%)    1 (0.2%)  core::ptr::read
    23 (0.3%)    1 (0.2%)  core::sync::atomic::fence
    23 (0.3%)    1 (0.2%)  lazycell::AtomicLazyCell<T>::borrow
    23 (0.3%)    1 (0.2%)  std::panicking::try::do_call
    20 (0.2%)    5 (1.2%)  alloc::rc::is_dangling
    20 (0.2%)    5 (1.2%)  core::ptr::non_null::NonNull<T>::as_ref
    20 (0.2%)    1 (0.2%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    20 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<std::sys::unix::mutex::Mutex>>
    20 (0.2%)    1 (0.2%)  core::sync::atomic::strongest_failure_ordering
    19 (0.2%)    3 (0.8%)  <T as core::convert::From<T>>::from
    19 (0.2%)    1 (0.2%)  mio_extras::convert::millis
    19 (0.2%)    1 (0.2%)  mio_extras::timer::spawn_wakeup_thread
    19 (0.2%)    1 (0.2%)  std::io::error::Error::new
    19 (0.2%)    1 (0.2%)  std::thread::Builder::spawn
    17 (0.2%)    2 (0.5%)  core::ptr::non_null::NonNull<T>::new_unchecked
    17 (0.2%)    1 (0.2%)  <core::option::Option<T> as core::clone::Clone>::clone
    17 (0.2%)    1 (0.2%)  core::str::<impl str>::as_bytes
    17 (0.2%)    1 (0.2%)  core::time::Duration::from_millis
    16 (0.2%)    4 (1.0%)  <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
    16 (0.2%)    4 (1.0%)  alloc::sync::Arc<T>::from_inner
    16 (0.2%)    1 (0.2%)  <mio_extras::channel::SenderCtl as core::clone::Clone>::clone
    16 (0.2%)    1 (0.2%)  <mio_extras::timer::Inner as core::ops::drop::Drop>::drop
    16 (0.2%)    1 (0.2%)  log::max_level
    15 (0.2%)    7 (1.8%)  core::ptr::non_null::NonNull<T>::as_ptr
    15 (0.2%)    5 (1.2%)  alloc::sync::Arc<T>::inner
    15 (0.2%)    1 (0.2%)  std::panic::catch_unwind
    15 (0.2%)    1 (0.2%)  std::panicking::try::do_catch
    15 (0.2%)    1 (0.2%)  std::sys_common::thread_parker::futex::Parker::unpark
    14 (0.2%)    1 (0.2%)  <mio_extras::timer::Builder as core::default::Default>::default
    14 (0.2%)    1 (0.2%)  alloc::str::<impl alloc::borrow::ToOwned for str>::to_owned
    14 (0.2%)    1 (0.2%)  core::alloc::layout::Layout::from_size_align_unchecked
    14 (0.2%)    1 (0.2%)  core::ptr::non_null::NonNull<T>::new
    14 (0.2%)    1 (0.2%)  core::slice::<impl [T]>::len
    14 (0.2%)    1 (0.2%)  std::error::<impl core::convert::From<&str> for alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>::from
    13 (0.1%)    1 (0.2%)  <core::panic::unwind_safe::AssertUnwindSafe<F> as core::ops::function::FnOnce<()>>::call_once
    13 (0.1%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
    13 (0.1%)    1 (0.2%)  alloc::string::String::from_utf8_unchecked
    13 (0.1%)    1 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    13 (0.1%)    1 (0.2%)  core::ptr::non_null::NonNull<[T]>::slice_from_raw_parts
    12 (0.1%)    1 (0.2%)  <alloc::collections::TryReserveError as core::convert::From<alloc::collections::TryReserveErrorKind>>::from
    12 (0.1%)    1 (0.2%)  alloc::alloc::alloc
    12 (0.1%)    1 (0.2%)  alloc::alloc::alloc_zeroed
    12 (0.1%)    1 (0.2%)  alloc::alloc::dealloc
    12 (0.1%)    1 (0.2%)  alloc::vec::Vec<T,A>::with_capacity_in
    12 (0.1%)    1 (0.2%)  core::any::TypeId::of
    12 (0.1%)    1 (0.2%)  core::ptr::drop_in_place<core::result::Result<(),std::io::error::Error>>
    12 (0.1%)    1 (0.2%)  mio_extras::timer::current_tick
    12 (0.1%)    1 (0.2%)  mio_extras::timer::duration_to_tick
    12 (0.1%)    1 (0.2%)  std::thread::Builder::spawn_unchecked_::{{closure}}::{{closure}}
    11 (0.1%)    3 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    11 (0.1%)    1 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    11 (0.1%)    1 (0.2%)  core::ptr::drop_in_place<core::option::Option<alloc::string::String>>
    11 (0.1%)    1 (0.2%)  std::ffi::c_str::CString::new
    10 (0.1%)    2 (0.5%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
    10 (0.1%)    1 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    10 (0.1%)    1 (0.2%)  <log::Level as core::cmp::PartialOrd<log::LevelFilter>>::le
    10 (0.1%)    1 (0.2%)  core::num::<impl u64>::saturating_add
    10 (0.1%)    1 (0.2%)  core::ptr::drop_in_place<core::result::Result<(),alloc::boxed::Box<dyn core::any::Any+core::marker::Send>>>
    10 (0.1%)    1 (0.2%)  core::ptr::drop_in_place<std::io::error::Repr>
    10 (0.1%)    1 (0.2%)  core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
    10 (0.1%)    1 (0.2%)  core::ptr::mut_ptr::<impl *mut T>::offset
    10 (0.1%)    1 (0.2%)  core::sync::atomic::AtomicUsize::compare_exchange
    10 (0.1%)    1 (0.2%)  std::error::Error::source
     9 (0.1%)    1 (0.2%)  <std::ffi::c_str::CString as core::ops::drop::Drop>::drop
     9 (0.1%)    1 (0.2%)  alloc::vec::Vec<T,A>::as_mut_ptr
     9 (0.1%)    1 (0.2%)  alloc::vec::Vec<T,A>::as_ptr
     9 (0.1%)    1 (0.2%)  core::ptr::drop_in_place<core::option::Option<alloc::sync::Arc<std::sync::mutex::Mutex<alloc::vec::Vec<u8>>>>>
