  Lines        Copies      Function name
  -----        ------      -------------
  7172 (100%)  283 (100%)  (TOTAL)
   604 (8.4%)    1 (0.4%)  mio_uds::socket::Socket::pair
   357 (5.0%)    1 (0.4%)  mio_uds::socket::Socket::new
   353 (4.9%)    1 (0.4%)  mio_uds::listener::UnixListener::_bind
   297 (4.1%)    1 (0.4%)  mio_uds::stream::UnixStream::_connect
   279 (3.9%)    1 (0.4%)  mio_uds::datagram::UnixDatagram::_bind
   250 (3.5%)    4 (1.4%)  core::result::Result<T,E>::map
   250 (3.5%)    1 (0.4%)  mio_uds::socket::sockaddr_un
   226 (3.2%)    1 (0.4%)  mio_uds::listener::UnixListener::accept
   188 (2.6%)    1 (0.4%)  mio_uds::datagram::UnixDatagram::unbound
   178 (2.5%)    1 (0.4%)  mio_uds::listener::UnixListener::accept_std
   165 (2.3%)    1 (0.4%)  mio_uds::datagram::UnixDatagram::pair
   140 (2.0%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   124 (1.7%)    2 (0.7%)  alloc::alloc::box_free
   119 (1.7%)    1 (0.4%)  mio_uds::datagram::UnixDatagram::from_datagram
   119 (1.7%)    1 (0.4%)  mio_uds::listener::UnixListener::from_listener
   119 (1.7%)    1 (0.4%)  mio_uds::stream::UnixStream::from_stream
   108 (1.5%)    1 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   107 (1.5%)    3 (1.1%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    89 (1.2%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    81 (1.1%)    3 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    76 (1.1%)    1 (0.4%)  core::cmp::min_by
    72 (1.0%)    1 (0.4%)  mio_uds::stream::UnixStream::pair::{{closure}}
    68 (0.9%)    2 (0.7%)  core::option::Option<T>::ok_or
    66 (0.9%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    66 (0.9%)    1 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    60 (0.8%)    1 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    58 (0.8%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    56 (0.8%)    1 (0.4%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    51 (0.7%)    1 (0.4%)  core::alloc::layout::Layout::array
    49 (0.7%)    1 (0.4%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    49 (0.7%)    1 (0.4%)  mio_uds::stream::UnixStream::read_bufs
    49 (0.7%)    1 (0.4%)  mio_uds::stream::UnixStream::write_bufs
    43 (0.6%)    1 (0.4%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error+core::marker::Send+core::marker::Sync>>
    39 (0.5%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    39 (0.5%)    1 (0.4%)  core::slice::iter::IterMut<T>::new
    38 (0.5%)    1 (0.4%)  std::io::error::Error::kind
    35 (0.5%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
    34 (0.5%)    1 (0.4%)  core::iter::traits::iterator::Iterator::zip
    34 (0.5%)    1 (0.4%)  core::num::<impl usize>::overflowing_mul
    34 (0.5%)    1 (0.4%)  std::io::error::Error::raw_os_error
    33 (0.5%)    1 (0.4%)  <std::os::fd::owned::OwnedFd as std::os::fd::raw::FromRawFd>::from_raw_fd
    33 (0.5%)    1 (0.4%)  mio_uds::cvt
    32 (0.4%)    1 (0.4%)  core::num::<impl usize>::checked_mul
    31 (0.4%)    1 (0.4%)  core::ptr::drop_in_place<alloc::boxed::Box<std::io::error::Custom>>
    31 (0.4%)    1 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    29 (0.4%)    1 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    29 (0.4%)    1 (0.4%)  <mio_uds::datagram::UnixDatagram as mio::event_imp::Evented>::deregister
    29 (0.4%)    1 (0.4%)  <mio_uds::datagram::UnixDatagram as mio::event_imp::Evented>::register
    29 (0.4%)    1 (0.4%)  <mio_uds::datagram::UnixDatagram as mio::event_imp::Evented>::reregister
    29 (0.4%)    1 (0.4%)  <mio_uds::listener::UnixListener as mio::event_imp::Evented>::deregister
    29 (0.4%)    1 (0.4%)  <mio_uds::listener::UnixListener as mio::event_imp::Evented>::register
    29 (0.4%)    1 (0.4%)  <mio_uds::listener::UnixListener as mio::event_imp::Evented>::reregister
    29 (0.4%)    1 (0.4%)  <mio_uds::stream::UnixStream as mio::event_imp::Evented>::deregister
    29 (0.4%)    1 (0.4%)  <mio_uds::stream::UnixStream as mio::event_imp::Evented>::register
    29 (0.4%)    1 (0.4%)  <mio_uds::stream::UnixStream as mio::event_imp::Evented>::reregister
    29 (0.4%)    1 (0.4%)  alloc::raw_vec::alloc_guard
    28 (0.4%)    1 (0.4%)  <mio_uds::datagram::UnixDatagram as core::fmt::Debug>::fmt
    28 (0.4%)    1 (0.4%)  <mio_uds::listener::UnixListener as core::fmt::Debug>::fmt
    28 (0.4%)    1 (0.4%)  <mio_uds::stream::UnixStream as core::fmt::Debug>::fmt
    28 (0.4%)    1 (0.4%)  alloc::alloc::exchange_malloc
    28 (0.4%)    1 (0.4%)  alloc::boxed::Box<T>::new
    28 (0.4%)    1 (0.4%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    26 (0.4%)    1 (0.4%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
